Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2(test) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
3.5e-08;1e-06;-6e-09;0.00281698;0.081905395;3.3e-08;3.1e-08;-0.030739632;-0.025149771;-0.027944709;0.0;-0.000114406;0.001725908;0.0;3.8e-08;3.5e-08
0.126532846;73.313782991;6.5e-08;6.334e-06;0.003544498;-0.020693691;0.113506625;0.009532404;0.007790112;0.008661338;-0.0;3.5659e-05;0.00205097;0.000532966;0.139547351;0.126532846
0.300728744;146.627565982;1.3e-07;9.456e-06;0.004353706;0.01757081;0.269167094;0.011050592;0.009023157;0.010037034;-1e-09;4.1495e-05;0.002022272;0.001290965;0.332243627;0.300728744
0.423053734;219.941348974;1.95e-07;9.95e-06;0.004724599;0.059056022;0.377405276;0.011928696;0.009732515;0.010830845;-1e-09;4.4948e-05;0.001796102;0.001866392;0.468597175;0.423053734
0.564086797;293.255131965;2.6e-07;1.0239e-05;0.004720595;0.080165148;0.501746648;0.012544776;0.010227507;0.011386461;-1e-09;4.7427e-05;0.00184057;0.002547973;0.626240619;0.564086797
0.692932102;366.568914956;3.25e-07;1.0968e-05;0.004996827;0.138545031;0.614389323;0.01301731;0.010605071;0.011811589;-1e-09;4.937e-05;0.001751979;0.003209067;0.771184321;0.692932102
0.820975155;439.882697947;3.89e-07;1.1521e-05;0.005165603;0.193682096;0.725584583;0.013399072;0.010908385;0.012154206;-2e-09;5.0976e-05;0.001714638;0.003896102;0.915948147;0.820975155
0.944345309;513.196480938;4.54e-07;1.2196e-05;0.005392427;0.265730543;0.831853138;0.013718214;0.011160482;0.012439904;-2e-09;5.2348e-05;0.001659719;0.004593064;1.056270228;0.944345309
1.064335681;586.51026393;5.18e-07;1.2873e-05;0.00561434;0.345809323;0.934363052;0.013991538;0.01137511;0.01268396;-2e-09;5.3549e-05;0.00161108;0.005305072;1.193568868;1.064335681
1.180573981;659.824046921;5.82e-07;1.3602e-05;0.005855117;0.437262073;1.032783488;0.014229885;0.011561137;0.012896225;-2e-09;5.462e-05;0.001560935;0.006030433;1.327430455;1.180573981
1.293211754;733.137829912;6.46e-07;1.4368e-05;0.006107924;0.538712903;1.12725503;0.014440653;0.011724618;0.013083429;-3e-09;5.5588e-05;0.001511763;0.006769599;1.45801763;1.293211754
1.40224008;806.451612903;7.1e-07;1.5182e-05;0.006376628;0.650513782;1.217773808;0.014629122;0.011869872;0.013250368;-3e-09;5.6473e-05;0.0014628;0.007522365;1.585316552;1.40224008
1.507698585;879.765395894;7.74e-07;1.6044e-05;0.006661713;0.772413662;1.304379612;0.014799189;0.012000087;0.013400587;-3e-09;5.7288e-05;0.001414279;0.008288727;1.709366811;1.507698585
1.609612348;953.079178886;8.38e-07;1.6962e-05;0.006964998;0.904367829;1.387099107;0.014953814;0.012117684;0.013536777;-3e-09;5.8046e-05;0.001366128;0.009068623;1.830192031;1.609612348
1.708010611;1026.39296188;9.01e-07;1.7939e-05;0.00728812;1.046264618;1.465962674;0.015095296;0.012224547;0.013661027;-4e-09;5.8755e-05;0.001318367;0.009862009;1.94782044;1.708010611
1.802921234;1099.70674487;9.65e-07;1.8982e-05;0.007633068;1.198015267;1.540999418;0.015225461;0.012322166;0.013774996;-4e-09;5.9421e-05;0.001270987;0.010668837;2.062278783;1.802921234
1.894372307;1173.02052786;1.028e-06;2.0097e-05;0.008002056;1.359524796;1.612238619;0.015345777;0.012411744;0.013880021;-4e-09;6.005e-05;0.001223988;0.01148906;2.173594083;1.894372307
1.982391667;1246.33431085;1.091e-06;2.1292e-05;0.008397623;1.530701206;1.6797093;0.015457447;0.012494267;0.013977195;-4e-09;6.0646e-05;0.001177369;0.012322632;2.281793117;1.982391667
2.067007042;1319.64809384;1.154e-06;2.2576e-05;0.008822674;1.711452558;1.743440353;0.015561468;0.012570547;0.014067423;-5e-09;6.1214e-05;0.001131127;0.013169509;2.386902571;2.067007042
2.148246003;1392.96187683;1.217e-06;2.3959e-05;0.009280554;1.90168785;1.803460501;0.015658673;0.012641268;0.014151464;-5e-09;6.1756e-05;0.001085259;0.014029646;2.48894899;2.148246003
2.226135984;1466.27565982;1.28e-06;2.5453e-05;0.009775133;2.101316725;1.859798311;0.015749769;0.012707008;0.014229958;-5e-09;6.2275e-05;0.001039765;0.014902998;2.587958793;2.226135984
2.300704272;1539.58944281;1.343e-06;2.7071e-05;0.01031091;2.310249536;1.912482191;0.015835358;0.012768259;0.014303455;-6e-09;6.2773e-05;0.000994643;0.015789523;2.68395827;2.300704272
2.371978016;1612.90322581;1.405e-06;2.8829e-05;0.010893154;2.528397315;1.961540392;0.015915957;0.012825444;0.014372424;-6e-09;6.3252e-05;0.000949889;0.016689177;2.776973587;2.371978016
2.439984225;1686.2170088;1.468e-06;3.0746e-05;0.011528067;2.755671761;2.007001011;0.015992017;0.012878932;0.014437275;-6e-09;6.3714e-05;0.000905503;0.017601919;2.867030782;2.439984225
2.50474977;1759.53079179;1.53e-06;3.2845e-05;0.012223007;2.99198523;2.048891994;0.016063929;0.012929043;0.014498363;-6e-09;6.4161e-05;0.000861483;0.018527707;2.954155772;2.50474977
2.566301388;1832.84457478;1.592e-06;3.5151e-05;0.012986768;3.237250724;2.087241134;0.016132037;0.012976058;0.014556;-7e-09;6.4592e-05;0.000817827;0.019466501;3.038374353;2.566301388
2.62466568;1906.15835777;1.654e-06;3.7698e-05;0.013829944;3.491381879;2.122076077;0.016196643;0.013020225;0.014610463;-7e-09;6.5011e-05;0.000774532;0.020418259;3.119712199;2.62466568
2.679869116;1979.47214076;1.716e-06;4.0523e-05;0.014765422;3.754292955;2.15342432;0.016258017;0.013061763;0.014661995;-7e-09;6.5417e-05;0.000731597;0.021382942;3.198194869;2.679869116
