Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2(test) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
3.9e-08;1e-06;-6e-09;0.002809982;0.072590108;3.7e-08;1791.2006954;20.056327288;2e-09;513277549.093;0.0;-0.000114457;0.001948264;0.0;3.943e-05;0.002857732
0.142834617;73.313782991;6e-08;6.285e-06;0.003130427;-0.024353417;268.582310827;1.771213536;0.170126409;5.877982178;-0.0;3.5666e-05;0.002320524;0.000532568;3.9496e-05;5.4035e-05
0.340252855;146.627565982;1.21e-07;9.312e-06;0.003819961;0.015383191;274.650184914;1.086377016;0.33743681;2.963517823;-0.0;4.1496e-05;0.002301319;0.001288996;3.9556e-05;5.7063e-05
0.480271426;219.941348974;1.81e-07;9.699e-06;0.004108803;0.056472582;260.525238021;0.79174909;0.453051674;2.207253736;-1e-09;4.4943e-05;0.002059875;0.0018615;3.9617e-05;5.745e-05
0.642287304;293.255131965;2.41e-07;9.906e-06;0.004078433;0.07242291;264.75053355;0.473963358;0.622530063;1.606348126;-1e-09;4.7413e-05;0.002122828;0.002538947;3.9677e-05;5.7656e-05
0.791536458;366.568914956;3.01e-07;1.0512e-05;0.004280429;0.128090998;260.441655206;0.292577739;0.746337223;1.339876894;-1e-09;4.9349e-05;0.002036008;0.003194643;3.9737e-05;5.8262e-05
0.940822193;439.882697947;3.61e-07;1.0946e-05;0.004389777;0.177922743;259.330965278;0.124720224;0.882743838;1.13283147;-1e-09;5.0947e-05;0.002006771;0.003875048;3.9796e-05;5.8696e-05
1.085784404;513.196480938;4.2e-07;1.1479e-05;0.004542904;0.244608447;257.108658951;-0.004664673;1.00467557;0.995346189;-2e-09;5.2311e-05;0.001957682;0.004564145;3.9856e-05;5.923e-05
1.227872356;586.51026393;4.8e-07;1.2004e-05;0.004688047;0.31817566;255.261539699;-0.116457151;1.123509369;0.890068234;-2e-09;5.3504e-05;0.001915583;0.005267064;3.9916e-05;5.9754e-05
1.366661746;659.824046921;5.39e-07;1.256e-05;0.004843806;0.402403897;253.304901631;-0.211074032;1.235003781;0.80971412;-2e-09;5.4567e-05;0.001871717;0.005982119;3.9975e-05;6.031e-05
1.502317641;733.137829912;5.99e-07;1.3135e-05;0.005004248;0.495763204;251.393417155;-0.293277158;1.340814357;0.745815403;-2e-09;5.5527e-05;0.001828871;0.006709768;4.0035e-05;6.0885e-05
1.634824617;806.451612903;6.58e-07;1.3735e-05;0.005171781;0.598667232;249.479477209;-0.364971886;1.44047351;0.694216168;-2e-09;5.6403e-05;0.001786187;0.007449814;4.0094e-05;6.1485e-05
1.764221915;879.765395894;7.17e-07;1.436e-05;0.005346115;0.710851075;247.577821942;-0.428039692;1.534246976;0.651785544;-3e-09;5.7211e-05;0.001743927;0.00820226;4.0153e-05;6.211e-05
1.890532447;953.079178886;7.76e-07;1.5012e-05;0.005527872;0.832281771;245.684160232;-0.483754021;1.622152581;0.616464821;-3e-09;5.796e-05;0.001702012;0.008967051;4.0212e-05;6.2762e-05
2.013783851;1026.39296188;8.35e-07;1.5692e-05;0.005717429;0.962850866;243.799884118;-0.533147804;1.70428864;0.58675507;-3e-09;5.866e-05;0.001660464;0.00974415;4.0271e-05;6.3442e-05
2.134002253;1099.70674487;8.94e-07;1.6402e-05;0.00591529;1.102475497;241.924682641;-0.577021523;1.780726672;0.561568497;-3e-09;5.9318e-05;0.001619274;0.010533515;4.033e-05;6.4153e-05
2.251214073;1173.02052786;9.52e-07;1.7145e-05;0.006121969;1.251065635;240.058741314;-0.616020932;1.851545938;0.540089219;-3e-09;5.9939e-05;0.001578443;0.011335107;4.0388e-05;6.4895e-05
2.365445495;1246.33431085;1.011e-06;1.7922e-05;0.006338034;1.408534435;238.202099279;-0.650668902;1.916822566;0.521696696;-4e-09;6.0528e-05;0.001537968;0.012148887;4.0447e-05;6.5672e-05
