Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
4.8e-08;1e-06;-395.826961167;-68.858557331;19.849578064;1.647e-05;94.469169229;19.832926784;2e-09;410516542.428;1.702e-06;-0.039134103;0.002435955;4.8e-08;-0.003251071;-0.00052419
0.178458319;73.26007326;4318.11442765;4318.83403513;0.851936727;61.667552063;257.20785368;1.545461853;0.213213375;4.690137281;-1.8569e-05;0.012188459;0.002910363;0.181644305;0.035942817;0.035957114
0.426426796;146.52014652;8627.6184679;8628.67061396;1.030460076;149.177490881;257.108142468;0.852930147;0.426164377;2.346512414;-3.7102e-05;0.014177473;0.002908572;0.439145376;0.071774025;0.071791087
0.604622696;219.78021978;12928.5463659;12929.6214705;1.095409417;215.128284091;244.4787425;0.548124618;0.578032827;1.730005553;-5.5597e-05;0.015351603;0.002630049;0.633182602;0.107533927;0.107551181
0.811782014;293.04029304;17220.9321941;17222.0130034;1.077969226;293.012281382;249.087408957;0.223051877;0.800073343;1.249885413;-7.4056e-05;0.016192086;0.00273025;0.862454442;0.143222807;0.143240108
1.004659367;366.3003663;21504.8098305;21505.9375798;1.11896283;368.208203328;245.114761886;0.032041169;0.968466711;1.032560014;-9.2478e-05;0.016849736;0.002643914;1.083678252;0.178840945;0.178858637
1.199168698;439.56043956;25780.2129147;25781.3685965;1.135918651;446.052419548;244.426015077;-0.144668004;1.155655834;0.865309524;-0.000110864;0.01739173;0.002629117;1.312731016;0.214388623;0.214406546
1.389877978;512.820512821;30047.1749175;30048.3677114;1.162810953;524.715608718;242.575431684;-0.283629427;1.327940741;0.753045651;-0.000129213;0.017853903;0.002589484;1.544144038;0.249866117;0.249884349
1.578580338;586.080586081;34305.7291247;34306.9569241;1.186889774;604.782121153;241.115310802;-0.405093989;1.499443424;0.666914125;-0.000147526;0.018257645;0.002558425;1.779674068;0.285273705;0.285292228
1.764738834;659.340659341;38555.9085804;38557.1733463;1.212562068;686.062042448;239.536231444;-0.509742018;1.664861635;0.600650516;-0.000165803;0.018616753;0.00252504;2.018748067;0.320611661;0.320630491
1.94854959;732.600732601;42797.7461612;42799.048473;1.238359611;768.607954303;238.001534933;-0.602252352;1.826227479;0.54757691;-0.000184045;0.018940647;0.002492801;2.26152635;0.355880259;0.355899402
2.12998433;805.860805861;47031.2745584;47032.6154754;1.26476555;852.398727908;236.460773264;-0.684576968;1.982932814;0.504303521;-0.00020225;0.019236047;0.002460639;2.50794511;0.391079771;0.391099234
2.309082829;879.120879121;51256.526262;51257.9067143;1.291636949;937.435599735;234.92957935;-0.758598628;2.135281799;0.468322261;-0.00022042;0.019507914;0.002428883;2.758008869;0.426210466;0.426230259
2.48586463;952.380952381;55473.5335571;55474.9545433;1.319029932;1023.71331534;233.403373074;-0.825608865;2.283270545;0.437968248;-0.000238555;0.019760016;0.002397434;3.011702192;0.461272614;0.461292743
2.660355221;1025.64102564;59682.3285738;59683.7910998;1.346939378;1111.22863795;231.883619801;-0.886654088;2.426995539;0.412032072;-0.000256654;0.019995282;0.002366321;3.269015861;0.496266481;0.496286956
2.832578279;1098.9010989;63882.9432241;63884.448323;1.375379439;1199.97783896;230.369972219;-0.942550975;2.566520204;0.389632623;-0.000274718;0.020216033;0.002335533;3.529939118;0.531192333;0.531213161
3.002557915;1172.16117216;68075.409242;68076.9579688;1.404358717;1289.9574185;228.86261216;-0.99396184;2.701917862;0.370107476;-0.000292747;0.020424142;0.002305074;3.794461903;0.566050433;0.566071624
