Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
3.7e-08;1e-06;4918.85180933;4918.85180426;26.638125426;8.918e-06;176.851956303;20.403936642;1e-09;726636305.174;1.439e-06;0.002021184;0.001376204;3.7e-08;0.040936779;0.040945093
0.100820862;73.26007326;4847.58020757;9638645.48956;0.758362461;25.269145731;9210.59414068;1.982699325;0.137697046;7.262319914;-1.5693e-05;0.002046167;0.001879565;0.104424271;0.040344194;80.140200827
0.275394127;146.52014652;4783.28686308;4783.87117672;0.910717723;70.187957814;222.174635308;1.14508942;0.318195464;3.142722366;-3.1355e-05;0.002069361;0.002171684;0.289786248;0.039809629;0.039822802
0.419016326;219.78021978;4719.16088127;4719.7630772;1.071339682;109.391446872;208.733319423;0.864445115;0.421285252;2.373688597;-4.6985e-05;0.002092526;0.001916848;0.451339609;0.039276456;0.039289778
0.556250962;293.04029304;4655.20175577;4655.81963471;1.137023596;148.752974547;204.595393398;0.616817292;0.539659285;1.853021022;-6.2585e-05;0.002115661;0.001841587;0.613605341;0.03874467;0.038758122
0.688845968;366.3003663;4591.4089842;4592.05111053;1.192461692;188.708201074;201.247962793;0.426676921;0.652674384;1.532157574;-7.8153e-05;0.002138766;0.001781801;0.7782892;0.038214268;0.038227921
0.817320715;439.56043956;4527.78206813;4528.45300983;1.245931608;229.374475023;198.135996081;0.275535032;0.759165836;1.31723525;-9.3691e-05;0.002161842;0.001727102;0.945868711;0.037685244;0.037699137
0.941901247;512.820512821;4464.32051306;4465.02349875;1.299999372;270.796958479;195.113657169;0.152139549;0.858868418;1.164322705;-0.000109198;0.002184889;0.001674793;1.116528404;0.037157596;0.037171755
1.062711692;586.080586081;4401.02382839;4401.76161467;1.355801775;312.995887807;192.126446997;0.04947855;0.951725573;1.050723054;-0.000124674;0.002207907;0.001623882;1.290351221;0.036631318;0.036645766
1.17983264;659.340659341;4337.89152737;4338.66673724;1.413994929;355.980913299;189.14943442;-0.037057395;1.037752581;0.963620827;-0.00014012;0.002230896;0.001573925;1.467376886;0.036106407;0.036121166
1.293323377;732.600732601;4274.92312715;4275.73840803;1.475050311;399.756549034;186.169436975;-0.110642238;1.116995217;0.895258981;-0.000155536;0.002253856;0.001524698;1.647624142;0.035582858;0.035597951
1.403231684;805.860805861;4212.11814866;4212.97626064;1.539368664;444.324573055;183.178600669;-0.173544803;1.189513979;0.840679486;-0.000170922;0.002276788;0.001476079;1.831100545;0.035060669;0.035076118
1.509598646;879.120879121;4149.47611667;4150.37999147;1.6073316;489.685202393;180.171715731;-0.227435998;1.255377091;0.796573402;-0.000186277;0.002299692;0.001427991;2.017807268;0.034539834;0.034555663
1.612461199;952.380952381;4086.99655974;4087.94934759;1.67932896;535.837716377;177.144964427;-0.273575828;1.314657044;0.760654655;-0.000201603;0.002322567;0.00138039;2.207741646;0.03402035;0.034036586
1.711853575;1025.64102564;4024.67901017;4025.68412266;1.755776032;582.780808879;174.095283958;-0.312932149;1.367428747;0.73129953;-0.000216898;0.002345415;0.001333243;2.400898619;0.033502213;0.033518884
1.807808163;1098.9010989;3962.52300404;3963.58415745;1.837126544;630.512797873;171.02001745;-0.346258815;1.413768472;0.707329396;-0.000232164;0.002368235;0.001286529;2.597271588;0.032985419;0.033002557
1.900356038;1172.16117216;3900.52808112;3901.649343;1.923884258;679.031755477;167.916709176;-0.374148643;1.453753224;0.687874657;-0.0002474;0.002391027;0.001240233;2.796852944;0.032469965;0.032487602
1.989527316;1245.42124542;3838.69378492;3839.87962615;2.016614709;728.335591629;164.782975733;-0.397070201;1.487460347;0.672286829;-0.000262607;0.002413791;0.001194343;2.999634416;0.031955846;0.03197402
2.075351373;1318.68131868;3777.0196626;3778.27501712;2.115958113;778.422109575;161.616418558;-0.415393837;1.514967274;0.660080265;-0.000277785;0.002436529;0.00114885;3.205607293;0.031443059;0.031461811
2.157857013;1391.94139194;3715.505265;3716.83559923;2.222644295;829.289043642;158.41455918;-0.429410357;1.536351358;0.650892776;-0.000292933;0.002459239;0.001103747;3.414762581;0.0309316;0.030950975
2.237072569;1465.2014652;3654.15014662;3655.56154129;2.337510491;880.93408556;155.174786576;-0.43934451;1.551689767;0.644458719;-0.000308052;0.002481923;0.001059028;3.62709111;0.030421465;0.030441514
2.31302599;1538.46153846;3592.95386555;3594.45311305;2.461522988;933.35490317;151.89431014;-0.445364696;1.561059404;0.640590613;-0.000323142;0.00250458;0.001014689;3.84258361;0.029912651;0.02993343
