Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
4.1e-08;1e-06;-0.000412084;305.277711462;27.039129295;1.1289e-05;1507.69670053;20.300952142;2e-09;655528371.438;1.506e-06;0.002274032;0.001525487;4.1e-08;3.9432e-05;0.00258597
0.1121682;73.529411765;0.004478997;0.344502218;0.766211197;32.474721927;248.294396952;1.860555741;0.155586141;6.427307697;-1.6364e-05;0.002299685;0.002115972;0.119211843;3.9473e-05;5.0615e-05
0.311172321;147.058823529;0.013577337;0.562151843;0.899543633;89.317598639;273.129818536;1.009958794;0.364233988;2.745487881;-4.9604e-05;0.002343495;0.002476791;0.327644365;3.9549e-05;5.2424e-05
0.476402188;220.588235294;0.017712869;0.686381295;1.059306719;138.762150965;258.467119351;0.73349323;0.480228508;2.082342017;-6.4712e-05;0.002365628;0.002177036;0.508709285;3.9583e-05;5.3457e-05
0.631324659;294.117647059;0.022781773;0.753336143;1.132653017;189.092213041;253.845557688;0.491191869;0.611896659;1.634262887;-8.3231e-05;0.002391546;0.002080449;0.693066597;3.9625e-05;5.4014e-05
0.782350518;367.647058824;0.027992185;0.800931427;1.180363948;240.001647736;251.330252081;0.294171804;0.745148461;1.342014448;-0.000102267;0.002417908;0.002026804;0.879546379;3.9669e-05;5.441e-05
0.929384044;441.176470588;0.033228553;0.847698482;1.227864017;291.77158181;248.761649099;0.138419719;0.870733152;1.148457479;-0.000121397;0.002444304;0.001973662;1.069141906;3.9712e-05;5.4798e-05
1.072594902;514.705882353;0.038459382;0.894332323;1.275156149;344.476015827;246.280949652;0.010269719;0.989782834;1.010322634;-0.000140508;0.002470651;0.001923007;1.262127667;3.9756e-05;5.5186e-05
1.212179139;588.235294118;0.043677632;0.941298037;1.32254739;398.135768353;243.903996879;-0.097904855;1.102857849;0.906735171;-0.000159572;0.002496919;0.001874858;1.458581769;3.9799e-05;5.5577e-05
1.348309364;661.764705882;0.048883084;0.988973371;1.37041774;452.752502307;241.614437376;-0.190804753;1.210223137;0.826293904;-0.00017859;0.002523096;0.001828782;1.658511256;3.9842e-05;5.5973e-05
