Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
4.1e-08;1e-06;-0.000412084;299.627612361;26.538688063;1.1289e-05;1507.95914699;20.282270688;2e-09;643395827.45;1.506e-06;0.002274032;0.001554253;4.1e-08;3.9432e-05;0.002538993
0.11428336;73.529411765;0.004478997;0.334531773;0.753015884;32.072155459;248.709707858;1.855574037;0.156363159;6.395368374;-1.6364e-05;0.002299685;0.002126539;0.117743942;3.9473e-05;5.0532e-05
0.312726356;147.058823529;0.008949063;0.555988313;0.900037792;89.01892932;272.596990689;1.013859731;0.362815902;2.756218774;-3.2695e-05;0.002323532;0.002467148;0.326548023;3.951e-05;5.2373e-05
0.477099262;220.588235294;0.013410233;0.675922768;1.050727571;138.603319763;259.28140364;0.72647845;0.483609048;2.067785959;-4.8993e-05;0.002347349;0.002192361;0.508141361;3.9547e-05;5.337e-05
0.635132389;294.117647059;0.017862543;0.729056003;1.107193828;188.299761222;255.871284619;0.472583133;0.623389888;1.604132534;-6.5259e-05;0.002371137;0.002119526;0.690213436;3.9584e-05;5.3812e-05
0.788794206;367.647058824;0.022306028;0.772950661;1.152679177;238.659294592;253.23588639;0.275972162;0.758834055;1.317811178;-8.1493e-05;0.002394896;0.002064029;0.874692214;3.9621e-05;5.4177e-05
0.938666011;441.176470588;0.026740723;0.814373622;1.19525707;289.831361344;250.836762195;0.118095499;0.888611187;1.125351577;-9.7695e-05;0.002418627;0.002014185;1.062118803;3.9658e-05;5.4521e-05
1.084997935;514.705882353;0.031166661;0.855464536;1.237351987;341.873828685;248.538964525;-0.012330389;1.012406722;0.987745318;-0.000113865;0.002442329;0.001966962;1.252703469;3.9695e-05;5.4863e-05
1.227925074;588.235294118;0.035583879;0.897132264;1.279964742;394.812926424;246.29385774;-0.122343176;1.130141873;0.884844659;-0.000130002;0.002466003;0.001921241;1.44654175;3.9732e-05;5.5209e-05
1.367533403;661.764705882;0.03999241;0.939851626;1.323606915;448.661443029;244.08006382;-0.216577339;1.241819123;0.805270254;-0.000146109;0.002489649;0.001876527;1.643680378;3.9768e-05;5.5565e-05
1.503884879;735.294117647;0.044392289;0.983918029;1.368590611;503.425642676;241.886887978;-0.298232873;1.347475542;0.742128498;-0.000162183;0.002513267;0.001832567;1.844142374;3.9805e-05;5.5931e-05
1.637028511;808.823529412;0.048783548;1.0295455;1.415137977;559.108311958;239.708461383;-0.369606453;1.447164975;0.691006221;-0.000178226;0.002536858;0.001789222;2.047938115;3.9841e-05;5.631e-05
1.767005784;882.352941176;0.053166223;1.076909804;1.463428758;615.710251542;237.541329382;-0.432399202;1.540950143;0.648950263;-0.000194238;0.002560421;0.00174641;2.255070754;3.9878e-05;5.6704e-05
1.893853535;955.882352941;0.057540346;1.12616953;1.513623314;673.231067499;235.383342347;-0.487904164;1.628898735;0.613911705;-0.000210218;0.002583956;0.001704079;2.465539101;3.9914e-05;5.7114e-05
2.017605589;1029.41176471;0.061905951;1.177477438;1.565874877;731.669618537;233.23310069;-0.537125519;1.711081315;0.584425761;-0.000226168;0.002607465;0.001662193;2.679339244;3.995e-05;5.754e-05
2.138293723;1102.94117647;0.06626307;1.230987155;1.620336714;791.024282074;231.089657958;-0.580857231;1.787570134;0.55941861;-0.000242086;0.002630946;0.00162073;2.896465518;3.9987e-05;5.7985e-05
2.255948274;1176.47058823;0.070611738;1.286857549;1.677166749;851.2931194;228.952353099;-0.619736571;1.858438411;0.538086166;-0.000257974;0.002654401;0.001579673;3.116911108;4.0023e-05;5.845e-05
2.370598525;1250.0;0.074951986;1.345255909;1.736530868;912.473981934;226.820711316;-0.654281548;1.923759892;0.519815391;-0.00027383;0.002677829;0.001539008;3.340668434;4.0059e-05;5.8935e-05
2.482272967;1323.52941177;0.079283846;1.406360524;1.79860557;974.564581719;224.694383167;-0.684917692;1.983608562;0.504131722;-0.000289656;0.00270123;0.001498726;3.567729408;4.0095e-05;5.9443e-05
2.590999476;1397.05882353;0.083607353;1.470362992;1.863580308;1037.56253942;222.573105902;-0.711997618;2.038058456;0.490663061;-0.000305452;0.002724606;0.001458821;3.798085606;4.0131e-05;5.9976e-05
2.696805436;1470.58823529;0.087922537;1.537470462;1.931659735;1101.46541777;220.456678225;-0.735815567;2.087183536;0.47911455;-0.000321217;0.002747955;0.001419285;4.031728396;4.0167e-05;6.0533e-05
2.79971783;1544.11764706;0.09222943;1.607907934;2.003065999;1166.27074538;218.34494338;-0.756618381;2.131057598;0.469250573;-0.000336952;0.002771279;0.001380113;4.268649017;4.0203e-05;6.1119e-05
2.899763302;1617.64705882;0.096528065;1.681920734;2.078041196;1231.97603394;216.237777595;-0.774613897;2.169754217;0.460881694;-0.000352656;0.002794576;0.001341303;4.508838648;4.0238e-05;6.1735e-05
2.996968213;1691.17647059;0.100818472;1.75977723;2.156850049;1298.57879086;214.135082005;-0.789977434;2.203346706;0.453855037;-0.000368331;0.002817848;0.001302848;4.75228845;4.0274e-05;6.2382e-05
3.091358668;1764.70588235;0.105100684;1.841771875;2.239782919;1366.07652875;212.036776932;-0.802856862;2.231908083;0.448047125;-0.000383976;0.002841095;0.001264748;4.998989602;4.031e-05;6.3064e-05
3.182960553;1838.23529412;0.109374732;1.928228662;2.327159207;1434.46677249;209.942797759;-0.813376581;2.255511059;0.4433585;-0.000399591;0.002864317;0.001226998;5.248933327;4.0345e-05;6.3782e-05
3.271799553;1911.76470588;0.113640647;2.019505087;2.419331247;1503.74706471;207.853091929;-0.821640663;2.274228021;0.439709647;-0.000415176;0.002887514;0.001189596;5.502110913;4.0381e-05;6.4541e-05
3.35790117;1985.29411765;0.117898459;2.115996704;2.516688802;1573.91496996;205.767616726;-0.827735337;2.288131023;0.43703791;-0.000430731;0.002910686;0.00115254;5.758513724;4.0416e-05;6.5344e-05
3.44129074;2058.82352941;0.122148199;2.218142426;2.61966427;1644.96807797;203.686337626;-0.831730946;2.297291789;0.435295161;-0.000446257;0.002933833;0.001115827;6.018133217;4.0451e-05;6.6193e-05
