Defined Configuration:----------------------
Number of components: 2 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           Methane(Lit), Ethane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
4.1e-08;1e-06;-0.00016611;303.824091086;26.39556613;1.1509e-05;1856.43382065;20.280242821;2e-09;642092428.583;5.93e-07;-7.91e-07;0.001557408;4.1e-08;3.6258e-05;0.002570708
0.072144875;46.323652896;0.002865819;0.353614833;0.761300393;21.242275597;297.217717366;2.301366751;0.100121908;9.987823996;-1.0235e-05;1.8303e-05;0.002161356;0.076222848;3.6283e-05;4.7514e-05
0.200243856;92.647305792;0.009024879;0.575795739;0.894488067;58.469351239;327.520157885;1.450782482;0.234386813;4.266451629;-3.2232e-05;5.2301e-05;0.002529883;0.209656207;3.6334e-05;4.9361e-05
0.306531688;138.970958688;0.011781228;0.7014356;1.053057869;90.704305691;310.015161397;1.175485716;0.308669018;3.239716143;-4.2076e-05;6.982e-05;0.002221104;0.325046338;3.6357e-05;5.0406e-05
0.406023201;185.294611584;0.015236546;0.765259058;1.123858441;123.265961167;304.40203589;0.93403021;0.392966776;2.544744392;-5.4416e-05;9.041e-05;0.002120767;0.441639028;3.6386e-05;5.0937e-05
0.503015076;231.61826448;0.018807882;0.808764549;1.168651991;156.085162738;301.368548454;0.737178067;0.4784622;2.090029262;-6.7171e-05;0.000111378;0.002065736;0.559155803;3.6416e-05;5.1298e-05
0.597408081;277.941917376;0.022409589;0.851387058;1.213372896;189.331250734;298.246276905;0.581747743;0.558920663;1.789162696;-8.0034e-05;0.000132397;0.002010926;0.678179184;3.6446e-05;5.1653e-05
0.689321964;324.265570272;0.026018304;0.893595022;1.25767915;223.050831859;295.238974488;0.453814253;0.635200709;1.574305548;-9.2923e-05;0.000153394;0.00195889;0.798878688;3.6476e-05;5.2004e-05
0.778893998;370.589223168;0.029629547;0.935871617;1.301883849;257.25968797;292.363816613;0.345768852;0.707676046;1.413075949;-0.00010582;0.000174344;0.001909597;0.921312014;3.6506e-05;5.2355e-05
0.866240976;416.912876064;0.033243913;0.978639808;1.346414453;291.962274227;289.596316522;0.252954034;0.776503574;1.287824079;-0.000118728;0.000195235;0.001862508;1.045495635;3.6536e-05;5.2711e-05
0.951450348;463.23652896;0.036862534;1.022273499;1.391699265;327.158988307;286.905536474;0.172299307;0.841727201;1.188033366;-0.000131652;0.000216059;0.001817057;1.171431127;3.6566e-05;5.3073e-05
1.034586416;509.560181856;0.040485845;1.067070331;1.438085997;362.848580987;284.267936368;0.1016305;0.903363283;1.106974369;-0.000144592;0.000236814;0.001772829;1.299114087;3.6596e-05;5.3446e-05
1.115698217;555.883834752;0.04411349;1.113262409;1.48584234;399.028919875;281.668122966;0.039331019;0.961432404;1.040114725;-0.000157548;0.000257497;0.001729556;1.428536972;3.6626e-05;5.383e-05
1.19482515;602.207487648;0.047744489;1.161038801;1.535181857;435.697228923;279.096326847;-0.01583822;1.01596431;0.984286545;-0.000170516;0.000278107;0.001687067;1.559689976;3.6656e-05;5.4227e-05
1.272000419;648.531140544;0.051377406;1.210563824;1.586286655;472.85017864;276.546229111;-0.064847118;1.066995888;0.937210735;-0.000183491;0.000298646;0.00164525;1.692561338;3.6687e-05;5.4639e-05
1.347253134;694.854793441;0.055010478;1.261988659;1.639321751;510.483946573;274.013649596;-0.108467976;1.114569215;0.897207627;-0.000196466;0.000319112;0.001604032;1.827137556;3.6717e-05;5.5067e-05
1.420609647;741.178446337;0.058641699;1.315458198;1.694443294;548.594278533;271.495830159;-0.147325253;1.158730783;0.863013234;-0.000209435;0.000339507;0.001563363;1.963403605;3.6747e-05;5.5511e-05
1.492094482;787.502099233;0.062268894;1.371115127;1.751803281;587.176553391;268.991034637;-0.181931037;1.199531467;0.83365883;-0.000222389;0.000359832;0.001523211;2.10134316;3.6777e-05;5.5974e-05
1.561730997;833.825752129;0.065889769;1.42910258;1.811552511;626.225848204;266.498301904;-0.212710684;1.237026708;0.808389984;-0.000235321;0.000380086;0.001483555;2.240938839;3.6807e-05;5.6456e-05
1.629541894;880.149405025;0.069501963;1.489566077;1.873842691;665.737000642;264.017273071;-0.240021615;1.271276629;0.786610858;-0.000248221;0.000400271;0.001444387;2.382172419;3.6837e-05;5.6959e-05
1.695549589;926.473057921;0.073103082;1.552655109;1.938828138;705.704666975;261.54805818;-0.264167244;1.302345988;0.767845111;-0.000261082;0.000420385;0.001405703;2.525025046;3.6867e-05;5.7483e-05
1.759776492;972.796710817;0.076690735;1.618524547;2.006667308;746.123374945;259.091127687;-0.285407442;1.330303939;0.751707915;-0.000273895;0.000440431;0.001367505;2.669477425;3.6897e-05;5.8031e-05
1.822245202;1019.12036371;0.080262559;1.68733599;2.077524232;786.987571397;256.647222225;-0.303966499;1.355223654;0.737885586;-0.000286652;0.000460406;0.001329797;2.815509982;3.6927e-05;5.8603e-05
1.882978643;1065.44401661;0.083816246;1.759259091;2.151569944;828.291664994;254.217277355;-0.320039256;1.377181826;0.726120532;-0.000299344;0.000480312;0.00129259;2.963103024;3.6956e-05;5.9201e-05
1.942000144;1111.7676695;0.08734956;1.834472906;2.228983908;870.030064433;251.802361168;-0.333795882;1.396258113;0.716199956;-0.000311963;0.000500149;0.00125589;3.112236866;3.6986e-05;5.9826e-05
1.999333485;1158.0913224;0.090860355;1.913167303;2.309955504;912.19721267;249.403623102;-0.345385643;1.412534549;0.707947286;-0.000324501;0.000519916;0.001219709;3.262891954;3.7015e-05;6.0481e-05
2.055002908;1204.4149753;0.094346585;1.995544445;2.394685564;954.787617654;247.022252494;-0.3549399;1.426094943;0.701215585;-0.000336952;0.000539614;0.001184056;3.415048974;3.7044e-05;6.1166e-05
2.109033096;1250.73862819;0.097806321;2.081820374;2.483388011;997.795880012;244.659445594;-0.362574524;1.43702431;0.695882451;-0.000349308;0.000559241;0.001148941;3.568688944;3.7073e-05;6.1883e-05
2.161449153;1297.06228109;0.101237756;2.172226727;2.576291601;1041.21671809;242.316379789;-0.368391854;1.445408318;0.691846026;-0.000361563;0.0005788;0.001114371;3.723793309;3.7101e-05;6.2635e-05
2.212276548;1343.38593399;0.104639213;2.267012605;2.673641812;1085.04499059;239.994193987;-0.372482295;1.451332783;0.689021851;-0.000373711;0.000598288;0.001080354;3.880344012;3.7129e-05;6.3423e-05
2.261541069;1389.70958688;0.108009152;2.366446624;2.7757029;1129.2757171;237.693974161;-0.374925636;1.45488322;0.68734039;-0.000385747;0.000617707;0.001046897;4.038323573;3.7157e-05;6.425e-05
