Defined Configuration:----------------------
Number of components: 1 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           Methane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
1e-09;1e-08;0.0;1.0;1.0;1.0;1.0;1.0;-0.0;-0.0;-4594741.5985;-4824478.67843;-4365004.51858;1.0;1.0;1.0
0.160493241;74.622544577;2.1e-08;1.0;1.0;1.0;1.0;1.0;-6.9596e-05;-6.9541e-05;1074657.82207;1128506.16919;1020807.90905;1.0;1.0;1.0
0.384176308;149.245089153;4.2e-08;1.0;1.0;1.0;1.0;1.0;-0.000138915;-0.000138807;1246547.77823;1309105.62101;1183986.80986;1.0;1.0;1.0
0.546121231;223.86763373;6.2e-08;1.0;1.0;1.0;1.0;1.0;-0.000207961;-0.000207799;1346687.02477;1414366.37411;1279002.9963;1.0;1.0;1.0
0.734901356;298.490178307;8.3e-08;1.0;1.0;1.0;1.0;1.0;-0.000276737;-0.00027652;1417454.08077;1488785.87797;1346116.057;1.0;1.0;1.0
0.911733035;373.112722883;1.03e-07;1.0;1.0;1.0;1.0;1.0;-0.000345244;-0.000344974;1472129.87776;1546309.11511;1397942.87242;1.0;1.0;1.0
1.09089791;447.73526746;1.24e-07;1.0;1.0;1.0;1.0;1.0;-0.000413486;-0.000413163;1516630.06796;1593147.5247;1440103.30779;1.0;1.0;1.0
1.267530045;522.357812037;1.44e-07;1.0;1.0;1.0;1.0;1.0;-0.000481465;-0.000481088;1554110.21663;1632614.45455;1475595.14576;1.0;1.0;1.0
1.443244107;596.980356613;1.65e-07;1.0;1.0;1.0;1.0;1.0;-0.000549183;-0.000548754;1586453.89493;1666687.65858;1506207.77466;1.0;1.0;1.0
1.617564376;671.60290119;1.85e-07;1.0;1.0;1.0;1.0;1.0;-0.000616644;-0.000616162;1614876.02753;1696642.81186;1533095.3687;1.0;1.0;1.0
1.790672378;746.225445767;2.05e-07;1.0;1.0;1.0;1.0;1.0;-0.000683849;-0.000683315;1640206.14128;1723350.92171;1557045.97424;1.0;1.0;1.0
1.962548049;820.847990344;2.25e-07;1.0;1.0;1.0;1.0;1.0;-0.000750801;-0.000750215;1663035.8905;1747433.22919;1578621.65877;1.0;1.0;1.0
2.133232075;895.47053492;2.45e-07;1.0;1.0;1.0;1.0;1.0;-0.000817503;-0.000816864;1683802.11884;1769348.42414;1598237.41972;1.0;1.0;1.0
2.302746705;970.093079497;2.65e-07;1.0;1.0;1.0;1.0;1.0;-0.000883957;-0.000883266;1702836.55938;1789444.83022;1616208.39951;1.0;1.0;1.0
2.471119241;1044.71562407;2.85e-07;1.0;1.0;1.0;1.0;1.0;-0.000950165;-0.000949422;1720397.06368;1807993.19546;1632779.55318;1.0;1.0;1.0
2.638375094;1119.33816865;3.05e-07;1.0;1.0;1.0;1.0;1.0;-0.001016129;-0.001015335;1736688.03058;1825208.14248;1648145.05577;1.0;1.0;1.0
2.804539798;1193.96071323;3.24e-07;1.0;1.0;1.0;1.0;1.0;-0.001081852;-0.001081007;1751874.22847;1841262.68187;1662461.43339;1.0;1.0;1.0
2.969638431;1268.5832578;3.44e-07;1.0;1.0;1.0;1.0;1.0;-0.001147337;-0.00114644;1766090.41967;1856298.3178;1675856.70647;1.0;1.0;1.0
3.133695779;1343.20580238;3.63e-07;1.0;1.0;1.0;1.0;1.0;-0.001212584;-0.001211636;1779448.2298;1870432.26084;1688436.91562;1.0;1.0;1.0
3.296736303;1417.82834696;3.83e-07;1.0;1.0;1.0;1.0;1.0;-0.001277597;-0.001276598;1792041.15729;1883762.68799;1700290.88066;1.0;1.0;1.0
3.458784152;1492.45089153;4.02e-07;1.0;1.0;1.0;1.0;1.0;-0.001342377;-0.001341328;1803948.29647;1896372.65188;1711493.73757;1.0;1.0;1.0
3.619863171;1567.07343611;4.22e-07;1.0;1.0;1.0;1.0;1.0;-0.001406928;-0.001405828;1815237.1514;1908333.03531;1722109.61162;1.0;1.0;1.0
3.779996906;1641.69598069;4.41e-07;1.0;1.0;1.0;1.0;1.0;-0.00147125;-0.0014701;1825965.79441;1919704.81772;1732193.66798;1.0;1.0;1.0
3.939208614;1716.31852526;4.6e-07;1.0;1.0;1.0;1.0;1.0;-0.001535346;-0.001534146;1836184.54449;1930540.83751;1741793.7062;1.0;1.0;1.0
4.097521268;1790.94106984;4.79e-07;1.0;1.0;1.0;1.0;1.0;-0.001599218;-0.001597968;1845937.28823;1940887.17897;1750951.41508;1.0;1.0;1.0
4.254957565;1865.56361442;4.98e-07;1.0;1.0;1.0;1.0;1.0;-0.001662868;-0.001661568;1855262.53083;1950784.27597;1759703.37118;1.0;1.0;1.0
4.411539936;1940.18615899;5.17e-07;1.0;1.0;1.0;1.0;1.0;-0.001726297;-0.001724948;1864194.241;1960267.79892;1768081.84138;1.0;1.0;1.0
4.567290546;2014.80870357;5.36e-07;1.0;1.0;1.0;1.0;1.0;-0.001789509;-0.001788111;1872762.53614;1969369.37441;1776115.43392;1.0;1.0;1.0
4.722231309;2089.43124815;5.55e-07;1.0;1.0;1.0;1.0;1.0;-0.001852505;-0.001851057;1880994.24302;1978117.17375;1783829.63093;1.0;1.0;1.0
4.876383888;2164.05379272;5.74e-07;1.0;1.0;1.0;1.0;1.0;-0.001915287;-0.00191379;1888913.35991;1986536.39832;1791247.22754;1.0;1.0;1.0
5.029769708;2238.6763373;5.93e-07;1.0;1.0;1.0;1.0;1.0;-0.001977856;-0.00197631;1896541.44035;1994649.68251;1798388.69643;1.0;1.0;1.0
5.182409955;2313.29888188;6.12e-07;1.0;1.0;1.0;1.0;1.0;-0.002040215;-0.002038621;1903897.91405;2002477.43061;1805272.49265;1.0;1.0;1.0
5.334325589;2387.92142645;6.3e-07;1.0;1.0;1.0;1.0;1.0;-0.002102366;-0.002100723;1911000.35672;2010038.10019;1811915.31002;1.0;1.0;1.0
5.485537347;2462.54397103;6.49e-07;1.0;1.0;1.0;1.0;1.0;-0.00216431;-0.002162618;1917864.71842;2017348.44185;1818332.29801;1.0;1.0;1.0
5.63606575;2537.16651561;6.67e-07;1.0;1.0;1.0;1.0;1.0;-0.002226049;-0.002224309;1924505.51778;2024423.70317;1824537.24629;1.0;1.0;1.0
5.785931108;2611.78906018;6.86e-07;1.0;1.0;1.0;1.0;1.0;-0.002287585;-0.002285796;1930936.00812;2031277.80307;1830542.74252;1.0;1.0;1.0
5.935153527;2686.41160476;7.04e-07;1.0;1.0;1.0;1.0;1.0;-0.002348919;-0.002347083;1937168.32009;2037923.48168;1836360.30783;1.0;1.0;1.0
6.083752913;2761.03414934;7.22e-07;1.0;1.0;1.0;1.0;1.0;-0.002410054;-0.00240817;1943213.58479;2044372.42953;1842000.51385;1.0;1.0;1.0
6.23174898;2835.65669391;7.41e-07;1.0;1.0;1.0;1.0;1.0;-0.002470991;-0.002469059;1949082.04049;2050635.39966;1847473.08403;1.0;1.0;1.0
6.379161252;2910.27923849;7.59e-07;1.0;1.0;1.0;1.0;1.0;-0.002531732;-0.002529753;1954783.12544;2056722.30505;1852786.98186;1.0;1.0;1.0
6.526009074;2984.90178307;7.77e-07;1.0;1.0;1.0;1.0;1.0;-0.002592278;-0.002590252;1960325.55894;2062642.30377;1857950.48786;1.0;1.0;1.0
6.672311611;3059.52432764;7.95e-07;1.0;1.0;1.0;1.0;1.0;-0.002652632;-0.002650558;1965717.41247;2068403.8736;1862971.26712;1.0;1.0;1.0
6.818087856;3134.14687222;8.13e-07;1.0;1.0;1.0;1.0;1.0;-0.002712794;-0.002710674;1970966.17208;2074014.87765;1867856.42866;1.0;1.0;1.0
6.963356635;3208.7694168;8.31e-07;1.0;1.0;1.0;1.0;1.0;-0.002772767;-0.002770599;1976078.79366;2079482.62225;1872612.57782;1.0;1.0;1.0
7.108136615;3283.39196137;8.49e-07;1.0;1.0;1.0;1.0;1.0;-0.002832552;-0.002830337;1981061.75163;2084813.90822;1877245.86264;1.0;1.0;1.0
7.2524463;3358.01450595;8.67e-07;1.0;1.0;1.0;1.0;1.0;-0.00289215;-0.002889889;1985921.08233;2090015.07634;1881762.01495;1.0;1.0;1.0
7.396304046;3432.63705053;8.85e-07;1.0;1.0;1.0;1.0;1.0;-0.002951563;-0.002949256;1990662.42255;2095092.04782;1886166.3871;1.0;1.0;1.0
7.53972806;3507.2595951;9.03e-07;1.0;1.0;1.0;1.0;1.0;-0.003010794;-0.00300844;1995291.04393;2100050.36047;1890463.98453;1.0;1.0;1.0
7.682736405;3581.88213968;9.2e-07;1.0;1.0;1.0;1.0;1.0;-0.003069842;-0.003067443;1999811.88376;2104895.20097;1894659.49511;1.0;1.0;1.0
7.825347005;3656.50468426;9.38e-07;1.0;1.0;1.0;1.0;1.0;-0.00312871;-0.003126265;2004229.57261;2109631.4339;1898757.31533;1.0;1.0;1.0
7.96757765;3731.12722883;9.55e-07;1.0;1.0;1.0;1.0;1.0;-0.0031874;-0.003184908;2008548.45907;2114263.62779;1902761.57386;1.0;1.0;1.0
8.109446;3805.74977341;9.73e-07;1.0;1.0;1.0;1.0;1.0;-0.003245912;-0.003243375;2012772.63223;2118796.07861;1906676.15283;1.0;1.0;1.0
8.25096959;3880.37231799;9.9e-07;1.0;1.0;1.0;1.0;1.0;-0.003304249;-0.003301666;2016905.94176;2123232.83093;1910504.70699;1.0;1.0;1.0
8.392165831;3954.99486256;1.008e-06;1.0;1.0;1.0;1.0;1.0;-0.003362411;-0.003359782;2020952.01624;2127577.69717;1914250.68108;1.0;1.0;1.0
8.533052019;4029.61740714;1.025e-06;1.0;1.0;1.0;1.0;1.0;-0.0034204;-0.003417726;2024914.27971;2131834.27492;1917917.32551;1.0;1.0;1.0
8.673645336;4104.23995172;1.043e-06;1.0;1.0;1.0;1.0;1.0;-0.003478217;-0.003475498;2028795.96669;2136005.96276;1921507.71073;1.0;1.0;1.0
8.813962853;4178.86249629;1.06e-06;1.0;1.0;1.0;1.0;1.0;-0.003535864;-0.003533101;2032600.13587;2140095.97464;1925024.74014;1.0;1.0;1.0
8.954021536;4253.48504087;1.077e-06;1.0;1.0;1.0;1.0;1.0;-0.003593343;-0.003590534;2036329.68259;2144107.35295;1928471.16201;1.0;1.0;1.0
9.09383825;4328.10758545;1.094e-06;1.0;1.0;1.0;1.0;1.0;-0.003650654;-0.003647801;2039987.35023;2148042.98049;1931849.58024;1.0;1.0;1.0
9.233429761;4402.73013002;1.111e-06;1.0;1.0;1.0;1.0;1.0;-0.003707799;-0.003704901;2043575.74059;2151905.59139;1935162.4643;1.0;1.0;1.0
9.372812742;4477.3526746;1.129e-06;1.0;1.0;1.0;1.0;1.0;-0.00376478;-0.003761837;2047097.32349;2155697.78117;1938412.15826;1.0;1.0;1.0
9.512003775;4551.97521918;1.146e-06;1.0;1.0;1.0;1.0;1.0;-0.003821597;-0.003818609;2050554.44545;2159422.01586;1941600.88911;1.0;1.0;1.0
9.651019353;4626.59776375;1.163e-06;1.0;1.0;1.0;1.0;1.0;-0.003878251;-0.00387522;2053949.33776;2163080.64049;1944730.77438;1.0;1.0;1.0
9.789875888;4701.22030833;1.18e-06;1.0;1.0;1.0;1.0;1.0;-0.003934746;-0.00393167;2057284.1239;2166675.88683;1947803.8292;1.0;1.0;1.0
9.928589711;4775.84285291;1.196e-06;1.0;1.0;1.0;1.0;1.0;-0.00399108;-0.00398796;2060560.8263;2170209.88055;1950821.97275;1.0;1.0;1.0
10.067177077;4850.46539748;1.213e-06;1.0;1.0;1.0;1.0;1.0;-0.004047256;-0.004044093;2063781.37265;2173684.64783;1953787.03421;1.0;1.0;1.0
10.205654167;4925.08794206;1.23e-06;1.0;1.0;1.0;1.0;1.0;-0.004103275;-0.004100068;2066947.6017;2177102.12142;1956700.7583;1.0;1.0;1.0
10.344037095;4999.71048664;1.247e-06;1.0;1.0;1.0;1.0;1.0;-0.004159139;-0.004155888;2070061.26865;2180464.14631;1959564.81037;1.0;1.0;1.0
10.482341904;5074.33303122;1.263e-06;1.0;1.0;1.0;1.0;1.0;-0.004214847;-0.004211553;2073124.05006;2183772.48493;1962380.78112;1.0;1.0;1.0
10.620584578;5148.95557579;1.28e-06;1.0;1.0;1.0;1.0;1.0;-0.004270403;-0.004267065;2076137.54851;2187028.822;1965150.19097;1.0;1.0;1.0
10.758781039;5223.57812037;1.297e-06;1.0;1.0;1.0;1.0;1.0;-0.004325806;-0.004322424;2079103.29687;2190234.76899;1967874.49411;1.0;1.0;1.0
10.896947153;5298.20066495;1.313e-06;1.0;1.0;1.0;1.0;1.0;-0.004381058;-0.004377633;2082022.76223;2193391.86833;1970555.08232;1.0;1.0;1.0
11.035098733;5372.82320952;1.33e-06;1.0;1.0;1.0;1.0;1.0;-0.00443616;-0.004432693;2084897.34963;2196501.59724;1973193.28842;1.0;1.0;1.0
11.17325154;5447.4457541;1.346e-06;1.0;1.0;1.0;1.0;1.0;-0.004491114;-0.004487603;2087728.4055;2199565.37138;1975790.38956;1.0;1.0;1.0
