Defined Configuration:----------------------
Number of components: 1 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           Methane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
1e-09;0.0;nan;1.0;1.0;1.0;1.0;1.0;1.0;1.0;-inf;1.0;1.0;1.0;1.0;1.0
0.158870975;74.622544577;1.7e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01063888;1.0;1.0;1.0;1.0;1.0
0.380265483;149.245089153;3.4e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.012340358;1.0;1.0;1.0;1.0;1.0
0.540505241;223.86763373;5.1e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.013331506;1.0;1.0;1.0;1.0;1.0
0.727278256;298.490178307;6.8e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01403187;1.0;1.0;1.0;1.0;1.0
0.902189111;373.112722883;8.5e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.014572931;1.0;1.0;1.0;1.0;1.0
1.079377009;447.73526746;1.02e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.015013255;1.0;1.0;1.0;1.0;1.0
1.25402505;522.357812037;1.19e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.015384081;1.0;1.0;1.0;1.0;1.0
1.427732122;596.980356613;1.35e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.015704057;1.0;1.0;1.0;1.0;1.0
1.600027621;671.60290119;1.52e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01598521;1.0;1.0;1.0;1.0;1.0
1.771091613;746.225445767;1.68e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016235754;1.0;1.0;1.0;1.0;1.0
1.94090458;820.847990344;1.85e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016461544;1.0;1.0;1.0;1.0;1.0
2.109507142;895.47053492;2.01e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016666907;1.0;1.0;1.0;1.0;1.0
2.276921657;970.093079497;2.18e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016855126;1.0;1.0;1.0;1.0;1.0
2.443175484;1044.71562407;2.34e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017028753;1.0;1.0;1.0;1.0;1.0
