Defined Configuration:----------------------
Number of components: 1 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           Methane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
1e-09;0.0;nan;1.0;1.0;1.0;1.0;1.0;1.0;1.0;-inf;1.0;1.0;1.0;1.0;1.0
0.160331017;74.622544577;1.7e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.010735808;1.0;1.0;1.0;1.0;1.0
0.383785234;149.245089153;3.4e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.012452966;1.0;1.0;1.0;1.0;1.0
0.545559651;223.86763373;5.1e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.013453334;1.0;1.0;1.0;1.0;1.0
0.734139079;298.490178307;6.7e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.014160274;1.0;1.0;1.0;1.0;1.0
0.910778695;373.112722883;8.4e-08;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.014706462;1.0;1.0;1.0;1.0;1.0
1.089745895;447.73526746;1.01e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.015150996;1.0;1.0;1.0;1.0;1.0
1.266179647;522.357812037;1.17e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0155254;1.0;1.0;1.0;1.0;1.0
1.44169304;596.980356613;1.34e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.015848491;1.0;1.0;1.0;1.0;1.0
1.615810866;671.60290119;1.5e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016132406;1.0;1.0;1.0;1.0;1.0
1.788714505;746.225445767;1.67e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016385431;1.0;1.0;1.0;1.0;1.0
1.960383948;820.847990344;1.83e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.016613478;1.0;1.0;1.0;1.0;1.0
2.130859873;895.47053492;1.99e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01682091;1.0;1.0;1.0;1.0;1.0
2.30016454;970.093079497;2.16e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017011042;1.0;1.0;1.0;1.0;1.0
2.468325259;1044.71562407;2.32e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017186449;1.0;1.0;1.0;1.0;1.0
2.635367444;1119.33816865;2.48e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017349174;1.0;1.0;1.0;1.0;1.0
2.801316638;1193.96071323;2.64e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017500862;1.0;1.0;1.0;1.0;1.0
2.966197923;1268.5832578;2.8e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01764286;1.0;1.0;1.0;1.0;1.0
3.130036091;1343.20580238;2.96e-07;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.017776283;1.0;1.0;1.0;1.0;1.0
