Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
2.4e-08;1e-06;2.647e-05;8719.65251533;978.857361046;8.908e-06;1877.12214953;23.813265127;0.0;21977062377.1;-1.32e-07;-6.3e-07;4.5502e-05;4.5e-08;2.9236e-05;0.072536771
0.002937721;64.561947188;3.530438095;31.071907696;125.421398369;14.176687892;37.146861749;7.478357837;0.000565185;1769.33285582;-0.01765219;0.01599924;8.754e-06;0.070886265;5.8589e-05;0.000295896
0.001130393;129.123894377;2.579983102;1.216967629;-6.020810338;29.255866575;nan;nan;-0.024275462;-41.193859853;-0.012899916;0.015678569;-0.000188001;0.146157956;5.0686e-05;4.7668e-05
-0.021337742;193.685841565;2.125216669;1.7509765;-1.886496357;38.524928692;nan;nan;-0.101837174;-9.819596925;-0.010626083;0.015415536;-0.000525785;0.192115458;4.6905e-05;5.2108e-05
-0.066761056;258.247788753;1.810235989;1.597479438;-1.176576965;46.896549012;nan;nan;-0.198448981;-5.039078525;-0.00905118;0.015221255;-0.000768444;0.2334905;4.4286e-05;5.0832e-05
-0.120562233;322.809735942;1.565626101;1.468445597;-0.755726872;41.785422405;nan;nan;-0.274641425;-3.641111318;-0.007828131;0.01502236;-0.000850784;0.207553905;4.2253e-05;4.9759e-05
-0.176617626;387.37168313;1.491751167;1.41413806;-0.591235099;51.28142217;nan;nan;-0.430043638;-2.325345413;-0.007458756;0.0148306;-0.001110158;0.254256893;4.1638e-05;4.9308e-05
-0.263910112;451.933630318;1.419281359;1.292418245;-0.780146494;73.961958519;nan;nan;-0.471007379;-2.123108987;-0.007096407;0.014689201;-0.001042205;0.367454756;4.1036e-05;4.8296e-05
-0.311191163;516.495577507;1.340951655;1.289482912;-0.300163358;90.03828307;nan;nan;-1.475247286;-0.677852459;-0.006704758;0.014579422;-0.002856263;0.442815179;4.0385e-05;4.8271e-05
-0.632721933;581.057524695;1.26802388;1.331488656;0.319297448;113.684652338;344.584746722;-0.592526497;1.80855195;0.552928546;-0.006340119;0.01448996;0.003112518;0.577466021;3.9778e-05;4.862e-05
0.09070927;645.619471883;1.199287197;1.21728382;0.129461265;86.282387729;451.378034879;-1.243068867;3.46623457;0.288497498;-0.005996436;0.014413643;0.005368851;0.448743111;3.9207e-05;4.7671e-05
0.060524981;710.181419072;1.128340477;1.117792499;-0.081186456;97.951337195;nan;nan;-5.682524915;-0.175978111;-0.005641702;0.014306866;-0.008001512;0.461344061;3.8617e-05;4.6844e-05
-0.942477078;774.74336626;1.065161848;1.043792476;-0.124534951;138.278315409;nan;nan;-5.337490538;-0.187353962;-0.005325809;0.014234986;-0.006889366;0.664704124;3.8092e-05;4.6228e-05
-0.829056776;839.305313448;1.008901296;0.888094038;-0.860185568;118.559937248;nan;nan;-0.685170567;-1.459490597;-0.005044506;0.014162624;-0.000816354;0.589373833;3.7624e-05;4.4934e-05
-1.047887934;903.867260637;0.962601526;0.930635699;-0.243209669;121.24047416;nan;nan;-2.44229958;-0.409450179;-0.004813008;0.014090039;-0.002702056;0.593990873;3.7239e-05;4.5288e-05
-1.177956716;968.429207825;0.927650318;0.893805662;-0.271979973;122.724846009;nan;nan;-2.215410101;-0.451383696;-0.004638252;0.01401911;-0.002287632;0.60254718;3.6948e-05;4.4981e-05
-1.343275948;1032.99115501;0.902892344;0.871770625;-0.245657466;133.530630206;nan;nan;-2.663607681;-0.375430664;-0.004514462;0.013952131;-0.002578539;0.654335113;3.6742e-05;4.4798e-05
-1.510907676;1097.5531022;0.885205104;0.851730409;-0.248812852;150.629541025;nan;nan;-2.967334785;-0.337002756;-0.004426026;0.013890777;-0.002703591;0.738311031;3.6595e-05;4.4631e-05
-1.692374158;1162.11504939;0.871216294;0.834659733;-0.251018679;172.613210912;nan;nan;-3.371105798;-0.296638569;-0.004356081;0.013835708;-0.002900837;0.846210526;3.6479e-05;4.449e-05
-1.885474987;1226.67699658;0.858708937;0.818407111;-0.255438087;197.327739425;nan;nan;-3.788380992;-0.263965003;-0.004293545;0.013786787;-0.003088328;0.967696792;3.6375e-05;4.4354e-05
-2.091151104;1291.23894377;0.846669956;0.802596415;-0.25925311;223.746740224;nan;nan;-4.233568718;-0.236207339;-0.00423335;0.013743515;-0.003278687;1.097565858;3.6275e-05;4.4223e-05
-2.308831858;1355.80089096;0.834700364;0.786638038;-0.263465599;252.023777943;nan;nan;-4.69378161;-0.213047833;-0.004173502;0.013705345;-0.003461999;1.236649982;3.6175e-05;4.409e-05
-2.538177924;1420.36283814;0.821939738;0.769127809;-0.269524758;283.475494892;nan;nan;-5.163022397;-0.193685001;-0.004109699;0.013671948;-0.003635002;1.391562362;3.6069e-05;4.3945e-05
-2.778197531;1484.92478533;0.807780925;0.750756752;-0.27293283;315.930638457;nan;nan;-5.683578983;-0.175945474;-0.004038905;0.013643062;-0.00382752;1.551235297;3.5952e-05;4.3792e-05
-3.032402184;1549.48673252;0.792546584;0.729081423;-0.284167629;352.146774274;nan;nan;-6.088972948;-0.164231309;-0.003962733;0.013618176;-0.003929671;1.730289007;3.5825e-05;4.3612e-05
-3.285611943;1614.04867971;0.776087528;0.714644216;-0.266556411;379.029521993;nan;nan;-6.978835827;-0.143290375;-0.003880438;0.013596941;-0.004323808;1.860253431;3.5688e-05;4.3492e-05
-3.59070905;1678.6106269;0.756960467;0.652032526;-0.388675229;458.992384936;nan;nan;-5.829581743;-0.171538893;-0.003784802;0.013579401;-0.003472861;2.265814016;3.5529e-05;4.2971e-05
-3.734041308;1743.17257408;0.731754934;0.702570097;-0.141696469;371.705746126;nan;nan;-12.66921245;-0.078931505;-0.003658775;0.013566117;-0.007267905;1.795182668;3.5319e-05;4.3391e-05
-4.529169231;1807.73452127;0.694715119;0.915887998;0.391121384;1009.17679312;539.496060758;-2.570176348;13.068128774;0.07652205;-0.003473576;0.013558511;0.007229009;5.111224609;3.5011e-05;4.5165e-05
-2.800603538;1872.29646846;0.639405195;0.604400805;0.060231397;-997.785739627;nan;nan;-90.327766129;-0.011070793;-0.003197026;0.013559442;-0.048244371;-5.440567529;3.4552e-05;4.2575e-05
-10.758670344;1936.85841565;0.555257229;-1.296581068;-0.459772214;7885.97961311;nan;nan;-84.837038266;-0.011787304;-0.002776286;0.013573894;-0.043801363;39.005712874;3.3852e-05;2.6769e-05
-8.456406089;2001.42036284;0.262498356;0.736855174;0.161965783;5680.70059881;1980.62800052;-5.19823992;180.953468829;0.005526283;-0.001312492;0.0144548;0.090412525;29.308270338;3.1418e-05;4.3676e-05
0.915747;2065.98231003;0.45487572;0.615627814;-0.126419599;-2730.9550887;1424.24470673;-4.643449342;103.902124114;0.009624442;-0.002274379;0.014267599;0.050291875;-13.135264823;3.3017e-05;4.2668e-05
