Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
7.1e-08;1e-06;-2e-09;0.002792797;0.039140439;6.8e-08;2429.83191359;19.444468706;4e-09;278371944.271;0.0;-0.000114645;0.003592316;0.0;5.4223e-05;0.002855337
0.231926986;64.561947188;3.02e-06;9.996e-06;0.001795368;-0.024474394;410.658309044;1.289856363;0.275310325;3.632264792;-6e-09;3.5062e-05;0.004264282;0.000494283;5.7246e-05;7.2536e-05
0.550620717;129.123894377;5.795e-06;1.6776e-05;0.002271331;0.08267182;415.933641531;0.613213051;0.541607856;1.84635431;-1.1e-08;4.1271e-05;0.004194482;0.001230171;6.0021e-05;7.9316e-05
0.773534843;193.685841565;8.352e-06;2.0691e-05;0.00255771;0.214509686;392.803168713;0.328642956;0.719900007;1.389081803;-1.6e-08;4.5075e-05;0.003716844;0.001841296;6.2578e-05;8.3231e-05
1.030554055;258.247788753;1.0714e-05;2.3986e-05;0.002620914;0.324511774;397.907732314;0.016908874;0.983233279;1.017052638;-2.1e-08;4.7885e-05;0.003807325;0.00257697;6.494e-05;8.6526e-05
1.265151482;322.809735942;1.2902e-05;2.7722e-05;0.00283886;0.515431687;389.961117881;-0.156759712;1.169714512;0.854909458;-2.5e-08;5.0143e-05;0.003623542;0.003320655;6.7128e-05;9.0262e-05
1.49843986;387.37168313;1.4933e-05;3.1021e-05;0.00298852;0.710328562;387.140788504;-0.318466236;1.375017195;0.727263633;-2.9e-08;5.2047e-05;0.003549607;0.004109266;6.9158e-05;9.3561e-05
1.723490547;451.933630318;1.6822e-05;3.4334e-05;0.003166465;0.943976239;382.70839603;-0.441738885;1.555409547;0.642917489;-3.3e-08;5.3705e-05;0.003441677;0.00492515;7.1047e-05;9.6874e-05
1.942842588;516.495577507;1.8582e-05;3.749e-05;0.003335363;1.198133625;378.971125154;-0.54805299;1.729881639;0.578074232;-3.7e-08;5.5178e-05;0.003349267;0.005769784;7.2807e-05;0.00010003
2.155960957;581.057524695;2.0225e-05;4.0573e-05;0.003509227;1.477254802;375.156032624;-0.637568629;1.891875432;0.528576027;-4e-08;5.6508e-05;0.003255918;0.00663902;7.4451e-05;0.000103113
2.36325935;645.619471883;2.1762e-05;4.3568e-05;0.00368366;1.777339023;371.494359579;-0.715113478;2.044418666;0.489136602;-4.3e-08;5.7725e-05;0.0031666;0.007530943;7.5988e-05;0.000106107
2.56484469;710.181419072;2.3201e-05;4.6494e-05;0.003860631;2.097739611;367.901835381;-0.78254725;2.187036105;0.457239822;-4.6e-08;5.8847e-05;0.003079546;0.00844334;7.7427e-05;0.000109034
2.760902278;774.74336626;2.4552e-05;4.9359e-05;0.004039972;2.436858254;364.393627274;-0.84174724;2.320417764;0.43095688;-4.8e-08;5.9891e-05;0.002995079;0.009374423;7.8777e-05;0.000111899
2.951580984;839.305313448;2.582e-05;5.2172e-05;0.004222215;2.793610134;360.956155527;-0.893971829;2.444820804;0.409027933;-5.1e-08;6.0867e-05;0.00291291;0.01032256;8.0045e-05;0.000114712
3.137028556;903.867260637;2.7012e-05;5.4942e-05;0.00440767;3.166904246;357.585743258;-0.940245138;2.560609044;0.390532089;-5.3e-08;6.1786e-05;0.002832948;0.011286319;8.1238e-05;0.000117482
3.317382276;968.429207825;2.8135e-05;5.7677e-05;0.00459672;3.555793348;354.276809542;-0.981359361;2.668080664;0.374801262;-5.5e-08;6.2653e-05;0.00275506;0.012264419;8.2361e-05;0.000120217
3.492772644;1032.99115501;2.9194e-05;6.0385e-05;0.004789736;3.959407691;351.025198717;-1.017954172;2.767527084;0.361333411;-5.8e-08;6.3476e-05;0.002679139;0.013255723;8.3419e-05;0.000122925
3.663323162;1097.5531022;3.0193e-05;6.3073e-05;0.004987103;4.376961024;347.827058385;-1.05054793;2.859217339;0.34974606;-5.9e-08;6.4259e-05;0.002605083;0.01425921;8.4418e-05;0.000125613
3.829151155;1162.11504939;3.1136e-05;6.5748e-05;0.005189216;4.8077358;344.679052826;-1.079567262;2.943405553;0.339742513;-6.1e-08;6.5006e-05;0.0025328;0.015273967;8.5362e-05;0.000128287
3.990368223;1226.67699658;3.2028e-05;6.8417e-05;0.005396487;5.251076997;341.578211589;-1.105366384;3.020330867;0.331089554;-6.3e-08;6.572e-05;0.002462206;0.016299176;8.6254e-05;0.000130957
4.14708072;1291.23894377;3.2873e-05;7.1087e-05;0.005609341;5.706383622;338.521887729;-1.128242098;3.090219421;0.323601617;-6.5e-08;6.6405e-05;0.00239322;0.017334096;8.7098e-05;0.000133626
4.299390165;1355.80089096;3.3672e-05;7.3764e-05;0.005828229;6.173106745;335.507748357;-1.148444911;3.153285454;0.317129551;-6.6e-08;6.7063e-05;0.002325773;0.018378069;8.7898e-05;0.000136304
4.44739362;1420.36283814;3.4431e-05;7.6456e-05;0.006053612;6.650728762;332.53357622;-1.166187598;3.209732493;0.311552443;-6.8e-08;6.7697e-05;0.002259798;0.019430476;8.8656e-05;0.000138996
4.591184028;1484.92478533;3.515e-05;7.9169e-05;0.006285998;7.138797732;329.597652362;-1.181651816;3.259754274;0.306771589;-6.9e-08;6.8308e-05;0.002195232;0.020490807;8.9375e-05;0.000141709
4.730850514;1549.48673252;3.5832e-05;8.191e-05;0.006525907;7.636876219;326.698192639;-1.194993359;3.303535831;0.302705964;-7.1e-08;6.8897e-05;0.002132019;0.021558567;9.0058e-05;0.00014445
4.866478681;1614.04867971;3.6481e-05;8.4685e-05;0.006773886;8.144542754;323.833461045;-1.206346018;3.341253439;0.29928888;-7.2e-08;6.9468e-05;0.002070107;0.02263327;9.0706e-05;0.000147225
4.998150789;1678.6106269;3.7097e-05;8.7502e-05;0.007030536;8.66144014;321.002305988;-1.215825891;3.37307871;0.296465065;-7.3e-08;7.002e-05;0.002009447;0.023714553;9.1323e-05;0.000150041
5.125946274;1743.17257408;3.7684e-05;9.0367e-05;0.007296509;9.18722526;318.203135108;-1.223529966;3.399165519;0.294189852;-7.4e-08;7.0555e-05;0.001949988;0.024802041;9.1909e-05;0.000152907
5.249940827;1807.73452127;3.8242e-05;9.3289e-05;0.007572405;9.721534758;315.435834455;-1.229554467;3.419705605;0.292422833;-7.5e-08;7.1074e-05;0.001891708;0.025895396;9.2467e-05;0.000155829
5.37021096;1872.29646846;3.8773e-05;9.6275e-05;0.007859104;10.264132486;312.697372372;-1.233953901;3.434783517;0.291139163;-7.6e-08;7.1578e-05;0.00183453;0.026994321;9.2998e-05;0.000158815
5.486822449;1936.85841565;3.9279e-05;9.9334e-05;0.008157367;10.814717412;309.987243814;-1.236795997;3.444559388;0.290312893;-7.7e-08;7.2068e-05;0.001778426;0.028098537;9.3505e-05;0.000161874
5.599848252;2001.42036284;3.9762e-05;0.000102473;0.008467795;11.372916194;307.3076505;-1.23816551;3.449279988;0.289915578;-7.8e-08;7.2546e-05;0.001723416;0.029207794;9.3987e-05;0.000165013
5.709356642;2065.98231003;4.0222e-05;0.000105702;0.008791605;11.938599651;304.654123913;-1.238071672;3.44895633;0.289942784;-7.9e-08;7.301e-05;0.001669403;0.030321861;9.4447e-05;0.000168242
