Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
8.7e-08;1e-06;-1e-09;0.002797785;0.032351401;8.2e-08;2511.01444979;19.254058794;4e-09;230107878.593;0.0;-0.000114684;0.004345788;0.0;6.1691e-05;0.002867792
0.280572602;64.561947188;7.7e-07;7.186e-06;0.001410812;-0.044718857;449.576426656;1.083779742;0.338314365;2.955830742;-1e-09;3.4758e-05;0.005240151;0.000477298;6.2463e-05;7.7193e-05
0.676628811;129.123894377;1.536e-06;1.0901e-05;0.001699045;0.030726988;458.971286257;0.384102339;0.681061725;1.468295697;-2e-09;4.0694e-05;0.005274483;0.001157154;6.3228e-05;8.0909e-05
0.961634326;193.685841565;2.264e-06;1.2112e-05;0.001842386;0.121762028;434.754476782;0.090445169;0.913524422;1.094661485;-4e-09;4.4217e-05;0.004716527;0.001683064;6.3956e-05;8.2119e-05
1.285645092;258.247788753;2.976e-06;1.3132e-05;0.001841761;0.167049815;441.919569331;-0.228663967;1.256919602;0.795595835;-5e-09;4.6765e-05;0.004867107;0.002314946;6.4669e-05;8.3139e-05
1.590094127;322.809735942;3.671e-06;1.4417e-05;0.001923362;0.27913926;436.330141035;-0.421685713;1.524529309;0.655940161;-6e-09;4.8776e-05;0.004722687;0.002932222;6.5363e-05;8.4424e-05
1.895456816;387.37168313;4.347e-06;1.556e-05;0.001972876;0.387446131;435.202928725;-0.595680448;1.814265039;0.551187384;-7e-09;5.0446e-05;0.004683525;0.00357932;6.604e-05;8.5568e-05
2.19484914;451.933630318;5.007e-06;1.6753e-05;0.002035334;0.524957382;432.614072922;-0.733987418;2.08337134;0.479991243;-8e-09;5.1881e-05;0.004609906;0.004240358;6.6699e-05;8.6761e-05
2.49070577;516.495577507;5.65e-06;1.7915e-05;0.002093313;0.676011655;430.604091655;-0.854505175;2.35021115;0.425493684;-9e-09;5.3143e-05;0.004550303;0.004919728;6.7342e-05;8.7922e-05
2.782401928;581.057524695;6.277e-06;1.9077e-05;0.00215319;0.846183044;428.479872203;-0.958542239;2.607892017;0.383451459;-1e-08;5.4273e-05;0.004488182;0.005615287;6.797e-05;8.9084e-05
3.070237329;645.619471883;6.889e-06;2.0229e-05;0.002212982;1.032824487;426.443050709;-1.050483126;2.859032057;0.349768726;-1.1e-08;5.5299e-05;0.004428355;0.006326987;6.8582e-05;9.0237e-05
3.354208339;710.181419072;7.487e-06;2.1378e-05;0.002273451;1.236316493;424.42146375;-1.132321473;3.102851331;0.322284213;-1.2e-08;5.6239e-05;0.004369097;0.007054181;6.918e-05;9.1385e-05
3.634392117;774.74336626;8.07e-06;2.2521e-05;0.002334426;1.455978344;422.431601629;-1.205900349;3.33976468;0.299422293;-1.3e-08;5.7109e-05;0.004310801;0.007796435;6.9763e-05;9.2528e-05
3.910835786;839.305313448;8.64e-06;2.3659e-05;0.00239601;1.691492845;420.465686487;-1.272510444;3.569803113;0.280127494;-1.4e-08;5.7919e-05;0.004253283;0.008553284;7.0332e-05;9.3666e-05
4.183592596;903.867260637;9.196e-06;2.4794e-05;0.002458199;1.942421748;418.524942669;-1.333195011;3.793143183;0.263633602;-1.5e-08;5.8679e-05;0.004196571;0.009324302;7.0888e-05;9.4801e-05
4.452713383;968.429207825;9.738e-06;2.5926e-05;0.00252101;2.208365677;416.609080198;-1.388774608;4.009933299;0.249380707;-1.6e-08;5.9395e-05;0.004140657;0.010109083;7.1431e-05;9.5933e-05
4.718250369;1032.99115501;1.0269e-05;2.7055e-05;0.002584442;2.488914407;414.718958476;-1.439917335;4.22034693;0.236947345;-1.7e-08;6.0073e-05;0.00408556;0.01090724;7.1961e-05;9.7062e-05
4.98025675;1097.5531022;1.0787e-05;2.8181e-05;0.00264849;2.783665724;412.85547333;-1.487171302;4.424562053;0.226011069;-1.8e-08;6.0716e-05;0.004031297;0.011718409;7.2479e-05;9.8188e-05
5.238787081;1162.11504939;1.1293e-05;2.9304e-05;0.002713149;3.092222506;411.019648307;-1.530992723;4.622763668;0.216320814;-1.8e-08;6.133e-05;0.003977888;0.012542246;7.2985e-05;9.9312e-05
5.493897157;1226.67699658;1.1787e-05;3.0426e-05;0.002778408;3.414196102;409.212456062;-1.571765007;4.815139454;0.207678305;-1.9e-08;6.1916e-05;0.003925352;0.013378423;7.348e-05;0.000100433
5.745643866;1291.23894377;1.227e-05;3.1546e-05;0.002844258;3.749207045;407.434778529;-1.609813467;5.001878127;0.199924903;-2e-08;6.2479e-05;0.003873705;0.014226631;7.3963e-05;0.000101553
5.99408497;1355.80089096;1.2742e-05;3.2665e-05;0.002910686;4.096885876;405.687370374;-1.645416378;5.183167614;0.192932213;-2.1e-08;6.3019e-05;0.003822956;0.015086574;7.4435e-05;0.000102672
6.239278877;1420.36283814;1.3204e-05;3.3782e-05;0.002977681;4.456873352;403.970850679;-1.678813571;5.359193895;0.186595227;-2.1e-08;6.3539e-05;0.003773116;0.015957971;7.4896e-05;0.00010379
6.481284415;1484.92478533;1.3655e-05;3.4899e-05;0.003045231;4.828820383;402.285705228;-1.710213161;5.530140162;0.180827243;-2.2e-08;6.4041e-05;0.003724189;0.016840552;7.5348e-05;0.000104906
6.72016063;1549.48673252;1.4096e-05;3.6015e-05;0.003113321;5.212387731;400.63229689;-1.739796882;5.696186305;0.175556056;-2.3e-08;6.4526e-05;0.003676176;0.017734058;7.5789e-05;0.000106022
6.955966607;1614.04867971;1.4528e-05;3.713e-05;0.00318194;5.607245578;399.01087962;-1.767724365;5.857508632;0.170721046;-2.4e-08;6.4995e-05;0.003629078;0.01863824;7.6221e-05;0.000107137
7.18876132;1678.6106269;1.495e-05;3.8245e-05;0.003251072;6.013073013;397.42161391;-1.794136602;6.014279761;0.166270948;-2.4e-08;6.545e-05;0.003582892;0.019552856;7.6643e-05;0.000108252
7.418603512;1743.17257408;1.5363e-05;3.9359e-05;0.003320703;6.429557487;395.864582079;-1.819158764;6.166668641;0.16216211;-2.5e-08;6.5891e-05;0.003537612;0.020477673;7.7056e-05;0.000109366
