Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
8.5e-08;1e-06;-0.000384862;1306.46465891;27.089442981;4.8225e-05;4301.15984256;19.573524411;3e-09;316718653.983;6.83e-07;0.004687259;0.003157376;8.6e-08;5.8217e-05;0.010929085
0.254808042;80.702433985;0.545735936;2.07690783;0.789713274;156.122226095;425.997828037;1.045833185;0.351398917;2.845768587;-0.000967857;0.004864281;0.004354254;0.277504389;6.2757e-05;8.3803e-05
0.702797915;161.404867971;1.068604128;3.652165247;0.950604757;437.849028114;478.038827032;0.200407531;0.818397163;1.221900619;-0.001895159;0.005053285;0.005070461;0.777972237;6.7105e-05;9.69e-05
1.073205205;242.107301956;1.558214936;4.841928925;1.142644915;694.684055621;457.029424694;-0.076858774;1.079889557;0.926020623;-0.002763478;0.005219519;0.004460376;1.233930311;7.1175e-05;0.000106792
1.422724287;322.809735942;2.025134003;5.726605446;1.239926559;962.284389879;450.189888375;-0.320883228;1.378344619;0.725507965;-0.003591555;0.005385557;0.004269836;1.709046101;7.5058e-05;0.000114148
1.762377514;403.512169927;2.468959635;6.518761769;1.315407627;1240.6353655;445.677330842;-0.515775478;1.674936876;0.597037425;-0.004378675;0.005548282;0.004150896;2.203224741;7.8748e-05;0.000120734
2.092699037;484.214603912;2.891393316;7.285274965;1.388740783;1530.06569853;441.429884511;-0.6711404;1.956467204;0.511125358;-0.005127857;0.005707654;0.004040496;2.717025797;8.226e-05;0.000127107
2.414533249;564.917037898;3.294161887;8.031939834;1.46063592;1830.16296252;437.516267368;-0.799697324;2.224867413;0.449464986;-0.005842163;0.005863788;0.003938397;3.24972126;8.5609e-05;0.000133315
2.728375441;645.619471883;3.678627361;8.764597108;1.532351015;2140.37171913;433.829553596;-0.908283668;2.480062269;0.403215682;-0.006524008;0.006016791;0.003841368;3.800325934;8.8806e-05;0.000139407
3.034548816;726.321905869;4.045930013;9.486705461;1.604546833;2460.12548631;430.311383761;-1.001426177;2.722161344;0.367355154;-0.007175416;0.006166766;0.003747872;4.367835363;9.1859e-05;0.000145411
3.333300184;807.024339854;4.397076863;10.200494837;1.677574647;2788.87636298;426.930490801;-1.082296709;2.951450395;0.338816469;-0.007798171;0.006313811;0.003657201;4.951278355;9.4779e-05;0.000151346
3.624838895;887.726773839;4.73298366;10.907617628;1.751647102;3126.10807531;423.667967821;-1.153194526;3.16829797;0.315626879;-0.008393899;0.006458024;0.003569001;5.549739959;9.7572e-05;0.000157225
3.90935436;968.429207825;5.05449774;11.609433488;1.826908977;3471.34364037;420.511541878;-1.215836797;3.373115496;0.296461832;-0.008964101;0.006599498;0.003483079;6.162374979;0.000100245;0.00016306
4.187024811;1049.13164181;5.362410821;12.30713707;1.903468183;3824.14778804;417.452923698;-1.271539495;3.566338699;0.280399616;-0.009510181;0.006738329;0.003399324;6.788412242;0.000102805;0.000168861
4.458021852;1129.8340758;5.657465788;13.001816598;1.9814107;4184.12531002;414.486295309;-1.321333361;3.748416038;0.266779352;-0.010033458;0.006874609;0.003317669;7.427151644;0.000105259;0.000174637
4.722512816;1210.53650978;5.940360148;13.694480024;2.060808212;4550.91706315;411.607370758;-1.366040759;3.919800497;0.255115025;-0.010535169;0.007008429;0.003238069;8.077957053;0.000107611;0.000180396
4.980661919;1291.23894377;6.211748041;14.386066487;2.141722223;4924.1950967;408.812803125;-1.406328242;4.080943624;0.245041366;-0.011016472;0.007139877;0.003160487;8.740247651;0.000109867;0.000186147
5.232630769;1371.94137775;6.472241873;15.077451745;2.224206446;5303.65785941;406.099814372;-1.442743508;4.232291228;0.236278636;-0.011478455;0.00726904;0.003084892;9.413489431;0.000112033;0.000191895
5.478578534;1452.64381174;6.722414064;15.769451495;2.30830828;5689.02597001;403.46597073;-1.475742029;4.37428041;0.22860903;-0.011922133;0.007396001;0.003011255;10.097187689;0.000114113;0.000197649
