Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
P(MPa);rho(mol/m3);Cv_res;Cp_res;alfa;uJT;w;lnkT;inv_kT;kT;d2AdT2;dAdT;dPdrho;dPdT;Cv;Cp
8.1e-08;1e-06;-0.000358919;1182.1535328;26.885123886;4.3968e-05;4077.96272919;19.611849387;3e-09;329092487.766;6.67e-07;0.004474171;0.003038659;8.2e-08;5.6424e-05;0.009893712
0.245227293;80.702433985;0.692700996;2.117417356;0.798899899;143.585801257;414.015837715;1.094505245;0.334705163;2.987704137;-0.001286998;0.004694113;0.004147399;0.267395921;6.2186e-05;8.2346e-05
0.669410403;161.404867971;1.336524022;3.804998518;0.978924379;406.229146201;461.684444201;0.258167951;0.772465485;1.294556222;-0.002483184;0.004905571;0.004785887;0.756185296;6.7539e-05;9.6378e-05
1.017692778;242.107301956;1.936166057;5.112685877;1.182886582;649.132982468;441.223202667;-0.020965834;1.021187161;0.979252421;-0.003597284;0.005109973;0.004217911;1.20794859;7.2525e-05;0.00010725
1.350201844;322.809735942;2.495743068;6.093540843;1.284656918;902.750335391;434.779721048;-0.268115663;1.307498361;0.764819315;-0.004636945;0.005307777;0.004050368;1.679686814;7.7178e-05;0.000115406
1.671441958;403.512169927;3.018877892;7.001343013;1.373887652;1168.07221587;429.550474349;-0.458532829;1.581751581;0.632210527;-0.005608899;0.005499397;0.00391996;2.173148965;8.1527e-05;0.000122954
1.982902476;484.214603912;3.508771969;7.867635459;1.459194497;1444.59013246;424.852606694;-0.610684444;1.841691503;0.542979103;-0.006519094;0.005685214;0.003803461;2.687386106;8.56e-05;0.000130156
2.285339126;564.917037898;3.96826508;8.704131781;1.543217509;1731.54515502;420.494187276;-0.735818601;2.08718987;0.479113096;-0.007372805;0.005865571;0.003694684;3.220987951;8.9421e-05;0.000137111
2.579242439;645.619471883;4.399885122;9.517088591;1.627086168;2028.16160044;416.388024341;-0.840950815;2.318570461;0.431300242;-0.00817473;0.006040784;0.003591234;3.772513927;9.3009e-05;0.000143871
2.864981741;726.321905869;4.805889862;10.310692819;1.711404512;2333.70798193;412.483497934;-0.93069954;2.53628279;0.394277801;-0.008929064;0.006211143;0.003491954;4.340605809;9.6385e-05;0.000150469
