Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
rho(mol/m3);S_A;S_F
1e-06;0.000114646;1.399e-06
64.561947188;-3.5047e-05;-0.000139141
129.123894377;-4.1269e-05;-0.000294125
193.685841565;-4.5061e-05;-0.00042263
258.247788753;-4.7864e-05;-0.000551186
322.809735942;-5.0118e-05;-0.00067641
387.37168313;-5.202e-05;-0.000798183
451.933630318;-5.3676e-05;-0.000916657
516.495577507;-5.5149e-05;-0.001032001
581.057524695;-5.6481e-05;-0.001144374
645.619471883;-5.7699e-05;-0.001253928
710.181419072;-5.8824e-05;-0.001360806
774.74336626;-5.9871e-05;-0.001465146
839.305313448;-6.0852e-05;-0.001567075
903.867260637;-6.1775e-05;-0.001666714
968.429207825;-6.2647e-05;-0.001764173
1032.99115501;-6.3475e-05;-0.001859558
1097.5531022;-6.4264e-05;-0.001952966
1162.11504939;-6.5017e-05;-0.002044486
1226.67699658;-6.5738e-05;-0.002134203
1291.23894377;-6.643e-05;-0.002222195
1355.80089096;-6.7095e-05;-0.002308536
1420.36283814;-6.7736e-05;-0.002393295
1484.92478533;-6.8354e-05;-0.002476536
1549.48673252;-6.8951e-05;-0.002558319
1614.04867971;-6.9529e-05;-0.0026387
1678.6106269;-7.0089e-05;-0.002717733
1743.17257408;-7.0632e-05;-0.002795466
1807.73452127;-7.1159e-05;-0.002871947
1872.29646846;-7.1671e-05;-0.002947219
1936.85841565;-7.217e-05;-0.003021323
2001.42036284;-7.2655e-05;-0.003094299
2065.98231003;-7.3128e-05;-0.003166183
2130.54425722;-7.3588e-05;-0.003237009
2195.1062044;-7.4038e-05;-0.003306809
2259.66815159;-7.4477e-05;-0.003375616
2324.23009878;-7.4907e-05;-0.003443457
2388.79204597;-7.5326e-05;-0.00351036
2453.35399316;-7.5736e-05;-0.003576352
2517.91594034;-7.6138e-05;-0.003641457
2582.47788753;-7.6531e-05;-0.0037057
2647.03983472;-7.6916e-05;-0.003769101
2711.60178191;-7.7293e-05;-0.003831684
2776.1637291;-7.7663e-05;-0.003893468
2840.72567629;-7.8026e-05;-0.003954473
2905.28762348;-7.8382e-05;-0.004014719
2969.84957066;-7.8731e-05;-0.004074222
3034.41151785;-7.9074e-05;-0.004133
3098.97346504;-7.9411e-05;-0.00419107
3163.53541223;-7.9742e-05;-0.004248449
3228.09735942;-8.0067e-05;-0.00430515
3292.6593066;-8.0387e-05;-0.00436119
3357.22125379;-8.0702e-05;-0.004416583
3421.78320098;-8.1011e-05;-0.004471343
