Methanol;Methanol;
1.46453231125163E-09;5.3024713433;
4.38280545197126E-10;5.4521594639;
4.56312880222975E-10;5.6156520913;
4.85164025494467E-10;7.0508015855;
4.99488119222209E-10;2.5556846231;
4.35976497791548E-10;5.3883889183;
4.61274883883211E-10;5.4463612405;
4.80748488935065E-10;6.7963128117;
5.03296860546258E-10;6.0592881262;
4.30638497603966E-10;2.8230776694;
4.10096632047529E-10;6.8574947501;
4.39705871114277E-10;5.4230257913;
4.28719379524989E-10;5.1127321103;
4.58823765066598E-10;5.7579762267;
4.56040530433646E-10;5.1892005448;
4.40101089286079E-10;7.1583177087;
4.32709400609064E-10;5.4368328295;
4.14393721035301E-10;5.4093845926;
4.32622112313054E-10;5.508284175;
4.32340444901271E-10;4.5924605025;
3.85014608346752E-10;6.1455829881;
4.3678102137786E-10;5.106423021;
4.14922629175996E-10;4.8612721198;
4.21697645315217E-10;4.7387525174;
4.08635214016954E-10;6.479154679;
4.38851265351506E-10;6.3243759716;
4.17703931379871E-10;5.3336277306;
3.95286634557034E-10;4.5490127299;
3.93640055018501E-10;4.8951821984;
4.29622810667986E-10;5.6064001462;
3.94911459223582E-10;5.0137647603;
4.35318596509652E-10;4.9481216359;
4.23188439187512E-10;4.7982217565;
4.03224737411744E-10;4.4281391805;
4.00963113126741E-10;6.276347834;
4.36982310111537E-10;5.3273589892;
4.1882378720413E-10;5.2273215582;
4.12510582207491E-10;4.5707308132;
4.13530751973811E-10;4.6507160165;
4.30527181957819E-10;5.819909966;
4.17194835515462E-10;4.5222628043;
4.35374528984529E-10;5.0152274081;
4.39942808988882E-10;4.9887743468;
4.20041110117749E-10;4.6744236084;
4.18756943669127E-10;5.1293049622;
4.35851318697263E-10;4.6156326278;
4.35676736004806E-10;5.1707120391;
4.39949107024905E-10;4.6802352914;
4.45526585469246E-10;4.7967236219;
4.33349935164361E-10;5.3429977585;
Err:510;;
1;1;
4.68270244127436E-10;2.3927052124;
5.03988192916305E-10;1.4960680155;
5.95057565617329E-10;7.2685814031;
4.51249552534946E-10;2.6294280292;
5.99229376652727E-10;5.4106037332;
5.34118777939308E-10;1.1013396851;
6.02511009954609E-10;0.5374045617;
5.02221335091433E-10;1.596279938;
4.38041009022344E-10;2.5797617738;
5.95847791685708E-10;5.183745167;
5.53295322901324E-10;2.1163880559;
5.25164497155065E-10;-0.7526840741;
6.15319823413655E-10;1.9169974152;
4.59898000703738E-10;0.7780664232;
6.20050182168864E-10;0.900649726;
5.65763053646257E-10;-1.0896542994;
6.03273612838587E-10;0.5380340053;
6.02549193819214E-10;0.6797539759;
5.29127832484424E-10;-0.8155037204;
6.05933542774014E-10;0.667490954;
5.95807862288268E-10;1.9782294776;
5.50836691101751E-10;0.2398168518;
6.21422893646021E-10;-0.5875978191;
5.02355416648559E-10;0.645774382;
6.02161581518438E-10;-0.5373486302;
5.79006553940972E-10;-1.9815336901;
5.75075991583883E-10;1.6353189718;
6.37101398766463E-10;0.3016374633;
5.94147941810661E-10;-1.4453981988;
5.86786232733905E-10;-0.5664801398;
6.02489494881771E-10;1.9371391136;
5.64072772217051E-10;1.4760019523;
5.77680522823818E-10;-1.3357955226;
5.73635666739543E-10;1.9769673956;
5.50304185791083E-10;1.384523222;
5.63515474423397E-10;-2.0807492164;
5.46038542793787E-10;2.425521413;
6.3647880762345E-10;1.0694340033;
5.94359907645307E-10;-1.3040499321;
5.47717073566018E-10;1.3354751081;
5.05648345138081E-10;3.1995625981;
5.221879756734E-10;4.5853244113;
4.66019582632268E-10;2.8489039606;
5.31779716881759E-10;5.2488916069;
4.83465667783815E-10;3.3262037872;
5.23993771534333E-10;2.8552331811;
5.3199478496096E-10;3.2538471571;
5.1860696920344E-10;1.3378693727;
4.5250540696149E-10;5.7218639146;
5.28733918710396E-10;3.3791896882;
5.46052562612344E-10;1.9640512056;
5.25162297583036E-10;3.3260176877;
5.21305453502105E-10;3.6010095541;
4.96493594924216E-10;3.2928705205;
5.24682536707246E-10;1.2552042282;
5.26237425652718E-10;2.8574337388;
5.20419507384805E-10;2.893099902;
5.63268142406896E-10;1.5958488367;
4.67015975900467E-10;1.9662033425;
5.23990363657497E-10;2.9111826184;
5.57424521261401E-10;1.9292418225;
5.23960665918164E-10;2.4541005504;
5.48633130155787E-10;3.8935785487;
4.9008439013722E-10;2.2203109128;
5.44853876765573E-10;1.4250121477;
5.26168914125101E-10;2.8623619707;
5.14631868596727E-10;2.7127262745;
5.65145242946357E-10;2.8034905683;
4.91946076178557E-10;0.2765228062;
5.183190798756E-10;2.6609847442;
5.61177209875326E-10;2.5279301685;
5.22307441977599E-10;2.2214954546;
5.45281557678203E-10;3.8926610707;
5.16322784820632E-10;1.7944126884;
5.31724646346664E-10;2.4316038428;
5.23922670530734E-10;2.8928756145;
5.1272169416855E-10;2.7612985669;
5.47542229532695E-10;3.4627535609;
5.24964172379477E-10;0.8526419364;
5.16132137822898E-10;2.7655807165;
5.52029944750588E-10;2.8582966121;
5.20832773933986E-10;2.1503471578;
