 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           C1, C2, C3 
Feed Composition:     [0.59, 0.33, 0.08] 
Association Rule:     2B, 2B, 2B 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.009975416;0.59;180.665620487;0.055258546
0.011141213;0.59;183.052002105;0.065509261
0.012406521;0.59;185.452174501;0.077268343
0.01377366;0.59;187.848328992;0.090676575
0.015245091;0.59;190.236536913;0.105872242
0.016822575;0.59;192.612623381;0.122987629
0.01850694;0.59;194.972177982;0.142145064
0.020298071;0.59;197.310569058;0.163452592
0.022194706;0.59;199.622961786;0.186999328
0.024194386;0.59;201.904339907;0.212850609
0.026293286;0.59;204.14953094;0.24104307
0.028486157;0.59;206.353234682;0.271579783
0.030766187;0.59;208.510054586;0.30442564
0.033124958;0.59;210.61453149;0.339503137
0.03555235;0.59;212.661179218;0.376688779
0.038067413;0.59;214.668400026;0.416305484
0.04077341;0.59;216.7129128;0.460088714
0.043687333;0.59;218.795894202;0.508476666
0.046827525;0.59;220.917662044;0.561953624
0.050214313;0.59;223.078424002;0.621054802
0.0538703;0.59;225.278254625;0.686371706
0.057820694;0.59;227.517068043;0.758558049
0.062093692;0.59;229.79458522;0.838336295
0.066720961;0.59;232.110294751;0.926504893
0.071738189;0.59;234.463405565;1.023946263
0.077185809;0.59;236.852788787;1.131635632
0.083109777;0.59;239.276908149;1.25065079
0.089562706;0.59;241.733731572;1.382182882
0.0966051;0.59;244.22062338;1.527548324
0.104307055;0.59;246.73420659;1.688201984
0.112750392;0.59;249.270187841;1.865751736
0.122031356;0.59;251.823130139;2.061974559
0.132264473;0.59;254.386153309;2.278834317
0.143587355;0.59;256.950531288;2.518501414
0.156167707;0.59;259.505138058;2.78337452
0.170383678;0.59;262.065820071;3.079725076
0.187172266;0.59;264.705566761;3.424305995
0.207246766;0.59;267.385486016;3.826095003
0.231622068;0.59;270.045184199;4.295992976
0.26185145;0.59;272.584281324;4.847277728
0.290566357;0.59;274.2173658;5.324894973
0.321125488;0.59;275.419576436;5.796204569
0.353062488;0.59;276.069315043;6.237054893
0.3822402;0.59;276.170578801;6.590879252
0.410783581;0.59;275.893175547;6.894022713
0.438565242;0.59;275.290417264;7.147205824
0.465516789;0.59;274.412970298;7.352916561
0.491587787;0.59;273.304229676;7.514155204
0.516743046;0.59;272.001353528;7.634217376
0.540960258;0.59;270.536157722;7.716531196
0.564227929;0.59;268.93589326;7.764537333
0.623357611;0.59;264.777662791;7.832994963
0.624251133;0.59;263.820923516;7.732270968
0.6331941;0.59;262.976380553;7.712550005
0.644861307;0.59;261.833658068;7.680077972
0.659963827;0.59;260.284047997;7.626579248
0.678282861;0.59;258.285030291;7.542997186
0.695454477;0.59;256.243220124;7.440496213
0.711793024;0.59;254.179082907;7.3249873
0.727326744;0.59;252.09962761;7.198393111
0.742084835;0.59;250.010810496;7.062451789
0.756097061;0.59;247.917680074;6.918728641
0.769393426;0.59;245.824502847;6.76862845
0.782303187;0.59;243.687896138;6.610031452
0.795115112;0.59;241.456897587;6.439582914
0.807739874;0.59;239.135286122;6.25771635
0.820118212;0.59;236.727563035;6.065251305
0.832196142;0.59;234.238413555;5.863134114
0.843925368;0.59;231.672631569;5.65241749
0.855263565;0.59;229.035051853;5.434239352
0.866174554;0.59;226.330491679;5.209801648
0.87662835;0.59;223.563703505;4.980349783
0.886601109;0.59;220.739339318;4.747153144
0.896074971;0.59;217.861926921;4.511487086
0.905037812;0.59;214.935857755;4.274616549
0.913482929;0.59;211.965385115;4.037781425
0.921408654;0.59;208.954631637;3.802183605
0.92881793;0.59;205.907604158;3.568975645
0.935717842;0.59;202.82821402;3.339250867
0.942119144;0.59;199.720300841;3.114034765
0.948035763;0.59;196.5876577;2.894277536
0.953484313;0.59;193.434055692;2.680847639
0.958483624;0.59;190.263266319;2.474526285
0.963054284;0.59;187.079080066;2.276002846
0.96721821;0.59;183.88532008;2.085871197
0.970998253;0.59;180.68585014;1.904627047
0.974417831;0.59;177.484576472;1.732666358
0.977500604;0.59;174.285442995;1.57028494
0.98027018;0.59;171.092421891;1.417679288
0.982749864;0.59;167.909495686;1.274948806
0.984962439;0.59;164.740637538;1.142099328
0.986929985;0.59;161.589786376;1.01904805
0.988673728;0.59;158.460819227;0.905629669
0.990213923;0.59;155.357517937;0.801603486
0.991569767;0.59;152.283550029;0.706662311
0.992759331;0.59;149.242425485;0.620440689
0.993799524;0.59;146.237475987;0.542524914
0.994706077;0.59;143.271832878;0.472462921
0.995493534;0.59;140.348394973;0.409773679
0.996175278;0.59;137.469816848;0.353957027
0.996763549;0.59;134.638495703;0.304502728
0.997269491;0.59;131.856549893;0.260898519
0.997703196;0.59;129.125826986;0.222638034
0.998073761;0.59;126.44789393;0.189227144
0.998389341;0.59;123.824040501;0.160189549
0.998657221;0.59;121.255279993;0.135071225
0.998883873;0.59;118.742370967;0.113444098
0.999075019;0.59;116.285820232;0.094908383
0.999235703;0.59;113.885887925;0.079094096
0.999370343;0.59;111.542631711;0.06566211
0.999482801;0.59;109.255904666;0.054303959
0.999576429;0.59;107.025347588;0.044741155
0.999654132;0.59;104.850483749;0.036724647
0.999718415;0.59;102.730642923;0.030032792
0.999771426;0.59;100.665053383;0.024470085
