 Defined Configuration:----------------------
Number of components: 7 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           C1, C2, C3, iC4, nC4, iC5, nC5 
Feed Composition:     [0.7994, 0.1028, 0.0573, 0.0084, 0.0158, 0.0036, 0.005] 
Association Rule:     2B, 2B, 2B, 2B, 2B, 2B, 2B 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.006764922;0.7994;211.191226947;0.055258546
0.007707998;0.7994;213.476716011;0.065509261
0.008750465;0.7994;215.760881062;0.077268343
0.009897065;0.7994;218.028712447;0.090676575
0.011152359;0.7994;220.276404023;0.105872242
0.012520188;0.7994;222.499984064;0.122987629
0.01400352;0.7994;224.695333583;0.142145064
0.015604247;0.7994;226.858208282;0.163452592
0.017323071;0.7994;228.984263869;0.186999328
0.019159282;0.7994;231.069084543;0.212850609
0.021110632;0.7994;233.108214156;0.24104307
0.023173174;0.7994;235.097189637;0.271579783
0.025341108;0.7994;237.031575934;0.30442564
0.027606689;0.7994;238.907001807;0.339503137
0.029960117;0.7994;240.719195498;0.376688779
0.032419889;0.7994;242.485051233;0.416305484
0.03508855;0.7994;244.271981092;0.460088714
0.037985206;0.7994;246.079674247;0.508476666
0.041130638;0.7994;247.907241945;0.561953624
0.044547729;0.7994;249.753589241;0.621054802
0.048261712;0.7994;251.617383828;0.686371706
0.052300462;0.7994;253.497019798;0.758558049
0.056694817;0.7994;255.390575643;0.838336295
0.061478961;0.7994;257.29576478;0.926504893
0.06669086;0.7994;259.209878125;1.023946263
0.072372779;0.7994;261.129715795;1.131635632
0.078571888;0.7994;263.051505763;1.25065079
0.085340974;0.7994;264.970808123;1.382182882
0.092739304;0.7994;266.88239765;1.527548324
0.100833655;0.7994;268.780122816;1.688201984
0.109699575;0.7994;270.656732333;1.865751736
0.119422946;0.7994;272.503660061;2.061974559
0.130101932;0.7994;274.310754896;2.278834317
0.14184947;0.7994;276.065936717;2.518501414
0.154796492;0.7994;277.754750519;2.78337452
0.169271102;0.7994;279.37920743;3.079725076
0.186126875;0.7994;280.970919749;3.424305995
0.205887504;0.7994;282.478026078;3.826095003
0.229237072;0.7994;283.831517681;4.295992976
0.257107139;0.7994;284.931831619;4.847277728
0.290824376;0.7994;285.630077447;5.496174645
0.340536416;0.7994;285.751671238;6.414753212
0.382107587;0.7994;284.683708813;7.112279564
0.420926371;0.7994;283.085879413;7.709206051
0.456916736;0.7994;281.134983133;8.208797159
0.490112673;0.7994;278.963483638;8.618011028
0.520616493;0.7994;276.670181075;8.945793599
0.548570288;0.7994;274.328231801;9.201903935
0.57413671;0.7994;271.9912185;9.396136191
0.597486247;0.7994;269.697779464;9.537829937
0.618788975;0.7994;267.475162279;9.635585744
0.638209379;0.7994;265.341965533;9.697123576
0.655903253;0.7994;263.310262155;9.729237825
0.672016007;0.7994;261.387246435;9.737815147
0.68668191;0.7994;259.57651055;9.727890678
0.700023938;0.7994;257.879030638;9.703725382
0.712271267;0.7994;256.279255382;9.668636259
0.724018899;0.7994;254.709590742;9.623543027
0.735250886;0.7994;253.172539298;9.569112399
0.74598754;0.7994;251.669486438;9.506500938
0.756248868;0.7994;250.2013811;9.43677817
0.766054498;0.7994;248.768791388;9.36092677
0.775423618;0.7994;247.37192812;9.279842298
0.784374929;0.7994;246.010759224;9.1943397
0.788508064;0.7994;245.353837921;9.148403568
0.791306387;0.7994;244.915731138;9.118260161
0.795037686;0.7994;244.333791395;9.078111375
0.844214175;0.7994;236.960051041;8.565965568
0.83922832;0.7994;236.985040722;8.482472944
0.842174772;0.7994;236.46345632;8.434987061
0.846012644;0.7994;235.7772248;8.371608188
0.850972801;0.7994;234.878194121;8.287068162
0.856604197;0.7994;233.83630734;8.186728487
0.861944486;0.7994;232.822105166;8.08643788
0.867050761;0.7994;231.83113545;7.986522013
0.872068668;0.7994;230.836026631;7.884458877
0.877090343;0.7994;229.816666191;7.77820324
0.882090045;0.7994;228.775099981;7.6679139
0.887049138;0.7994;227.71274635;7.553771178
0.891950369;0.7994;226.630788142;7.435954025
0.896777935;0.7994;225.530166238;7.314636755
0.901517538;0.7994;224.411574141;7.189986059
0.906156407;0.7994;223.275461308;7.062159013
0.910683298;0.7994;222.122040126;6.931301765
0.915088481;0.7994;220.951298359;6.797549094
0.919363701;0.7994;219.76301565;6.661024818
0.923502123;0.7994;218.556783762;6.521842955
0.927498271;0.7994;217.332028256;6.38010946
0.931347948;0.7994;216.088033714;6.235924632
0.935048155;0.7994;214.82396844;6.089385807
0.938596996;0.7994;213.538910382;5.940590366
0.941993588;0.7994;212.231872871;5.789638885
0.945237967;0.7994;210.901828822;5.636638205
0.948330989;0.7994;209.54773475;5.481704458
0.951274243;0.7994;208.168552903;5.324965805
0.954069958;0.7994;206.763271643;5.166564893
0.956720916;0.7994;205.330924603;5.006660905
0.959230377;0.7994;203.870607915;4.845431216
0.961602;0.7994;202.381495789;4.683072547
0.963839773;0.7994;200.862854559;4.519801645
0.965947953;0.7994;199.314055398;4.355855468
0.967931003;0.7994;197.734585131;4.191490839
0.969793545;0.7994;196.124056381;4.026983642
0.971540309;0.7994;194.48221595;3.86262751
0.973176094;0.7994;192.808952024;3.698732058
0.97470573;0.7994;191.104300649;3.535620724
0.976134047;0.7994;189.368450216;3.373628165
0.977465847;0.7994;187.60174546;3.213097362
0.978705877;0.7994;185.804689758;3.054376406
0.979858815;0.7994;183.977946201;2.89781506
0.980929246;0.7994;182.12233794;2.743761134
0.981921649;0.7994;180.238845708;2.592556784
0.982840389;0.7994;178.328605459;2.444534763
0.983689702;0.7994;176.3929037;2.300014711
0.984473689;0.7994;174.433171575;2.159299583
0.985196311;0.7994;172.45097763;2.022672248
0.985861385;0.7994;170.448018918;1.890392369
0.986472577;0.7994;168.426139231;1.762696683
0.987033401;0.7994;166.387176576;1.639781156
0.987547223;0.7994;164.333233153;1.521829863
0.988017256;0.7994;162.266379483;1.408982619
0.98844656;0.7994;160.188781465;1.301349393
0.988838046;0.7994;158.102657213;1.19900672
0.989194475;0.7994;156.010262088;1.101997735
0.989518466;0.7994;153.913872674;1.010332634
0.98981249;0.7994;151.815771163;0.923989671
0.990078882;0.7994;149.718231054;0.842916635
0.990319839;0.7994;147.623503479;0.767032714
0.990537425;0.7994;145.533798572;0.696230426
0.990733577;0.7994;143.451274789;0.630378223
0.990910105;0.7994;141.378028265;0.569323224
0.991068702;0.7994;139.316079408;0.512893924
0.991210945;0.7994;137.267361306;0.460903047
0.991338299;0.7994;135.233711898;0.413150534
0.991452126;0.7994;133.216868934;0.369426518
0.991553685;0.7994;131.218459686;0.329514
0.99164414;0.7994;129.239997905;0.293191598
0.991724564;0.7994;127.282881143;0.260236081
0.991795944;0.7994;125.348386367;0.230424622
0.991859186;0.7994;123.437671448;0.203536952
0.991915118;0.7994;121.551772528;0.179357141
0.991964499;0.7994;119.691608829;0.157675269
0.992008019;0.7994;117.857980316;0.138288696
0.992046306;0.7994;116.051575111;0.121003237
0.99207993;0.7994;114.272969785;0.105633973
0.992109407;0.7994;112.522638325;0.092005949
0.992135203;0.7994;110.800954667;0.079954573
0.992157739;0.7994;109.108194477;0.069325832
0.992177392;0.7994;107.444540573;0.059976388
0.9921945;0.7994;105.810095718;0.051773561
0.992209368;0.7994;104.204910214;0.044595241
0.992222267;0.7994;102.628910599;0.038329139
0.992233437;0.7994;101.082018994;0.03287305
0.992243093;0.7994;99.564042989;0.028133801
0.992251428;0.7994;98.074773096;0.024027193
