 Defined Configuration:----------------------
Number of components: 8 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           C1, C2, C3, iC4, nC4, iC5, nC5, CO2 
Feed Composition:     [0.3985, 0.0512, 0.0286, 0.0042, 0.0079, 0.0018, 0.0025, 0.5016] 
Association Rule:     2B, 2B, 2B, 2B, 2B, 2B, 2B, 2B 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.003854862;0.3985;203.334031853;0.055258546
0.004381489;0.3985;205.489182761;0.065509261
0.00496127;0.3985;207.648177409;0.077268343
0.005596579;0.3985;209.795890603;0.090676575
0.006289471;0.3985;211.928993862;0.105872242
0.007041581;0.3985;214.043974561;0.122987629
0.00785404;0.3985;216.13714759;0.142145064
0.0087274;0.3985;218.204670274;0.163452592
0.009661562;0.3985;220.242560224;0.186999328
0.010655689;0.3985;222.246716048;0.212850609
0.011708138;0.3985;224.2129406;0.24104307
0.012816404;0.3985;226.136966424;0.271579783
0.013977047;0.3985;228.014482874;0.30442564
0.015185662;0.3985;229.841164488;0.339503137
0.016436834;0.3985;231.612699856;0.376688779
0.017740219;0.3985;233.345421867;0.416305484
0.019149705;0.3985;235.105643317;0.460088714
0.0206746;0.3985;236.89410826;0.508476666
0.022325055;0.3985;238.710867701;0.561953624
0.024112257;0.3985;240.555882339;0.621054802
0.026048559;0.3985;242.429007878;0.686371706
0.02814765;0.3985;244.329978037;0.758558049
0.030424731;0.3985;246.258384909;0.838336295
0.032896753;0.3985;248.213656044;0.926504893
0.035583262;0.3985;250.195027713;1.023946263
0.038503825;0.3985;252.201513559;1.131635632
0.041684259;0.3985;254.231866126;1.25065079
0.045151312;0.3985;256.284533469;1.382182882
0.048936216;0.3985;258.357602927;1.527548324
0.053074908;0.3985;260.448734593;1.688201984
0.057609082;0.3985;262.555077341;1.865751736
0.062587559;0.3985;264.673162294;2.061974559
0.068068102;0.3985;266.798765258;2.278834317
0.0741199;0.3985;268.926724902;2.518501414
0.080826976;0.3985;271.050696709;2.78337452
0.088384039;0.3985;273.187894241;3.079725076
0.099823214;0.3985;276.016514731;3.524512201
0.114601619;0.3985;279.020104885;4.082326172
0.128816325;0.3985;281.268019889;4.587425425
0.142888002;0.3985;283.041988334;5.059763568
0.15676736;0.3985;284.423199771;5.496262427
0.170415982;0.3985;285.477604129;5.895634244
0.183802806;0.3985;286.259188912;6.257898073
0.196901902;0.3985;286.812498202;6.583997665
0.209691078;0.3985;287.17457252;6.875506277
0.222150992;0.3985;287.376448892;7.134402846
0.234264586;0.3985;287.444326492;7.362905079
0.246016708;0.3985;287.400478319;7.563347054
0.257393843;0.3985;287.263967762;7.73809111
0.26838392;0.3985;287.051215223;7.889465797
0.278976157;0.3985;286.776449396;8.019723393
0.289160937;0.3985;286.452067613;8.131011995
0.29892969;0.3985;286.088926378;8.22535829
0.308274801;0.3985;285.696576086;8.304658113
0.317189508;0.3985;285.283451964;8.37067257
0.326093892;0.3985;284.837161637;8.427934144
0.335017081;0.3985;284.355590862;8.476572326
0.343955857;0.3985;283.839983306;8.516794324
0.352908111;0.3985;283.291683646;8.548858633
0.361871706;0.3985;282.71196011;8.573027174
0.370844472;0.3985;282.102015598;8.589564337
0.379824202;0.3985;281.462986938;8.598735943
0.388808651;0.3985;280.79594844;8.600808604
0.42146708;0.3985;278.410682846;8.59292621
0.423764971;0.3985;277.934917192;8.543521945
0.428564869;0.3985;277.518142145;8.529243689
0.434966406;0.3985;276.952967;8.507843033
0.443503243;0.3985;276.182981009;8.475237632
0.452463346;0.3985;275.345953225;8.434823956
0.461398453;0.3985;274.48698996;8.38914208
0.470315983;0.3985;273.608110831;8.33872407
0.479213268;0.3985;272.710073118;8.28381562
0.488087596;0.3985;271.793618403;8.224658546
0.496937422;0.3985;270.859349191;8.16148246
0.506197902;0.3985;269.862255726;8.091379913
0.51585256;0.3985;268.799523659;8.013829791
0.525892724;0.3985;267.669454376;7.928573954
0.536308332;0.3985;266.47047355;7.835404148
0.547087806;0.3985;265.201152702;7.734167073
0.558217926;0.3985;263.860231187;7.624768902
0.569683699;0.3985;262.44663825;7.507179169
0.581468239;0.3985;260.959515781;7.381433902
0.593552646;0.3985;259.398239877;7.247637885
0.605915906;0.3985;257.762442451;7.105965986
0.618534797;0.3985;256.052030934;6.956663413
0.631383831;0.3985;254.267207424;6.800044899
0.644435214;0.3985;252.408484714;6.6364927
0.657658848;0.3985;250.476700133;6.466453439
