 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           n-Hexane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.047045869;0.3;391.646060346;0.054519799
0.048363912;0.3;394.363167204;0.059373363
0.049702847;0.3;397.084514224;0.064577635
0.051062437;0.3;399.80915619;0.070149675
0.05244243;0.3;402.536108242;0.076106571
0.05384254;0.3;405.264345789;0.082465358
0.055262449;0.3;407.992804584;0.089242922
0.056701819;0.3;410.720380888;0.096455897
0.058160281;0.3;413.445931765;0.104120556
0.059637438;0.3;416.168275483;0.1122527
0.061132852;0.3;418.886192052;0.120867532
0.062646059;0.3;421.598423877;0.129979534
0.064176557;0.3;424.303676551;0.139602335
0.06572381;0.3;427.000619784;0.14974857
0.06728724;0.3;429.687888431;0.160429745
0.068866228;0.3;432.364083698;0.17165609
0.07046012;0.3;435.027774448;0.183436419
0.072068206;0.3;437.67749866;0.195777974
0.073689743;0.3;440.311764991;0.208686289
0.075323928;0.3;442.929054493;0.222165037
0.076969912;0.3;445.527822456;0.23621589
0.078626793;0.3;448.106500327;0.250838382
0.080293614;0.3;450.66349782;0.266029766
0.081969357;0.3;453.197205059;0.281784896
0.083652947;0.3;455.705994882;0.298096099
0.087062024;0.3;460.675487115;0.33276327
0.090506941;0.3;465.552002734;0.369565379
0.093967915;0.3;470.305941203;0.408432909
0.09761458;0.3;475.162109711;0.451388174
0.101466759;0.3;480.125568749;0.498861082
0.103502738;0.3;482.669727984;0.524438237
0.105573481;0.3;485.220106728;0.55132676
0.107706802;0.3;487.798363498;0.579593888
0.109906074;0.3;490.404738576;0.609310302
0.112174969;0.3;493.039458134;0.640550309
0.114517489;0.3;495.702731899;0.673392026
0.116938013;0.3;498.394750576;0.707917573
0.119441347;0.3;501.115682748;0.744213283
0.12203278;0.3;503.865671377;0.782369914
0.124718161;0.3;506.644829581;0.822482877
0.127503976;0.3;509.453235721;0.864652476
0.130397456;0.3;512.290927585;0.908984157
0.133406694;0.3;515.157895466;0.955588771
0.136540795;0.3;518.054073528;1.004582855
0.139810076;0.3;520.979329589;1.056088919
0.143226256;0.3;523.93345298;1.110235756
0.146802807;0.3;526.916137325;1.16715876
0.150555271;0.3;529.926961902;1.22700027
0.15450177;0.3;532.965365388;1.289909919
0.158663625;0.3;536.030612275;1.356045015
0.16306621;0.3;539.121748576;1.425570929
0.167740097;0.3;542.23754142;1.498661514
0.17272268;0.3;545.376395397;1.575499533
0.178060482;0.3;548.536233003;1.656277121
0.183812596;0.3;551.714318558;1.741196265
0.192137198;0.3;555.975572584;1.861232778
0.198551428;0.3;558.820277898;1.945820028
0.207702041;0.3;562.622002613;2.06461291
0.214961112;0.3;565.133542511;2.147810452
0.225471836;0.3;568.474527723;2.263978867
0.242701955;0.3;572.840238486;2.428702155
0.266672181;0.3;576.684537113;2.596119934
0.321948634;0.3;579.966659893;2.804195245
0.329619348;0.3;574.126810161;2.618782245
0.340132012;0.3;572.774756297;2.590526636
0.354672289;0.3;570.487293455;2.53765981
0.375030789;0.3;566.549915128;2.44076178
0.389248279;0.3;562.815853332;2.344129506
0.409046868;0.3;557.654721036;2.214617886
0.418264168;0.3;554.592917244;2.137150196
0.431541107;0.3;550.517000408;2.038058757
0.43917369;0.3;547.878103287;1.97456365
0.449640853;0.3;544.378973484;1.892969953
0.462803606;0.3;539.801276373;1.789398893
0.470616796;0.3;536.826388588;1.723519204
0.47851112;0.3;533.873026058;1.660064986
0.486150857;0.3;530.956386499;1.598946939
0.49356148;0.3;528.074954463;1.540079055
0.500764234;0.3;525.227433133;1.48337849
0.507777049;0.3;522.412696101;1.42876545
0.514615211;0.3;519.629752263;1.376163079
0.521291871;0.3;516.877719437;1.325497353
0.527818437;0.3;514.155804166;1.276696969
0.534204877;0.3;511.463286066;1.229693252
0.540459957;0.3;508.799505611;1.184420055
0.546591437;0.3;506.163854327;1.140813665
0.552606218;0.3;503.555767034;1.098812718
0.558510472;0.3;500.974715657;1.058358105
0.564309745;0.3;498.420203734;1.019392895
0.570009033;0.3;495.891762824;0.981862255
0.575612872;0.3;493.388947724;0.945713367
0.586767436;0.3;488.439853581;0.877359237
0.593703205;0.3;485.222286816;0.834569922
0.600659123;0.3;482.033347048;0.793867466
0.60747971;0.3;478.886054716;0.755150093
0.614170871;0.3;475.779608855;0.718320988
0.620737941;0.3;472.713239921;0.68328806
0.627185763;0.3;469.68620681;0.649963709
0.633518747;0.3;466.697793583;0.618264604
0.639740922;0.3;463.747307393;0.588111484
0.645855984;0.3;460.834076286;0.559428948
0.651867329;0.3;457.95744768;0.532145277
0.65777809;0.3;455.116786948;0.506192245
0.663591163;0.3;452.311475994;0.481504958
0.669309235;0.3;449.540912201;0.458021684
0.674934801;0.3;446.804507757;0.435683703
0.680470189;0.3;444.101688408;0.414435158
0.68591757;0.3;441.431893178;0.394222917
0.691278981;0.3;438.794573396;0.374996438
0.696556331;0.3;436.189192329;0.356707646
0.701751412;0.3;433.61522486;0.339310809
0.706865921;0.3;431.072156325;0.322762426
0.711901454;0.3;428.559483003;0.307021116
0.721910474;0.3;423.600694355;0.277804194
0.727191926;0.3;420.879606484;0.262520574
0.732532981;0.3;418.174366132;0.248077794
0.737782081;0.3;415.504865158;0.234429595
0.742940913;0.3;412.87045965;0.221532263
0.748011095;0.3;410.270518242;0.209344488
0.752994159;0.3;407.704424667;0.197827233
0.75789159;0.3;405.171574037;0.186943609
0.762704795;0.3;402.671375494;0.176658756
0.772253052;0.3;397.741924382;0.15775541
0.777583945;0.3;394.878156464;0.147392478
0.782945776;0.3;392.036988731;0.137710286
0.788196041;0.3;389.238590153;0.128664116
0.793336718;0.3;386.482066931;0.120212188
0.798369718;0.3;383.76654763;0.112315466
0.803296899;0.3;381.091182235;0.104937478
0.808120075;0.3;378.455140757;0.098044149
0.812841;0.3;375.857615449;0.091603643
0.817461407;0.3;373.297815783;0.085586212
0.821982971;0.3;370.774973342;0.079964065
0.830918221;0.3;365.808780726;0.069803465
0.835835284;0.3;362.936006072;0.064335037
0.840775241;0.3;360.087892605;0.059295007
0.845585177;0.3;357.287503119;0.054649814
0.850267729;0.3;354.533699692;0.050368528
0.854825471;0.3;351.825380146;0.046422639
0.859260995;0.3;349.161467456;0.042785873
0.863576804;0.3;346.540921739;0.039434012
0.867775388;0.3;343.962730964;0.036344737
0.871859225;0.3;341.425909228;0.033497477
0.879887893;0.3;336.440463141;0.028454649
0.884044671;0.3;333.676122115;0.025893167
0.88823525;0.3;330.933478518;0.02356227
