 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA 
Mixing Rule:          VdW1f 
Components:           n-Hexane, n-Nonane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.04625722;0.3;391.240919004;0.052940353
0.047416873;0.3;393.632123161;0.057131541
0.049012014;0.3;396.873840816;0.063240419
0.050666518;0.3;400.188729782;0.070002499
0.05238243;0.3;403.571271013;0.077487625
0.054768485;0.3;408.17426118;0.088727332
0.057277894;0.3;412.920901199;0.101597377
0.05991705;0.3;417.801898799;0.116334243
0.061408969;0.3;420.531258236;0.125186396
0.063454768;0.3;424.188497681;0.13804581
0.066304241;0.3;429.179485862;0.157269566
0.06785895;0.3;431.8770928;0.168336488
0.06998626;0.3;435.487501848;0.184313166
0.072944887;0.3;440.408849082;0.207998637
0.074548351;0.3;443.046977183;0.22144756
0.076738115;0.3;446.576612466;0.240741768
0.079779137;0.3;451.381666783;0.269107319
0.081414201;0.3;453.932586136;0.284973335
0.083642626;0.3;457.344293983;0.307592574
0.086732591;0.3;461.982174063;0.340568656
0.090038865;0.3;466.832415738;0.377814004
0.093382934;0.3;471.619288185;0.41754905
0.0968916;0.3;476.515063142;0.461463067
0.100579879;0.3;481.525184455;0.509995561
0.102515946;0.3;484.098231658;0.536143593
0.10514693;0.3;487.537173378;0.573104853
0.108801495;0.3;492.203292876;0.626380227
0.110962902;0.3;494.895286649;0.658495428
0.113909995;0.3;498.503073381;0.703891514
0.118017973;0.3;503.39867312;0.769324713
0.120462682;0.3;506.222670628;0.808768834
0.12379936;0.3;510.007908564;0.864524634
0.126126917;0.3;512.577319068;0.903814594
0.128510173;0.3;515.164769;0.944890161
0.130967064;0.3;517.779003877;0.987832485
0.133502014;0.3;520.420219211;1.032726403
0.136119894;0.3;523.088589538;1.079660612
0.138826094;0.3;525.78426893;1.128727834
0.141626601;0.3;528.507382455;1.180025009
0.144528095;0.3;531.258025744;1.233653481
0.147538067;0.3;534.036255721;1.289719201
0.150664967;0.3;536.842083367;1.348332934
0.153918374;0.3;539.675465726;1.409610479
0.158445347;0.3;543.491142045;1.49566761
0.16166698;0.3;546.071096262;1.555938409
0.164987368;0.3;548.666165022;1.618637935
0.168453078;0.3;551.282157534;1.683864059
0.172078456;0.3;553.918663595;1.751718595
0.17588033;0.3;556.575146208;1.82230746
0.181213869;0.3;560.144504021;1.920870427
0.188920945;0.3;564.953736132;2.060629722
0.194752045;0.3;568.19379232;2.159407238
0.203000955;0.3;572.536650074;2.298515007
0.20937499;0.3;575.442195034;2.396197095
0.218474794;0.3;579.325871808;2.532927713
0.225762516;0.3;581.895426791;2.628388962
0.236370735;0.3;585.311728234;2.761290423
0.254141724;0.3;589.766207293;2.94900396
0.263084704;0.3;590.666793082;2.997945085
0.275500103;0.3;592.091341098;3.073227295
0.321274056;0.3;594.803484541;3.25912297
0.323074789;0.3;590.363597971;3.098892746
0.326706593;0.3;589.922218683;3.089230033
0.331612584;0.3;589.250510749;3.0734057
0.338268696;0.3;588.224140435;3.047750103
0.347351797;0.3;586.620563877;3.005507866
0.359843122;0.3;584.059106495;2.935187657
0.377199764;0.3;579.881006311;2.817635143
0.389233505;0.3;576.158381044;2.710379919
0.40273273;0.3;572.001475159;2.59377191
0.410151208;0.3;569.329053213;2.518833866
0.42048135;0.3;565.779956967;2.422273504
0.433316486;0.3;561.146338335;2.299259829
0.440809135;0.3;558.143151417;2.220741289
0.448407298;0.3;555.160770234;2.144904116
0.455739813;0.3;552.217126886;2.071656743
0.462837891;0.3;549.31030754;2.000910731
0.469726946;0.3;546.43870612;1.932580659
0.47642797;0.3;543.600950374;1.866584023
0.48295852;0.3;540.795850174;1.802841139
0.48933344;0.3;538.022359306;1.741275041
0.4955654;0.3;535.279547147;1.681811394
0.501665314;0.3;532.566577393;1.6243784
0.50764265;0.3;529.882691209;1.568906713
0.513505681;0.3;527.227194465;1.515329355
0.519261681;0.3;524.599447424;1.463581637
0.524917084;0.3;521.99885676;1.413601077
0.530477605;0.3;519.424868554;1.365327327
0.535948349;0.3;516.876963379;1.318702101
0.541333896;0.3;514.354651643;1.273669103
0.552065856;0.3;509.365958528;1.18816415
0.559324407;0.3;505.862962484;1.130216701
0.566569292;0.3;502.39676007;1.075095382
0.573678215;0.3;498.978499532;1.022662361
0.580658073;0.3;495.607123784;0.972786529
0.587514985;0.3;492.281626964;0.92534317
0.594254411;0.3;489.001045151;0.880213651
0.600881231;0.3;485.764459809;0.837285125
0.607399835;0.3;482.57098498;0.796450248
0.613814179;0.3;479.41976947;0.757606911
0.620127845;0.3;476.309990532;0.720657986
0.626344081;0.3;473.240854197;0.685511081
0.632465846;0.3;470.211591066;0.652078311
0.638495844;0.3;467.221455895;0.620276077
0.644436547;0.3;464.269724633;0.590024855
0.650290228;0.3;461.355694399;0.561249004
0.656058977;0.3;458.478681521;0.533876567
0.661744727;0.3;455.6380202;0.507839099
0.667349261;0.3;452.83306258;0.483071494
0.672874239;0.3;450.063176175;0.459511819
0.678321201;0.3;447.327745078;0.437101163
0.683691585;0.3;444.626167993;0.415783488
0.688986733;0.3;441.957857476;0.395505488
0.694207905;0.3;439.322240309;0.376216458
0.699356282;0.3;436.718756149;0.357868165
0.70443298;0.3;434.146857184;0.340414728
0.709439049;0.3;431.60600824;0.323812506
0.714375485;0.3;429.095685517;0.308019984
0.724197014;0.3;424.141691595;0.278708007
0.729401803;0.3;421.427276379;0.263393572
0.734662054;0.3;418.728464842;0.248920635
0.739839114;0.3;416.065362661;0.235242955
0.744934061;0.3;413.437308841;0.222316836
0.74994793;0.3;410.843658066;0.210100981
0.754881718;0.3;408.283780439;0.198556362
0.759736387;0.3;405.757059777;0.187646097
0.769375416;0.3;400.775591484;0.167591114
0.774690962;0.3;397.926545353;0.156757848
0.78004306;0.3;395.098671104;0.146624856
0.785291181;0.3;392.312853085;0.137146871
0.790436684;0.3;389.568211685;0.128281553
0.795480909;0.3;386.863888213;0.119989298
0.800425168;0.3;384.199049373;0.112233064
0.805270765;0.3;381.572879291;0.1049782
0.810018984;0.3;378.98458553;0.098192299
0.814671103;0.3;376.433393656;0.091845045
0.819228386;0.3;373.918550664;0.085908085
0.828241052;0.3;368.967107467;0.075160671
0.83323033;0.3;366.093945069;0.069351641
0.838241154;0.3;363.245413832;0.063991581
0.843124385;0.3;360.444095212;0.05904579
0.847882189;0.3;357.688872206;0.05448225
0.852516735;0.3;354.978660024;0.050271417
0.857030191;0.3;352.312405486;0.046386032
0.861424721;0.3;349.689088558;0.042800941
0.865702495;0.3;347.107713698;0.039492935
0.869865678;0.3;344.567317342;0.036440599
0.873916434;0.3;342.066964185;0.033624173
0.881881381;0.3;337.151705443;0.028627525
0.886068073;0.3;334.387453888;0.026052573
0.8902813;0.3;331.645964387;0.023709229
