 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    CPA 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.9983051;0.2;525.877604669;0.051010067
0.998271169;0.2;526.510877245;0.052039846
0.998236558;0.2;527.145752256;0.053089937
0.998201253;0.2;527.782232875;0.05416073
0.99816524;0.2;528.420322224;0.055252618
0.998128505;0.2;529.060023383;0.056366005
0.998091034;0.2;529.701339388;0.0575013
0.998052811;0.2;530.344273217;0.05865892
0.998013822;0.2;530.988827815;0.059839288
0.997974052;0.2;531.63500607;0.061042839
0.997933484;0.2;532.282810824;0.06227001
0.997892103;0.2;532.932244857;0.063521252
0.997849891;0.2;533.583310908;0.064797019
0.997806834;0.2;534.236011664;0.066097775
0.997762913;0.2;534.890349736;0.067423995
0.997718111;0.2;535.546327711;0.068776158
0.997672411;0.2;536.203948082;0.070154755
0.997625795;0.2;536.863213314;0.071560283
0.997578243;0.2;537.524125795;0.072993251
0.997529738;0.2;538.18668785;0.074454176
0.99748026;0.2;538.850901752;0.075943582
0.99742979;0.2;539.516769702;0.077462006
0.997378307;0.2;540.184293832;0.079009991
0.997325791;0.2;540.853476213;0.080588093
0.997272223;0.2;541.524318846;0.082196875
0.997217579;0.2;542.196823658;0.083836912
0.99716184;0.2;542.870992513;0.085508788
0.997104982;0.2;543.546827192;0.087213098
0.997046984;0.2;544.224329403;0.088950447
0.996987822;0.2;544.903500783;0.090721452
0.996927473;0.2;545.584342888;0.092526738
0.996865913;0.2;546.266857195;0.094366944
0.996803118;0.2;546.9510451;0.09624272
0.996739063;0.2;547.636907924;0.098154724
0.996673723;0.2;548.324446883;0.10010363
0.996607071;0.2;549.01366312;0.102090121
0.996539082;0.2;549.704557707;0.104114892
0.996469729;0.2;550.397131613;0.106178652
0.996398984;0.2;551.091385691;0.108282121
0.996326819;0.2;551.787320755;0.110426031
0.996253205;0.2;552.484937459;0.112611128
0.996178115;0.2;553.184236444;0.114838169
0.996101516;0.2;553.885218175;0.117107928
0.996023381;0.2;554.587883049;0.119421187
0.995943677;0.2;555.292231389;0.121778746
0.995862373;0.2;555.998263373;0.124181417
0.995779437;0.2;556.705979079;0.126630026
0.995694836;0.2;557.415378496;0.129125412
0.995608537;0.2;558.126461499;0.131668432
0.995520504;0.2;558.839227845;0.134259953
0.995430705;0.2;559.5536772;0.13690086
0.995339102;0.2;560.269809089;0.139592053
0.995245661;0.2;560.987622939;0.142334446
0.995150342;0.2;561.707118045;0.145128969
