 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.997648535;0.2;524.646482327;0.054164353
0.997454977;0.2;527.25361859;0.058660744
0.997245443;0.2;529.886061496;0.063519326
0.997018608;0.2;532.543843553;0.06876799
0.996773039;0.2;535.227011563;0.074436719
0.996507185;0.2;537.93557096;0.080557616
0.996219362;0.2;540.669495104;0.087165062
0.995907749;0.2;543.428744131;0.094295913
0.995570372;0.2;546.213226412;0.101989564
0.995205093;0.2;549.022834969;0.11028821
0.994809596;0.2;551.857422107;0.11923696
0.99438137;0.2;554.716801542;0.128884027
0.993917697;0.2;557.600748925;0.139280928
0.99341563;0.2;560.508995488;0.150482669
0.992871978;0.2;563.441233176;0.162547987
0.99228328;0.2;566.397100705;0.175539526
0.99164579;0.2;569.376190339;0.189524107
0.990955446;0.2;572.378042018;0.204572962
0.990207846;0.2;575.402139546;0.220761987
0.98939822;0.2;578.447911485;0.238172036
0.9885214;0.2;581.514722419;0.256889175
0.987571784;0.2;584.601876306;0.277005025
0.986543301;0.2;587.70860968;0.298617063
0.98542937;0.2;590.834090183;0.321828975
0.984222858;0.2;593.977413475;0.346751021
0.982916037;0.2;597.137599695;0.373500427
0.981500527;0.2;600.313591034;0.40220181
0.979967245;0.2;603.504248217;0.432987623
0.978306348;0.2;606.70834749;0.465998652
0.976507164;0.2;609.924577227;0.501384544
0.974558125;0.2;613.151534601;0.539304386
0.972446691;0.2;616.387721957;0.57992734
0.97015927;0.2;619.631543185;0.623433345
0.967681125;0.2;622.881299653;0.670013887
0.964996283;0.2;626.135186061;0.719872863
0.962087428;0.2;629.39128565;0.773227545
0.958935789;0.2;632.647565221;0.830309665
0.955521015;0.2;635.901869262;0.891366636
0.951821049;0.2;639.151913573;0.956662951
0.94781198;0.2;642.395277776;1.026481771
0.943467888;0.2;645.629396416;1.101126739
0.938760681;0.2;648.85154928;1.180924098
0.933723593;0.2;652.016785637;1.265073627
0.928357071;0.2;655.115955667;1.353513475
0.922648869;0.2;658.146986813;1.446349581
0.91658614;0.2;661.107826485;1.5436855
0.910156385;0.2;663.996504218;1.645623177
0.903347546;0.2;666.811129952;1.752263141
0.896148102;0.2;669.549891489;1.863704746
0.888547176;0.2;672.211050669;1.980046438
0.880534636;0.2;674.792939059;2.101386047
0.872101214;0.2;677.293952504;2.227821107
0.854782715;0.2;682.162709751;2.498842123
0.834714771;0.2;686.617667976;2.791843152
0.81280212;0.2;690.714666992;3.107729799
0.789034454;0.2;694.442275699;3.447392293
0.7634307;0.2;697.788986719;3.81176452
0.736042541;0.2;700.742874456;4.201829327
0.706957514;0.2;703.291257189;4.618617542
0.676301526;0.2;705.420385838;5.063197473
0.64331158;0.2;707.174122852;5.552207936
0.607108869;0.2;708.520459827;6.104703489
0.567313026;0.2;709.346200984;6.735074542
0.510728042;0.2;709.647779269;7.717490259
0.450132568;0.2;708.162286253;8.826554594
0.403237963;0.2;705.519966983;9.728388197
0.364864797;0.2;702.619967379;10.561761159
0.330143321;0.2;699.157548002;11.386959286
0.29872603;0.2;695.187718866;12.204637207
0.27029849;0.2;690.752535187;13.014904698
0.244576187;0.2;685.88528457;13.817361012
0.232648066;0.2;683.13035993;14.193254426
0.221301686;0.2;680.449080929;14.589584641
0.210508675;0.2;677.67211353;14.983355255
0.163944321;0.2;663.651903442;17.073655552
0.157515972;0.2;659.795821583;17.203398261
0.149335213;0.2;656.2335217;17.601284233
0.139084606;0.2;651.358753633;18.12495695
0.132644818;0.2;647.947665278;18.457582507
0.12451985;0.2;643.402424482;18.907264271
0.119381616;0.2;640.252392396;19.193331025
0.112858933;0.2;636.057479293;19.578748801
0.108709693;0.2;633.171785717;19.824299331
0.10341369;0.2;629.330302888;20.154257026
0.100027147;0.2;626.703139831;20.364809019
0.095683637;0.2;623.206539816;20.647158749
0.090184257;0.2;618.485875403;21.01483155
0.086694744;0.2;615.255454903;21.24575386
0.082251183;0.2;610.961191451;21.554997284
0.079416073;0.2;608.038276254;21.749444899
0.075787355;0.2;604.153012517;22.009344626
0.073460799;0.2;601.519644704;22.173016166
0.071205664;0.2;598.889168791;22.336006411
0.069019759;0.2;596.245968672;22.495036731
0.066900957;0.2;593.590894046;22.650026128
0.064847199;0.2;590.924803892;22.800896185
0.062856489;0.2;588.248564979;22.947571391
0.060926891;0.2;585.56305154;23.089979303
0.059056528;0.2;582.869143774;23.228050808
0.057243582;0.2;580.167727533;23.361720262
0.055486291;0.2;577.459692789;23.490925733
0.053782947;0.2;574.745933307;23.615609123
0.052131892;0.2;572.027344799;23.735716395
0.050531522;0.2;569.304824617;23.851197679
0.048980281;0.2;566.579270243;23.962007453
0.047476661;0.2;563.851578351;24.068104661
0.0460192;0.2;561.122643566;24.169452843
0.044606481;0.2;558.393357299;24.26602025
0.04323713;0.2;555.664606784;24.35777992
0.041909816;0.2;552.937273715;24.44470978
0.040623248;0.2;550.212233302;24.526792692
0.039376176;0.2;547.490352819;24.604016528
0.038167387;0.2;544.772490738;24.676374184
0.036995707;0.2;542.059495544;24.743863607
0.035859995;0.2;539.352204573;24.806487803
0.034759148;0.2;536.651442897;24.864254825
0.033692095;0.2;533.9580224;24.917177745
0.032657799;0.2;531.272740733;24.965274606
0.031655254;0.2;528.596380219;25.00856838
0.030683486;0.2;525.929707015;25.047086884
0.029741549;0.2;523.273470264;25.080862696
0.028828529;0.2;520.6284011;25.109933063
0.027943537;0.2;517.995211973;25.134339781
0.027085713;0.2;515.374595861;25.154129074
0.026254223;0.2;512.767225567;25.169351457
0.025448258;0.2;510.173753064;25.180061591
0.024667035;0.2;507.594809109;25.186318121
0.023909795;0.2;505.031002327;25.188183514
0.023175801;0.2;502.482919275;25.185723881
0.022464339;0.2;499.951123505;25.179008802
0.021774718;0.2;497.436155725;25.168111127
0.020458337;0.2;492.451330928;25.140189081
0.019221537;0.2;487.545379618;25.090141095
0.018059508;0.2;482.716227946;25.024983082
0.016967728;0.2;477.966970769;24.945430212
0.015941951;0.2;473.300324727;24.852223945
0.014978188;0.2;468.718633304;24.746125632
0.014072688;0.2;464.223876248;24.627910203
0.01322193;0.2;459.817680628;24.498360127
0.012422604;0.2;455.501334912;24.35825973
0.011671601;0.2;451.27580455;24.208389915
0.010965999;0.2;447.141748805;24.049523324
0.010303055;0.2;443.099539265;23.882419976
0.009680188;0.2;439.149278465;23.707823396
0.009094977;0.2;435.290819499;23.526457232
0.008545144;0.2;431.52378571;23.339022366
0.008028551;0.2;427.847590248;23.146194495
0.007543188;0.2;424.261455483;22.948622172
0.007087168;0.2;420.764431832;22.746925274
0.006658717;0.2;417.35541635;22.541693871
0.006256167;0.2;414.033169974;22.333487459
0.005877953;0.2;410.796334641;22.122834538
0.005522604;0.2;407.643449045;21.910232478
0.005188737;0.2;404.572963591;21.69614765
0.004875055;0.2;401.58325433;21.481015795
0.004580335;0.2;398.672636072;21.265242586
0.004303433;0.2;395.839374254;21.049204357
0.004043271;0.2;393.081695888;20.833248967
0.003798837;0.2;390.397799928;20.61769679
0.00356918;0.2;387.785865969;20.402841769
0.003353407;0.2;385.244062857;20.188952557
0.002960205;0.2;380.287061661;19.766423185
0.002724032;0.2;377.235207237;19.486158008
0.002506701;0.2;374.237270043;19.210286407
0.00230671;0.2;371.345769289;18.938100264
0.002122674;0.2;368.556563842;18.669902556
0.001953321;0.2;365.865605305;18.405946501
0.00179748;0.2;363.268947453;18.146440137
0.001654072;0.2;360.762753812;17.891550672
0.001400668;0.2;355.904891408;17.394265569
0.001253687;0.2;352.990371473;17.076110921
0.00108142;0.2;349.1679159;16.662716077
0.000887976;0.2;344.401266941;16.135117106
0.000790425;0.2;341.895580258;15.84134399
0.00067682;0.2;338.56021076;15.458274132
0.000550331;0.2;334.397368872;14.972106932
0.000431692;0.2;329.924879524;14.437709495
0.000336957;0.2;325.784598539;13.931477491
0.000261713;0.2;321.906417924;13.450792548
0.000202267;0.2;318.266908435;12.994753105
0.000155551;0.2;314.844139303;12.56224617
0.000119034;0.2;311.617717392;12.152020358
9.064e-05;0.2;308.568783774;11.762745051
6.8677e-05;0.2;305.679978338;11.393057146
5.1779e-05;0.2;302.935382506;11.041597153
3.8846e-05;0.2;300.320446604;10.707036211
2.8999e-05;0.2;297.821908778;10.388095661
2.1541e-05;0.2;295.427709381;10.083560516
1.5922e-05;0.2;293.126897933;9.792287865
