 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    SRK 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.997526597;0.2;527.66808006;0.054164353
0.997321403;0.2;530.223586219;0.058661023
0.997099144;0.2;532.804197018;0.063520123
0.996858395;0.2;535.410019472;0.06876968
0.996597613;0.2;538.041136893;0.074439746
0.996315127;0.2;540.697602268;0.080562522
0.996009123;0.2;543.379462952;0.08717256
0.995677638;0.2;546.086733026;0.094306853
0.995318543;0.2;548.819407127;0.102005035
0.994929529;0.2;551.577441107;0.110309496
0.994508097;0.2;554.360776412;0.119265639
0.994051535;0.2;557.169316294;0.128922003
0.993556904;0.2;560.002931037;0.139330477
0.993021018;0.2;562.861458903;0.150546527
0.992440425;0.2;565.744699507;0.162629392
0.99181138;0.2;568.652414968;0.175642337
0.991129825;0.2;571.584325178;0.189652883
0.99039136;0.2;574.540107015;0.204733075
0.989591214;0.2;577.519392741;0.22095976
0.988724217;0.2;580.521765428;0.238414868
0.987784761;0.2;583.546758943;0.257185731
0.986766766;0.2;586.593854253;0.277365408
0.985663641;0.2;589.662477128;0.299053034
0.984468237;0.2;592.751996352;0.322354195
0.983172805;0.2;595.861758777;0.347381648
0.981768941;0.2;598.990894792;0.37425414
0.980247533;0.2;602.138700853;0.403100094
0.978598699;0.2;605.304251394;0.43405488
0.976811724;0.2;608.486588774;0.467262976
0.974874989;0.2;611.684681984;0.502878227
0.972775892;0.2;614.897423593;0.541064497
0.97050077;0.2;618.123626658;0.581996379
0.968034806;0.2;621.362021506;0.625859973
0.96536193;0.2;624.61125207;0.672853766
0.962464718;0.2;627.869872176;0.723189596
0.959324275;0.2;631.13634122;0.777093745
0.955920109;0.2;634.409019481;0.834808168
0.952230002;0.2;637.686162944;0.896591882
0.94822986;0.2;640.965917053;0.96272255
0.94389356;0.2;644.24630992;1.033498296
0.93920614;0.2;647.51547128;1.109006821
0.934200875;0.2;650.731206703;1.188524374
0.928868863;0.2;653.891671503;1.272162011
0.923197046;0.2;656.994885431;1.360026265
0.917172615;0.2;660.038931273;1.452222026
0.910783102;0.2;663.021954798;1.548852651
0.904016469;0.2;665.942163762;1.650020091
0.896861212;0.2;668.797826113;1.755825067
0.889306455;0.2;671.587267366;1.866367262
0.881342064;0.2;674.308867199;1.981745552
0.872958751;0.2;676.96105537;2.102058253
0.864148188;0.2;679.542307095;2.227403382
0.854903123;0.2;682.051137389;2.357878942
0.835981797;0.2;686.947591031;2.637001897
0.814208189;0.2;691.48072534;2.938505537
0.790585683;0.2;695.691339219;3.263083501
0.765131707;0.2;699.567747436;3.611634728
0.737896086;0.2;703.097853534;3.985093924
0.708964131;0.2;706.268845078;4.384430394
0.67845915;0.2;709.066901535;4.810638485
0.645791318;0.2;711.542480313;5.276862852
0.609980734;0.2;713.710252575;5.803141785
0.570633372;0.2;715.478457335;6.402888303
0.514690538;0.2;717.216665248;7.336194875
0.454632649;0.2;717.413454217;8.390302637
0.407335349;0.2;716.194456524;9.263319174
0.368572266;0.2;714.540303231;10.068732078
0.333497977;0.2;712.297605759;10.866399653
0.301761449;0.2;709.526467578;11.657260825
0.27304505;0.2;706.272544071;12.441782814
0.247061378;0.2;702.571456;13.219996151
0.22355038;0.2;698.451793034;13.991541828
0.168955742;0.2;686.268895621;16.294442745
0.165137698;0.2;683.463369276;16.255969068
0.160180846;0.2;681.802904831;16.482140565
0.153802382;0.2;679.543876234;16.78233964
0.145691104;0.2;676.453267291;17.17998252
0.135537559;0.2;672.19644799;17.705016296
0.129164771;0.2;669.187967267;18.040503026
0.121131372;0.2;665.171606428;18.494713528
0.116055308;0.2;662.365513694;18.785527913
0.109616561;0.2;658.62248401;19.17791934
0.105523766;0.2;656.030145029;19.429605685
0.100303424;0.2;652.574232473;19.76830388
0.093742471;0.2;647.871041311;20.211886993
0.089608696;0.2;644.609728829;20.492566548
0.084379154;0.2;640.267138943;20.869947454
0.081063467;0.2;637.27885752;21.109015996
0.076844334;0.2;633.301348463;21.429657915
0.074154293;0.2;630.580710176;21.633069024
0.070713484;0.2;626.960214551;21.905368918
0.066372801;0.2;622.072596831;22.258162917
0.063628071;0.2;618.728086013;22.477809345
0.060144174;0.2;614.283140235;22.771286707
0.05792821;0.2;611.258253413;22.95414491
0.055793891;0.2;608.236422273;23.135967489
0.053738209;0.2;605.195993151;23.312424116
0.051758268;0.2;602.138273508;23.483397717
0.049851275;0.2;599.06458792;23.648776088
0.048014545;0.2;595.976276512;23.808452371
0.046245487;0.2;592.874692756;23.962325494
0.044541608;0.2;589.761202491;24.110300502
0.042900508;0.2;586.637181378;24.252288973
0.041319873;0.2;583.504013444;24.388209327
0.039797475;0.2;580.363088852;24.517987165
0.038331169;0.2;577.215801687;24.64155558
0.036918887;0.2;574.063548209;24.758855401
0.03555864;0.2;570.907723907;24.869835482
0.03424851;0.2;567.749721713;24.974452886
0.032986651;0.2;564.590929545;25.072673088
0.031771284;0.2;561.432727777;25.164470124
0.030600696;0.2;558.276486924;25.249826715
0.029473238;0.2;555.123565342;25.328734344
0.02838732;0.2;551.975306769;25.401193312
0.027341411;0.2;548.833037798;25.467212755
0.026334039;0.2;545.698065915;25.526810611
0.025363782;0.2;542.571676985;25.580013564
0.024429273;0.2;539.455132962;25.62685696
0.023529196;0.2;536.349670022;25.667384665
0.022662282;0.2;533.256496363;25.701648906
0.021827308;0.2;530.176790231;25.729710079
0.021023098;0.2;527.111698193;25.751636516
0.020248519;0.2;524.062333258;25.767504232
0.019502478;0.2;521.029773431;25.777396639
0.018783925;0.2;518.015060225;25.781404233
0.018091846;0.2;515.019197129;25.779624268
0.017425266;0.2;512.043148763;25.772160396
0.016783246;0.2;509.087839494;25.759122293
0.016164881;0.2;506.154152774;25.740625278
0.015569298;0.2;503.24293022;25.716789903
0.01499566;0.2;500.354971181;25.687741547
0.014443157;0.2;497.491032141;25.653609992
0.01391101;0.2;494.65182653;25.614529
0.01339847;0.2;491.838024443;25.570635884
0.012904814;0.2;489.050252733;25.522071083
0.012429346;0.2;486.289095043;25.468977731
0.011971397;0.2;483.555092053;25.411501241
0.01153032;0.2;480.848741905;25.349788884
0.011105495;0.2;478.170500631;25.283989388
0.010696322;0.2;475.52078275;25.214252542
0.010302224;0.2;472.899962027;25.140728807
0.009922647;0.2;470.308372062;25.063568951
0.009557055;0.2;467.746307463;24.982923691
0.009204933;0.2;465.214024529;24.898943351
0.008865784;0.2;462.711742451;24.811777543
0.008224514;0.2;457.772613109;24.633402653
0.007629627;0.2;452.979394794;24.438761233
0.007077769;0.2;448.308650599;24.234294717
0.006565828;0.2;443.760420327;24.021111021
0.006090915;0.2;439.334306094;23.800275618
0.005650354;0.2;435.029512571;23.572806878
0.005241659;0.2;430.84488885;23.339672418
0.004862525;0.2;426.778968851;23.101786496
0.004510814;0.2;422.83001098;22.860008336
0.004184542;0.2;418.996034869;22.615141263
0.003881871;0.2;415.274857256;22.3679326
0.003601091;0.2;411.664124332;22.119074172
0.003340621;0.2;408.161342375;21.869203345
0.003098991;0.2;404.763905618;21.618904507
0.002874838;0.2;401.469121724;21.368710901
0.002666898;0.2;398.274234592;21.119106722
0.002473999;0.2;395.17644524;20.870529441
0.002295053;0.2;392.172929713;20.623372226
0.002129049;0.2;389.260855563;20.377986503
0.001975053;0.2;386.437395837;20.134684514
0.001832196;0.2;383.699741443;19.893741905
0.001699671;0.2;381.04511176;19.655400277
0.001576733;0.2;378.470763604;19.419869675
0.001462686;0.2;375.973998879;19.187331012
0.001258744;0.2;371.116460311;18.73117643
0.001138837;0.2;368.156948729;18.435336918
0.001030352;0.2;365.251661959;18.145266886
0.000932201;0.2;362.459063623;17.861558123
0.0008434;0.2;359.773762547;17.584300983
0.000763058;0.2;357.190590127;17.313542816
0.00069037;0.2;354.704599943;17.049293835
0.000565106;0.2;349.895373059;16.536512992
0.000500638;0.2;347.311317026;16.244008841
0.000443524;0.2;344.74913116;15.957557654
0.0003481;0.2;339.813148163;15.405532229
0.000270542;0.2;335.222559805;14.872709282
0.000209226;0.2;330.927158373;14.365383405
0.000161007;0.2;326.895089588;13.882632252
