 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    SRK 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)

0.997680592;0.2;525.537575412;0.050628923
0.997651535;0.2;525.931931368;0.051265449
0.997622113;0.2;526.326895125;0.051909769
0.997592321;0.2;526.722467214;0.052561976
0.997562155;0.2;527.118648044;0.053222162
0.99753161;0.2;527.515438046;0.053890421
0.997500681;0.2;527.912837783;0.054566848
0.997469365;0.2;528.310847753;0.055251539
0.997437654;0.2;528.709468483;0.055944593
0.997405546;0.2;529.108700295;0.056646106
0.997373034;0.2;529.508543776;0.057356179
0.997340114;0.2;529.908999267;0.058074911
0.99730678;0.2;530.310067249;0.058802405
0.997273028;0.2;530.71174811;0.059538764
0.997238851;0.2;531.114042279;0.06028409
0.997204245;0.2;531.51695021;0.06103849
0.997169205;0.2;531.920472256;0.061802069
0.997133724;0.2;532.324608732;0.062574934
0.997097798;0.2;532.729360051;0.063357195
0.99706142;0.2;533.134726547;0.064148961
0.997024585;0.2;533.540708665;0.064950343
0.996987287;0.2;533.947306637;0.065761453
0.99694952;0.2;534.354520746;0.066582405
0.996911279;0.2;534.762351443;0.067413313
0.996872557;0.2;535.170798968;0.068254294
0.996833349;0.2;535.579863546;0.069105464
0.996793648;0.2;535.98954547;0.069966941
0.996753447;0.2;536.399845101;0.070838847
0.996712742;0.2;536.810762597;0.071721301
0.996671525;0.2;537.222298269;0.072614427
0.99662979;0.2;537.634452183;0.073518347
0.99658753;0.2;538.047224752;0.074433188
0.996544739;0.2;538.460616032;0.075359075
0.99650141;0.2;538.874626239;0.076296137
0.996457537;0.2;539.289255686;0.077244503
0.996413112;0.2;539.704504294;0.078204302
0.996368128;0.2;540.120372357;0.079175668
0.996322579;0.2;540.536860077;0.080158735
0.996276457;0.2;540.953967332;0.081153636
0.996229755;0.2;541.37169443;0.082160508
0.996182466;0.2;541.790041438;0.08317949
0.996134582;0.2;542.209008396;0.08421072
0.996086096;0.2;542.628595306;0.085254339
0.996037;0.2;543.04880232;0.086310491
0.995987287;0.2;543.469629437;0.087379318
0.995936949;0.2;543.891076615;0.088460967
0.995885977;0.2;544.313143978;0.089555584
0.995834365;0.2;544.735831421;0.090663318
0.995782103;0.2;545.159138893;0.091784319
0.995729184;0.2;545.583066412;0.092918739
0.995675599;0.2;546.007613902;0.094066732
0.99562134;0.2;546.432781295;0.095228453
0.995566398;0.2;546.85856847;0.096404058
0.995510766;0.2;547.284975381;0.097593707
0.995454433;0.2;547.712001841;0.098797558
0.995397392;0.2;548.139647695;0.100015774
0.995339633;0.2;548.567912862;0.101248519
0.995281147;0.2;548.996797069;0.102495957
0.995221925;0.2;549.42630024;0.103758257
0.995161958;0.2;549.856422081;0.105035587
0.995101236;0.2;550.287162393;0.106328117
0.99503975;0.2;550.71852094;0.107636019
0.99497749;0.2;551.150497437;0.10895947
0.994914447;0.2;551.583091625;0.110298643
0.99485061;0.2;552.016303211;0.111653718
0.99478597;0.2;552.450131817;0.113024874
0.994720516;0.2;552.884577224;0.114412293
0.994654239;0.2;553.319638977;0.115816159
0.994587126;0.2;553.755316723;0.117236657
0.994519169;0.2;554.191610115;0.118673975
0.994450357;0.2;554.628518691;0.120128302
0.994380678;0.2;555.066042071;0.121599831
0.994310122;0.2;555.504179734;0.123088754
0.994238677;0.2;555.942931279;0.124595267
0.994166333;0.2;556.382296189;0.126119568
0.994093078;0.2;556.822273982;0.127661856
0.994018901;0.2;557.262864069;0.129222334
0.993943789;0.2;557.704065949;0.130801205
0.993867732;0.2;558.145879041;0.132398675
0.993790716;0.2;558.588302747;0.134014952
0.993712731;0.2;559.031336448;0.135650247
0.993633763;0.2;559.474979523;0.137304773
0.993553801;0.2;559.919231305;0.138978743
0.993472831;0.2;560.364091111;0.140672375
0.993390842;0.2;560.809558264;0.142385888
0.99330782;0.2;561.255632029;0.144119504
0.993223751;0.2;561.702311651;0.145873445
0.993138624;0.2;562.149596385;0.14764794
0.993052424;0.2;562.597485436;0.149443215
0.992965138;0.2;563.045977977;0.151259502
0.992876753;0.2;563.495073178;0.153097033
0.992787253;0.2;563.944770204;0.154956045
0.992696626;0.2;564.395068165;0.156836775
0.992604857;0.2;564.845966125;0.158739464
0.992511931;0.2;565.297463198;0.160664354
0.992417834;0.2;565.749558384;0.162611692
0.992322551;0.2;566.202250754;0.164581724
0.992226068;0.2;566.655539288;0.166574702
0.992128368;0.2;567.109422932;0.168590878
0.992029437;0.2;567.563900674;0.170630508
0.991929258;0.2;568.018971417;0.17269385
0.991827817;0.2;568.474634063;0.174781165
0.991725097;0.2;568.930887482;0.176892717
0.991621082;0.2;569.387730533;0.179028772
0.991515755;0.2;569.845162025;0.181189598
0.991409101;0.2;570.303180754;0.183375467
0.991301102;0.2;570.761785481;0.185586654
0.99119174;0.2;571.220974976;0.187823435
0.991081;0.2;571.680747927;0.190086091
0.990968864;0.2;572.141103034;0.192374905
0.990855313;0.2;572.602038952;0.194690163
0.99074033;0.2;573.063554324;0.197032152
0.990623897;0.2;573.525647743;0.199401164
0.990505995;0.2;573.988317793;0.201797494
0.990386607;0.2;574.451563039;0.204221439
0.990265712;0.2;574.915381981;0.2066733
0.990143292;0.2;575.379773124;0.20915338
0.990019328;0.2;575.84473493;0.211661985
0.9898938;0.2;576.310265839;0.214199425
0.989766688;0.2;576.776364244;0.216766013
0.989637973;0.2;577.243028547;0.219362065
0.989507634;0.2;577.71025707;0.221987899
0.989375649;0.2;578.178048156;0.224643838
0.989242;0.2;578.646400073;0.227330207
0.989106664;0.2;579.115311084;0.230047335
0.98896962;0.2;579.584779422;0.232795553
0.988830846;0.2;580.054803281;0.235575198
0.988690321;0.2;580.525380824;0.238386607
0.988548023;0.2;580.996510195;0.241230123
0.988403928;0.2;581.468189486;0.244106091
0.988258014;0.2;581.940416774;0.24701486
0.988110259;0.2;582.413190103;0.249956782
0.987960638;0.2;582.886507472;0.252932214
0.987809128;0.2;583.360366865;0.255941513
0.987655706;0.2;583.834766226;0.258985045
0.987500346;0.2;584.309703459;0.262063174
0.987343025;0.2;584.785176447;0.265176272
