 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           C2 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

200.0;137.763770865;17424.3586343;0.21518652
208.643297432;195.107514087;16989.9082904;0.311096389
217.04069782;267.835527149;16540.6813821;0.432802825
225.177120747;357.741745309;16076.6556745;0.582268677
233.036577712;466.640732957;15597.8766218;0.760795379
240.602195656;596.345467804;15104.4361423;0.968735302
247.856240994;748.961292923;14596.4578867;1.205453684
254.77998929;926.930830161;14074.0850741;1.469343635
261.353566412;1133.45510425;13537.4695571;1.757866541
267.555573639;1372.74879159;12986.780226;2.067593432
273.362589356;1650.40987204;12422.2279984;2.394218921
278.748498419;1973.78044694;11844.1298978;2.732515683
283.683673145;2352.3130396;11253.0357333;3.076211078
288.134034492;2797.47716273;10649.979736;3.417758697
292.060285778;3320.20959215;10036.8987006;3.747949655
295.418630332;3921.60280116;9416.86950133;4.055367657
298.166263683;4580.3985316;8792.31539539;4.326306459
300.272222114;5266.46439415;8156.97304623;4.546588181
301.717476441;5999.74295465;7464.29418635;4.70409804
302.083614248;6346.35007832;7128.1317747;4.744799367
302.083614248;6346.35006395;7128.13178089;4.744799367
302.1751487;6498.48119446;6978.53185583;4.755024123
302.220915926;6741.49367507;6741.49367507;4.760143319
