 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2(test) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

220.0;320.599800841;26972.5800033;0.547679348
233.325990101;533.249849975;25755.1061812;0.92995386
245.936918267;825.4754216;24460.5929243;1.450371245
257.754477018;1208.76895242;23091.0513024;2.109752967
268.695618193;1694.18242573;21650.2761069;2.895322883
278.673665034;2292.16245461;20143.7534134;3.780195497
287.599460513;3013.16900254;18578.1893499;4.724355592
295.381970687;3868.84820584;16960.2663834;5.676782038
301.927679776;4874.92618933;15293.458715;6.578484703
307.136946039;6061.16033144;13568.0172427;7.365955367
310.890374494;7524.21694006;11708.8239209;7.973580775
311.936526239;8286.26294315;10835.2163171;8.149121954
312.459602112;9042.97808409;10022.4828798;8.237919307
312.459602112;9042.97808409;10022.4828798;8.237919307
312.459602112;9042.97808409;10022.4828798;8.237919307
312.524986596;9271.88675739;9786.60560583;8.249067331
312.524986596;9271.88678815;9786.60545037;8.249067331
312.541332717;9528.90395894;9528.90395894;8.251855763
