 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;6981.92004259;13269.6241383;7.147487794
300.1;6813.44566059;13493.1763841;7.076138731
300.2;6479.15603678;13439.2633889;7.092125918
300.3;6476.50605741;12990.1715883;7.101192755
300.4;6591.47011243;13331.9775398;7.130398935
300.5;6970.67981948;13212.1230983;7.194043435
300.6;6980.8625263;13154.0944895;7.210838995
300.7;6994.14736598;13095.5459358;7.227620568
300.8;7018.84285117;13038.8250362;7.244435701
300.9;7126.58708962;13032.3152744;7.261192672
301.0;7169.74189893;12920.9202651;7.278468303
301.1;7220.37028258;12859.9310604;7.295468959
301.2;7279.99217859;12797.569454;7.312520522
301.3;7336.31198747;12733.6800066;7.329601501
301.4;7394.02144629;12668.2553799;7.346720265
301.5;7454.58060595;12601.1559994;7.363879061
301.6;7516.63916386;12532.2439299;7.38107582
301.7;7580.66477161;12461.368964;7.39831128
301.8;7646.99336649;12388.3596955;7.415585908
301.9;7715.70907239;12313.013568;7.432899797
302.0;7787.07168694;12235.0965613;7.450253243
302.1;7861.35994231;12154.3323907;7.467646506
302.2;7938.90787782;12070.391717;7.485079864
302.3;8020.11532637;11982.8765121;7.502553597
302.4;8105.47435592;11891.2981421;7.520067994
302.5;8195.59919866;11795.0454383;7.537623351
302.6;8291.27491923;11693.3367165;7.55521997
302.7;8393.53255021;11585.1444426;7.572858163
302.8;8503.77357142;11469.0706509;7.590538245
302.9;8623.98974625;11343.1273461;7.608260539
303.0;8757.18598951;11204.3142374;7.626025397
303.1;8908.29691865;11047.6999471;7.643833146
303.2;9604.77941176;9604.77941176;7.663408869
