 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Ethanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

510.0;2846.51993014;7617.49377285;5.603677835
512.385486921;3080.65998011;7312.489239;5.820647932
514.501401551;3321.62389764;7017.58837677;6.018355374
516.34938379;3568.41389109;6730.22752394;6.195144128
517.930290607;3820.51286125;6447.88696377;6.349457882
519.243977658;4078.50217272;6167.57011804;6.479848776
520.288511631;4345.34878711;5884.5274497;6.584918641
521.058100962;4631.54175444;5587.52938275;6.663116043
521.536094776;5129.68081857;5129.68081857;6.712020528
