 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           H2S(4C) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     4C 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

200.0;39.010383504;28344.6833513;0.027816811
214.152836484;76.679746616;27729.8138221;0.100308796
227.979403522;118.395570658;27080.6927479;0.210876679
241.46055211;185.578233372;26394.933299;0.362329182
254.565229643;294.982364839;25671.433553;0.580993373
267.253455237;443.667144229;24909.1818811;0.878124618
279.486212606;624.255532952;24107.271155;1.262393501
291.227720417;858.021210973;23264.352097;1.735903606
302.43088586;1144.70889346;22380.100889;2.299707559
313.048581857;1489.76706271;21454.1200153;2.948698923
323.030758334;1899.55029842;20486.1014034;3.672755357
332.324033886;2382.30152386;19475.7308386;4.457010188
340.870748544;2949.06313868;18422.3818147;5.282085971
348.607407882;3614.65216302;17324.6506514;6.124153282
355.462407126;4399.16879479;16179.1883842;6.954725539
361.35241692;5331.10578631;14977.7136352;7.740114285
366.175720845;6452.94041798;13698.282403;8.440200673
369.798391837;7840.54089245;12270.4498443;9.00563222
370.905869075;8551.39160071;11569.5459227;9.186283711
371.459607694;9094.47726806;11036.6139177;9.278107208
371.736477004;9548.05670215;10589.4149363;9.32440686
371.736477004;9548.05669462;10589.4149429;9.32440686
371.805694331;9749.29739181;10389.9768964;9.336022835
371.840302995;9935.32572382;10205.8926307;9.341837035
371.840302995;9935.32570573;10205.8926636;9.341837035
371.848955161;10083.2033898;10083.2033898;9.343291691
