 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Metanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

450.0;958.226974072;18750.5285562;2.535968549
452.5;1011.17578183;18602.3516834;2.668795196
455.0;1066.65399959;18451.2500093;2.806759913
457.5;1124.77867029;18297.0989068;2.949982423
460.0;1185.68271081;18139.7641707;3.098581635
462.5;1249.5092691;17979.1029994;3.252675611
465.0;1316.41079626;17814.9585402;3.412383589
467.5;1386.55256164;17647.164413;3.577825108
470.0;1460.11401887;17475.5369819;3.749119722
472.5;1537.29091757;17299.8774352;3.926387018
475.0;1618.29730088;17119.9686945;4.109746696
477.5;1703.3681005;16935.5726081;4.299318565
480.0;1792.76233567;16746.4259095;4.495222523
482.5;1886.76699622;16552.236929;4.697578479
485.0;1985.70170796;16352.6822568;4.906506328
487.5;2089.9242179;16147.4000537;5.122126011
490.0;2199.83694142;15935.9817996;5.344557706
492.5;2315.89685357;15717.9659808;5.573921222
495.0;2438.62555121;15492.8253224;5.810336475
497.5;2568.62338425;15259.9539982;6.053923413
500.0;2706.5880052;15018.6480851;6.304801904
502.5;2853.33860833;14768.082204;6.563091667
505.0;3009.84788123;14507.2772517;6.828912493
507.5;3177.28696364;14235.0549801;7.102384077
510.0;3357.08823986;13949.9761856;7.383626026
512.5;3551.03638249;13650.2487389;7.67275788
515.0;3761.40476349;13333.5914623;7.96989921
517.5;3991.16995342;12997.0199767;8.275169389
520.0;4244.36349433;12636.4945033;8.58868782
