 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

510.0;6028.2464125;11085.9026418;7.99631477
510.1;6082.03788287;11044.3607032;8.010937745
510.2;6141.24114683;10998.9918675;8.026036899
510.3;6199.15516239;10955.2924079;8.040767556
510.4;6254.99758963;10913.4079222;8.055119987
510.5;6320.46911473;10864.3402858;8.070392519
510.6;6384.59096472;10816.9039705;8.085289183
510.7;6451.151182;10768.0191567;8.10024376
510.8;6515.59391966;10720.9260556;8.114810253
510.9;6587.31830264;10668.8697427;8.129880531
511.0;6667.14131792;10611.3215404;8.145468517
511.1;6745.22780997;10555.1768691;8.16066837
511.2;6826.74753213;10496.7164948;8.17593298
511.3;6906.65212099;10439.2745466;8.190869605
511.4;6995.05008545;10375.9873708;8.206187611
511.5;7089.13309824;10308.3235341;8.221725739
511.6;7193.78762213;10233.0498453;8.237665406
511.7;7290.79475123;10162.3737448;8.252783931
511.8;7401.19336426;10081.3933029;8.268458491
511.9;7519.24225999;9993.68647095;8.284205875
512.0;7655.89516601;9890.64844195;8.300531857
512.1;7787.39532567;9788.81228558;8.316000842
512.2;7943.04152698;9665.63885848;8.331891998
512.3;8126.46105934;9515.39341707;8.347936946
512.4;8836.9165214;8836.9165214;8.364059504
