 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-3.856563739;24675.7009296;0.000492434
312.339778747;15.279229037;24314.3826304;0.007958669
324.489330447;33.083620297;23946.717118;0.037542216
336.446147196;50.518953372;23571.124805;0.085996262
348.206450122;68.620588085;23186.1121908;0.151510041
359.765195923;89.115322503;22790.0789157;0.233629766
371.11567772;118.476643982;22381.5735084;0.334504355
382.247226152;181.667265687;21960.1258529;0.470562025
393.136455446;241.101995224;21525.3348296;0.646345162
403.778571863;322.71778478;21075.8241672;0.863447549
414.155125054;419.58598159;20611.1668291;1.126773141
424.250915478;535.855992633;20130.7802651;1.438973438
434.048377614;672.8478131;19634.2718196;1.801664113
443.529089617;832.061671245;19121.4011467;2.21511721
452.673759355;1014.90437748;18592.0676877;2.678127267
461.46234101;1222.60290352;18046.3308113;3.187940895
469.874204964;1456.27110148;17484.4056952;3.740245967
477.888272261;1716.89445727;16906.663126;4.329200786
485.483156595;2005.34527173;16313.6267367;4.947514969
492.637297328;2322.36944018;15705.9637689;5.586571875
499.329094492;2668.63606239;15084.4647126;6.236592728
505.537008817;3044.72564623;14450.014954;6.886834789
511.239653471;3451.22660165;13803.5385033;7.525820469
516.415809422;3888.74907279;13145.9104607;8.141584476
521.044390116;4358.15318984;12477.7937985;8.721934026
525.10421042;4860.80757273;11799.3308203;9.254697377
528.573472044;5399.2702033;11109.4775716;9.72793698
531.428575728;5979.08058414;10404.2632519;10.130063557
533.641167062;6614.82689539;9670.81653942;10.449681187
535.169161884;7369.36292485;8848.56128075;10.674524628
535.538961473;7766.19291279;8435.3044968;10.729449764
535.538961473;7766.19291279;8435.3044968;10.729449764
535.63141137;8099.20588805;8099.20588805;10.743212067
