 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           Propane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

360.0;3279.94556955;6668.70553091;3.697698597
361.694379981;3605.13388828;6387.85661185;3.832649837
363.085741342;3925.02551349;6107.62655125;3.947468606
364.177041861;4240.55339041;5823.26420629;4.039980788
364.968397269;4564.42381872;5521.29801621;4.108367091
365.207615819;4713.10332689;5379.04759096;4.129248595
365.327225093;4819.11175764;5276.25672982;4.139725107
365.387029731;4896.82559022;5200.13806693;4.144972238
365.416932049;5048.85778591;5048.85778591;4.147597942
