 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Butane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

400.0;1459.24407901;6540.25000332;2.795440994
400.5;1477.44702106;6508.84920719;2.819530397
401.0;1495.96772853;6477.08664817;2.843769232
401.5;1514.81710615;6444.9497563;2.868158043
402.0;1534.0068307;6412.42518799;2.892697327
402.5;1553.54922317;6379.49880271;2.917387612
403.0;1573.45739574;6346.15557794;2.942229421
403.5;1593.74534888;6312.37952514;2.967223261
404.0;1614.42790111;6278.15364151;2.99236968
404.5;1635.52100947;6243.45976018;3.017669174
405.0;1657.04160956;6208.27850704;3.043122289
405.5;1679.00790671;6172.58914003;3.068729545
406.0;1701.43945248;6136.36942661;3.094491459
406.5;1724.35717845;6099.59552379;3.120408578
407.0;1747.78372254;6062.24176515;3.146481417
407.5;1771.74349831;6024.28049766;3.172710501
408.0;1796.2628662;5985.68187489;3.199096372
408.5;1821.37047333;5946.41357752;3.22563955
409.0;1847.09747324;5906.44054005;3.252340554
409.5;1873.47779845;5865.72463312;3.279199916
410.0;1900.54855247;5824.22426849;3.30621816
410.5;1928.35047688;5781.89393864;3.333395803
411.0;1956.92841802;5738.68370018;3.360733354
411.5;1986.33191768;5694.53855128;3.388231323
412.0;2016.61593705;5649.39768462;3.415890216
412.5;2047.84172331;5603.19359241;3.443710526
413.0;2080.0778294;5555.85093836;3.471692728
413.5;2113.40150506;5507.28541427;3.499837316
414.0;2147.90012848;5457.40186908;3.528144742
414.5;2183.67328683;5406.09243601;3.556615451
415.0;2220.83525847;5353.2339358;3.585249872
415.5;2259.51824019;5298.68461493;3.614048414
416.0;2299.87652919;5242.27989762;3.643011459
416.1;2308.16467061;5230.75990125;3.648823841
416.2;2316.52860805;5219.15637706;3.654642816
416.3;2324.9699952;5207.46757589;3.660468393
416.4;2333.49054458;5195.69168084;3.666300575
416.5;2342.0920667;5183.82679336;3.672139361
416.6;2350.77643046;5171.87095451;3.677984752
416.7;2359.5455493;5159.82214053;3.683836753
416.8;2368.40141571;5147.67825278;3.68969537
416.9;2377.34613915;5135.43709316;3.6955606
417.0;2386.38189316;5123.09638134;3.701432444
417.1;2395.51091987;5110.65376529;3.707310908
417.2;2404.73556431;5098.10679233;3.713195997
417.3;2414.0582989;5085.45288397;3.719087706
417.4;2423.4816877;5072.68937297;3.724986038
417.5;2433.00837642;5059.81349262;3.730891001
417.6;2442.64115655;5046.82233418;3.736802593
417.7;2452.38297143;5033.71285561;3.742720813
417.8;2462.23685958;5020.48189206;3.748645664
417.9;2472.20599292;5007.12614581;3.754577154
418.0;2482.29374915;4993.64213313;3.760515278
418.1;2492.50364532;4980.02620817;3.766460035
418.2;2502.83934715;4966.27458159;3.772411434
418.3;2513.30473602;4952.38324478;3.778369474
418.4;2523.90391476;4938.34797215;3.78433415
418.5;2534.64116411;4924.16435641;3.79030547
418.6;2545.52099325;4909.82774124;3.796283435
418.7;2556.54822366;4895.3331931;3.802268041
418.8;2567.7278924;4880.67552805;3.808259291
418.9;2579.06532286;4865.84928392;3.81425719
419.0;2590.56621887;4850.84862911;3.820261732
419.1;2602.23657778;4835.66741258;3.826272918
419.2;2614.08276548;4820.29913688;3.832290757
419.3;2626.11160815;4804.73681836;3.838315238
419.4;2638.33034584;4788.97308632;3.844346367
419.5;2650.74667912;4773.00007172;3.850384146
419.6;2663.36892773;4756.80932146;3.856428569
419.7;2676.20591871;4740.39184235;3.862479639
419.8;2689.26716637;4723.73797159;3.868537359
419.9;2702.56293664;4706.83728163;3.87460172
420.0;2716.10421726;4689.6786271;3.880672731
420.1;2729.90296972;4672.24988203;3.886750385
420.2;2743.97210531;4654.53797191;3.892834681
420.3;2758.32563438;4636.52871964;3.898925624
420.4;2772.97889103;4618.20662094;3.905023204
420.5;2787.948521;4599.55485752;3.91112743
420.6;2803.25289595;4580.55489115;3.917238291
420.7;2818.91211063;4561.18643305;3.923355791
420.8;2834.948452;4541.42704728;3.929479926
420.9;2851.38655967;4521.25187281;3.935610695
421.0;2868.25392626;4500.63327507;3.941748096
421.1;2885.58130277;4479.54028899;3.947892125
421.2;2903.40328088;4457.93813514;3.954042782
421.3;2921.75905443;4435.78746235;3.960200064
421.4;2940.69322087;4413.04342356;3.966363966
421.5;2960.25698563;4389.65466076;3.972534488
421.6;2980.50961622;4365.5616991;3.978711623
421.7;3001.52018676;4340.69526874;3.984895374
421.8;3023.37028232;4314.97352145;3.991085728
421.9;3046.15718588;4288.29905155;3.997282689
422.0;3069.99856965;4260.55399289;4.003486254
422.1;3571.42857143;3571.42857143;4.01118829
