 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

400.0;7.896144487;4570.88913269;0.016309173
402.281496494;8.415958496;4559.24070334;0.018354829
404.556908867;8.940125313;4547.50967145;0.02050995
406.82619364;9.469316041;4535.69544642;0.022773283
409.089306705;10.004281085;4523.79742839;0.025143734
411.346203278;10.545865918;4511.81500701;0.027620382
413.596837849;11.09503096;4499.74758033;0.030202492
415.841164124;11.652876973;4487.59456212;0.032889535
418.079134966;12.220677956;4475.35532991;0.035681215
420.310702292;12.79992443;4463.02925228;0.038577494
422.535816956;13.392381449;4450.61569079;0.041578635
424.754428611;14.000167939;4438.11400169;0.044685252
426.966485528;14.625868175;4425.52353789;0.047898379
429.171934363;15.272690765;4412.84365199;0.051219551
431.370719843;15.944707614;4400.07370041;0.05465094
433.56278434;16.647220891;4387.21309798;0.05819552
435.748067278;17.387359007;4374.26135606;0.061857329
437.926504277;18.175101675;4361.21792596;0.06564186
440.098025689;19.02518652;4348.08231678;0.069556702
442.262554254;19.961050445;4334.85414501;0.07361266
444.420000801;21.024351756;4321.53321957;0.077825973
446.570255235;22.304450647;4308.11984151;0.0822236
448.713162931;23.783991685;4294.61500068;0.086845476
450.848578435;25.288126086;4281.01889522;0.091703052
452.97644382;26.816184779;4267.33087266;0.096795285
455.096701164;28.369631823;4253.55026405;0.102121243
457.20929148;29.950062496;4239.67660543;0.107680057
459.314154751;31.559281489;4225.70930609;0.113470954
461.411229763;33.19932711;4211.64765574;0.11949327
463.500453928;34.875124801;4197.49093792;0.125746583
465.581761834;36.597739836;4183.23873293;0.132231708
467.655082331;38.376409112;4168.89053865;0.138950901
469.720339396;40.222625443;4154.44578021;0.145907833
471.777450973;42.151422687;4139.90406904;0.15310798
473.826327296;44.183125497;4125.265385;0.160559204
475.866868426;46.319786264;4110.52953781;0.168271693
477.898973302;48.509906363;4095.69620118;0.176249921
479.922566449;50.757039834;4080.76509297;0.184494742
481.937570476;53.070038575;4065.7356257;0.193007886
483.943903269;55.459886681;4050.60725612;0.201792209
485.941476954;57.929267845;4035.37989228;0.21085156
487.930202266;60.467240414;4020.05300418;0.220188198
