 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-19.269599239;4996.43351499;0.082493823
302.5;-18.422724191;4987.55167222;0.075502227
305.0;-17.58733705;4978.58859768;0.068889201
307.5;-16.762941476;4969.54537182;0.062643157
310.0;-15.949059718;4960.41928943;0.056753037
312.5;-15.145231093;4951.20979515;0.051208285
315.0;-14.351010824;4941.91729985;0.045998817
317.5;-13.565968685;4932.53902815;0.041115001
320.0;-12.789687757;4923.07461959;0.036547626
322.5;-12.021763412;4913.5241611;0.032287885
325.0;-11.261802136;4903.88509862;0.028327352
327.5;-10.509420442;4894.15675872;0.024657965
330.0;-9.764243945;4884.3390749;0.021272004
332.5;-9.025906314;4874.43005809;0.018162079
335.0;-8.294048261;4864.42828664;0.015321111
337.5;-7.56831664;4854.33347912;0.01274232
340.0;-6.848363495;4844.14458151;0.010419211
342.5;-6.133845046;4833.85940377;0.008345559
345.0;-5.424420726;4823.47741793;0.006515402
347.5;-4.719752304;4812.99661192;0.004923027
350.0;-4.019502574;4802.41492446;0.00356296
352.5;-3.323335917;4791.73447637;0.00242996
355.0;-2.630910251;4780.99592085;0.001519001
357.5;-1.941895326;4769.91568085;0.000825288
360.0;-1.255942944;4759.3327608;0.000344215
362.5;-0.572655573;4747.78838545;7.1368e-05
365.0;0.107973875;4733.6682065;2.574e-06
367.5;0.786712174;4725.58075699;0.000133696
370.0;1.463949809;4713.93812874;0.000461016
372.5;2.139949705;4702.54272702;0.000980891
375.0;2.81509402;4690.83423136;0.001689848
377.5;3.489791217;4679.08389762;0.002584594
380.0;4.164468263;4667.19840384;0.003662002
382.5;4.83957517;4655.19654385;0.004919134
385.0;5.515701968;4643.07449882;0.006355506
387.5;6.192926387;4630.82958121;0.007963915
390.0;6.872094324;4618.46027518;0.009744185
392.5;7.553775891;4605.96450659;0.011694066
395.0;8.238585123;4593.34029724;0.013811487
397.5;8.927187261;4580.58563907;0.016094563
400.0;9.620307477;4567.69843722;0.0185416
402.5;10.318741383;4554.6765281;0.021151106
405.0;11.023367813;4541.5176758;0.0239218
407.5;11.735164509;4528.21957287;0.026852624
410.0;12.455227578;4514.7798396;0.029942766
412.5;13.184795901;4501.19602301;0.033191676
415.0;13.925282134;4487.46559539;0.036599093
417.5;14.678312617;4473.58595248;0.040165083
420.0;15.445779556;4459.55441152;0.043890074
422.5;16.229910412;4445.36820894;0.047774915
425.0;17.033361995;4431.0244982;0.051820942
427.5;17.859350919;4416.52034754;0.056030069
430.0;18.711839759;4401.85273831;0.06040491
432.5;19.595807893;4387.01856385;0.064948936
435.0;20.51766705;4372.01463003;0.069666707
437.5;21.485917787;4356.83765801;0.074564203
440.0;22.512251994;4341.48429155;0.079649309
442.5;23.613533893;4325.95111214;0.084932605
445.0;24.815702679;4310.23466985;0.090428689
447.5;26.16249992;4294.33154697;0.09615866
450.0;27.740114749;4278.23851193;0.102155433
452.5;29.592069454;4261.95290969;0.108470609
455.0;31.518961792;4245.47133501;0.115131854
457.5;33.516896947;4228.78967051;0.122147308
460.0;35.59507112;4211.90364243;0.129526065
462.5;37.764982699;4194.80882211;0.137278633
465.0;40.041367996;4177.50083681;0.145417331
467.5;42.443242865;4159.97537804;0.153956863
470.0;44.945634299;4142.22759591;0.162911758
472.5;47.530619709;4124.25216565;0.172289431
475.0;50.216713032;4106.04387956;0.18209812
477.5;53.028290122;4087.59753648;0.192349531
480.0;55.99896373;4068.90733619;0.203060011
482.5;59.114237702;4049.96758658;0.214249259
485.0;62.314637407;4030.77243466;0.22592642
487.5;65.612738784;4011.31481087;0.238097514
490.0;69.025159269;3991.58797224;0.250770612
492.5;72.598502473;3971.58492632;0.263957225
495.0;76.487947166;3951.29851686;0.277685714
497.5;80.836598365;3930.7231544;0.292007037
500.0;85.843902486;3909.8532163;0.306999029
502.5;90.722814048;3888.68245159;0.322703732
505.0;95.190533726;3867.19785329;0.339047602
507.5;99.345190886;3845.38660661;0.355960544
510.0;103.677818011;3823.23589042;0.373413304
512.5;108.538837169;3800.73685874;0.391452738
515.0;114.185628401;3777.88160537;0.410162769
517.5;120.142144736;3754.66182402;0.429619974
520.0;126.143707786;3731.06467502;0.449821811
522.5;132.300009062;3707.0755487;0.470761303
525.0;138.794194181;3682.68066708;0.492456366
527.5;145.658039727;3657.86628996;0.514938462
530.0;152.80252275;3632.61705298;0.538230101
532.5;160.264146463;3606.9160132;0.562349524
535.0;168.070700109;3580.74533539;0.587317264
537.5;176.25284669;3554.08608108;0.613157374
540.0;184.817666963;3526.91765355;0.639892166
542.5;193.784811991;3499.21786415;0.667545394
545.0;203.193100089;3470.96266224;0.6961412
547.5;213.060041667;3442.12594214;0.725704588
550.0;223.414728107;3412.67929397;0.756261688
552.5;234.298521482;3382.59164255;0.787839397
555.0;245.746427865;3351.82887417;0.820465673
557.5;257.799380373;3320.35341183;0.854169845
560.0;270.505201448;3288.12396253;0.888982669
562.5;283.918594757;3255.09444049;0.924936514
565.0;298.101774646;3221.21318754;0.962065612
567.5;313.125734836;3186.42284511;1.00040636
570.0;329.072245339;3150.65796997;1.039997673
572.5;346.036818096;3113.84488703;1.080881402
575.0;364.133120617;3075.89858254;1.123102873
577.5;383.496243402;3036.72156627;1.166711597
580.0;404.280747626;2996.20017234;1.211761975
582.5;426.68741695;2954.2006907;1.258314461
585.0;450.950584531;2910.56417109;1.306436916
587.5;477.371426758;2865.09922283;1.356206493
590.0;506.333730442;2817.57178397;1.407712146
592.5;538.336207763;2767.69020071;1.461058044
595.0;574.046408202;2715.0851508;1.516369079
597.5;614.398002297;2659.2755514;1.573798271
600.0;660.732663495;2599.61738642;1.633539113
602.5;715.08722033;2535.21773917;1.695845608
605.0;780.733125082;2464.7826866;1.761066788
607.5;863.232495432;2386.33420507;1.829708201
610.0;972.281784855;2296.62103067;1.902535179
612.5;1122.43881122;2189.58642729;1.980666431
615.0;1326.84623739;2049.60802214;2.06524843
617.329187023;1718.46731108;1718.46731108;2.149995512
