 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

400.0;7.89016133;4569.56206402;0.016290577
402.280835951;8.409540009;4557.88620302;0.018333801
404.555574283;8.933257161;4546.12721895;0.020486334
406.824171264;9.461981731;4534.28450762;0.022746918
409.086582527;9.996461617;4522.35746484;0.025114457
411.342763028;10.537539354;4510.34549919;0.027588024
413.592667008;11.086171881;4498.24799302;0.030166879
415.836247919;11.643455786;4486.06431518;0.032850489
418.073458348;12.210659982;4473.7938256;0.035638548
420.304249931;12.789268723;4461.43587578;0.038531011
422.528573235;13.381039199;4448.98980964;0.041528131
424.74637762;13.988080292;4436.45496473;0.04463051
426.957611062;14.612963169;4423.8306744;0.047839167
429.162219918;15.258878908;4411.11627012;0.05115562
431.360148613;15.929875254;4398.31114291;0.054582019
433.551339247;16.631219886;4385.41474665;0.05812131
435.735731011;17.369989732;4372.42646895;0.061777497
437.91325925;18.156083178;4359.34573092;0.065556022
440.083854074;19.004099495;4346.17201498;0.069464405
442.247438032;19.937213671;4332.90490867;0.073513346
444.403921879;20.996501645;4319.54427293;0.0777189
446.553195765;22.269900545;4306.09044447;0.082107655
448.695106037;23.748440685;4292.54424377;0.086719665
450.829503939;25.252331155;4278.90587603;0.091567156
452.956330711;26.779902684;4265.17465998;0.09664904
455.07552809;28.332589813;4251.35007131;0.101964334
457.18703683;29.911952521;4237.43154701;0.107512114
459.290796628;31.519753811;4223.41835758;0.113291541
461.38674593;33.157984745;4209.30975239;0.119301888
463.474821813;34.83148652;4195.1051761;0.12554265
465.554958658;36.5517018;4180.80410301;0.13201459
467.627084859;38.327913724;4166.40586467;0.138719946
469.691123834;40.171601622;4151.90988766;0.145662369
471.746992977;42.097782916;4137.31599849;0.152847312
473.794602085;44.126738786;4122.62386709;0.160282602
475.833850649;46.262319195;4107.83324253;0.167978483
477.864636111;48.451653175;4092.94407608;0.175939638
479.886882322;50.697463682;4077.95580425;0.184166842
481.900511493;53.008491699;4062.8677159;0.192661719
483.905441105;55.395561618;4047.67955311;0.201427002
485.9015831;57.862086238;4032.39088641;0.210466439
487.888847501;60.396926872;4017.00112396;0.219782274
489.867149599;63.010823644;4001.51004095;0.229376586
491.836399208;65.718477312;3985.91707803;0.239252909
493.796498508;68.531717571;3970.22198351;0.249416479
495.747343641;71.422584644;3954.42463799;0.259870833
497.688844668;74.394788009;3938.52433513;0.270617083
499.620909441;77.462404687;3922.52092132;0.281657471
501.5434387;80.631286438;3906.41387282;0.292995489
503.456329993;83.88458911;3890.20299635;0.304632891
505.359489196;87.234548025;3873.88778574;0.316570915
507.252815815;90.696145509;3857.46789251;0.328812256
509.136201689;94.252418828;3840.94314281;0.341359217
511.009547051;97.906915509;3824.31297073;0.35421226
512.872750078;101.675651962;3807.57718071;0.367372988
514.725700843;105.54652964;3790.73531955;0.38084305
516.568295238;109.522432766;3773.78714254;0.394622467
518.400427593;113.618268009;3756.73213891;0.408712321
520.221984528;117.820076297;3739.57014282;0.423113277
522.032859561;122.137033208;3722.30063737;0.437824921
523.832941363;126.57645724;3704.92332298;0.452847847
525.622114796;131.127778779;3687.43789152;0.468181423
527.400269853;135.807180794;3669.84380504;0.483825156
529.167288165;140.605171074;3652.14092113;0.499778585
530.92305604;145.530970581;3634.32858523;0.516040306
532.667454847;150.585601496;3616.40662681;0.532609552
534.40036536;155.768448975;3598.37450811;0.549484421
536.121668389;161.088144343;3580.23181049;0.566663546
537.831240222;166.539479266;3561.97823959;0.584144659
539.528959603;172.133365433;3543.61316141;0.601925772
541.214699501;177.864462128;3525.13622964;0.620004189
542.888335384;183.743098998;3506.54701302;0.63837737
544.549737341;189.765945931;3487.84486863;0.657042111
546.198776803;195.940647575;3469.02938702;0.67599536
547.835321172;202.26840608;3450.10007169;0.695233392
549.459237005;208.75127309;3431.0562353;0.7147526
551.070389486;215.396834908;3411.89733901;0.734548809
552.668639738;222.202934825;3392.62286018;0.754617751
554.253849701;229.179331366;3373.23203976;0.774954885
555.825876055;236.326684709;3353.72419114;0.795555263
557.384574808;243.648053243;3334.09866154;0.816413861
558.929800113;251.151948192;3314.35471837;0.837525255
560.461401498;258.839864902;3294.49149362;0.858883743
561.979227312;266.715956776;3274.5081374;0.880483445
563.483123402;274.788638156;3254.40378103;0.902318139
564.972930974;283.06169045;3234.17751314;0.924381295
566.448488885;291.539628737;3213.82834238;0.946666151
567.909633242;300.229204078;3193.35513954;0.969165679
569.35619621;309.138296778;3172.75677563;0.99187252
570.788005449;318.272864898;3152.03207402;1.014779017
572.204885054;327.639685366;3131.17977266;1.037877238
573.606655097;337.246291969;3110.19852036;1.061158956
574.993131211;347.100893929;3089.08687335;1.084615635
576.364124201;357.212591989;3067.84328886;1.108238426
577.71943955;367.590871895;3046.46610579;1.132018152
579.058877167;378.245494842;3024.95357842;1.15594531
580.382231208;389.187003017;3003.30384959;1.180010061
581.689289632;400.426752124;2981.51493657;1.204202222
582.979833724;411.976973647;2959.58472293;1.228511253
584.253637599;423.850864997;2937.51095085;1.252926243
585.510467641;436.062709439;2915.29121308;1.277435897
586.750081893;448.627900117;2892.92294483;1.302028521
587.972229416;461.562538511;2870.40341485;1.326692001
589.176649854;474.88450694;2847.7297116;1.351413791
590.363072456;488.61355876;2824.89873887;1.376180884
591.531215046;502.772205512;2801.90823803;1.400980454
592.680783062;517.382343397;2778.75166073;1.425796525
593.811467721;532.469573598;2755.42842398;1.450616513
594.922947146;548.06299396;2731.93361895;1.475424647
596.014882459;564.19365335;2708.26321349;1.500205189
597.086917239;580.894772321;2684.41303379;1.524941714
598.13867637;598.206143074;2660.37873053;1.549617108
599.169762663;616.168934771;2636.15586137;1.574213437
600.179756127;634.830472945;2611.73993049;1.598711941
601.168210855;654.244734665;2587.126477;1.623092898
602.134651727;674.469764853;2562.31125551;1.647335531
603.078572472;695.571440114;2537.29053766;1.671417903
603.999432021;717.623530471;2512.0610542;1.695316762
604.896650783;740.707743057;2486.62040618;1.719007356
605.769607114;764.913688379;2460.96760063;1.742463225
606.61763407;790.338627045;2435.10391222;1.765655943
607.440016713;817.086895332;2409.03287315;1.78855482
608.235989702;845.26366325;2382.76145297;1.811126521
609.004738597;874.970484459;2356.30172924;1.833334654
609.745404219;906.292197781;2329.67069295;1.855139329
610.457093467;939.283752225;2302.89184888;1.876496709
611.138897515;973.945018335;2275.99642935;1.897358634
611.78992322;1010.1963755;2249.02127978;1.917672559
612.409335673;1047.85632301;2222.00989102;1.937381914
612.996412457;1086.63597902;2195.00720127;1.956427213
613.550598068;1126.1501235;2168.05638862;1.974747885
614.0715512;1165.96443831;2141.1949231;1.992284825
614.559166443;1205.6495485;2114.44724124;2.008983019
615.013565289;1244.83955305;2087.82641896;2.024793699
615.435058722;1283.26082684;2061.32917446;2.039675519
615.824092896;1320.74437135;2034.93789609;2.053594694
616.181189658;1357.21214701;2008.62544706;2.066524255
616.506896308;1392.65869686;1982.34981867;2.07844295
616.801741869;1427.13216906;1956.05887065;2.089333837
617.06620522;1460.71854905;1929.69180666;2.09918296
617.300691849;1493.53363008;1903.16480487;2.107978144
617.505507436;1525.72252128;1876.37402253;2.115707581
617.680833187;1557.47248431;1849.17400146;2.122358477
617.826683945;1589.05232385;1821.31625816;2.12791505
617.942815912;1620.94151948;1792.36333499;2.132354671
618.02852682;1708.02406941;1708.02406941;2.135639173
