 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-12.225777196;4211.20264884;0.047947823
302.5;-11.658588368;4203.47440166;0.043506219
305.0;-11.094976208;4195.67007401;0.039310123
307.5;-10.534779486;4187.78884658;0.035354329
310.0;-9.977837385;4179.82844529;0.0316338
312.5;-9.42398929;4171.78916333;0.028143657
315.0;-8.873074519;4163.67019046;0.024879183
317.5;-8.324931926;4155.46927029;0.021835809
320.0;-7.779399617;4147.18631822;0.019009117
322.5;-7.236314652;4138.82083351;0.016394828
325.0;-6.695512608;4130.37054108;0.013988807
327.5;-6.156827217;4121.83478765;0.01178705
330.0;-5.620089983;4113.21311464;0.009785687
332.5;-5.085129734;4104.50410383;0.007980975
335.0;-4.551772099;4095.70597899;0.006369297
337.5;-4.019839033;4086.81809506;0.004947159
340.0;-3.489148263;4077.83964561;0.003711186
342.5;-2.959512665;4068.76907429;0.002658121
345.0;-2.430739564;4059.60470866;0.001784821
347.5;-1.902630022;4050.34561491;0.001088259
350.0;-1.374978018;4040.99073199;0.000565517
352.5;-0.847569533;4031.53881615;0.00021379
355.0;-0.320181522;4021.98798646;3.0382e-05
357.5;0.207419219;4012.33689648;1.2705e-05
360.0;0.735477376;4002.58427985;0.00015828
362.5;1.264250495;3992.72877885;0.000464736
365.0;1.794010676;3982.76895443;0.000929813
367.5;2.325046481;3972.7031629;0.001551357
370.0;2.857665076;3962.52958642;0.002327327
372.5;3.392194726;3952.2466785;0.003255793
375.0;3.928987691;3941.85283253;0.004334943
377.5;4.468423593;3931.34637346;0.005563079
380.0;5.010913374;3920.72556186;0.006938627
382.5;5.556903948;3909.98859682;0.008460138
385.0;6.106883771;3899.13361814;0.010126295
387.5;6.661389394;3888.15870843;0.011935922
390.0;7.22101351;3877.06187242;0.013887987
392.5;7.786414616;3865.84105404;0.015981619
395.0;8.358328895;3854.49418995;0.018216114
397.5;8.937584933;3843.01915415;0.020590956
400.0;9.525122116;3831.41375445;0.023105831
402.5;10.122013935;3819.67573135;0.025760649
405.0;10.729497867;3807.80275651;0.028555579
407.5;11.349014275;3795.792431;0.031491072
410.0;11.982257865;3783.64228318;0.034567917
412.5;12.63124705;3771.3497665;0.037787288
415.0;13.298419451;3758.91225707;0.04115082
417.5;13.986766644;3746.32705111;0.044660703
420.0;14.700030229;3733.59138457;0.048319815
422.5;15.442995054;3720.70245643;0.052131891
425.0;16.221950778;3707.6573584;0.056101783
427.5;17.045449919;3694.45310675;0.060235835
430.0;17.925640399;3681.08665398;0.064542463
432.5;18.880811183;3667.55490814;0.069033124
435.0;19.940853094;3653.85477301;0.073724062
437.5;21.161168944;3639.98323806;0.078639906
440.0;22.670249643;3625.93771236;0.083822761
442.5;24.758290085;3611.71690034;0.089361717
445.0;26.940362025;3597.31907771;0.09533421
447.5;29.060358281;3582.74015597;0.101725445
450.0;31.120944773;3567.97568911;0.108515307
452.5;33.124613282;3553.02138226;0.115684617
455.0;35.073681753;3537.872648;0.123215073
457.5;37.008620607;3522.52445372;0.131091049
460.0;39.035582146;3506.9721307;0.139314805
462.5;41.182668989;3491.21169464;0.147900424
465.0;43.484009969;3475.23857446;0.156866954
467.5;45.991990534;3459.04829952;0.166240734
470.0;48.758412843;3442.63725556;0.176058841
472.5;51.630349368;3426.00058296;0.186347706
475.0;54.581061833;3409.13301733;0.197112452
477.5;57.623705956;3392.0290405;0.208358713
480.0;60.774477533;3374.68257729;0.220094309
482.5;64.052168631;3357.08808073;0.232329598
485.0;67.483321843;3339.23905317;0.245078204
487.5;71.104541549;3321.12978307;0.258358403
490.0;74.900632945;3302.75360632;0.272191332
492.5;78.839652301;3284.10394851;0.286589881
