 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-14.790883628;5003.60358586;0.059360882
302.5;-14.149228228;4994.92240303;0.054232143
305.0;-13.511852416;4986.16566118;0.049368984
307.5;-12.878583468;4977.33042787;0.044765865
310.0;-12.249249906;4968.41793249;0.040417425
312.5;-11.623681274;4959.426519;0.036318469
315.0;-11.001707711;4950.35465164;0.032463968
317.5;-10.383159824;4941.20320764;0.028849051
320.0;-9.767868351;4931.96978906;0.025469
322.5;-9.15566378;4922.65366753;0.022319247
325.0;-8.546376165;4913.25523599;0.019395367
327.5;-7.939834725;4903.77210155;0.016693077
330.0;-7.335867475;4894.20355597;0.014208228
332.5;-6.734300935;4884.54973148;0.011936807
335.0;-6.134959718;4874.8085968;0.009874927
337.5;-5.537666061;4864.97898671;0.008018829
340.0;-4.942239457;4855.06078827;0.006364876
342.5;-4.348496178;4845.05280525;0.004909551
345.0;-3.756248702;4834.95304299;0.003649455
347.5;-3.165305201;4824.76111881;0.002581303
350.0;-2.575468953;4814.47643251;0.001701925
352.5;-1.986537654;4804.09696517;0.00100826
355.0;-1.398302672;4793.62154357;0.000497359
357.5;-0.810548287;4783.0494681;0.000166378
360.0;-0.22305081;4772.37981782;1.2581e-05
362.5;0.364422479;4761.61061441;3.334e-05
365.0;0.952114339;4750.74061557;0.00022613
367.5;1.540278834;4739.76884736;0.00058853
370.0;2.12918274;4728.69421395;0.001118227
372.5;2.719107085;4717.51516963;0.001813011
375.0;3.310348948;4706.22990227;0.002670778
377.5;3.903223483;4694.83720048;0.003689534
380.0;4.49806623;4683.33576843;0.004867389
382.5;5.095235793;4671.72422134;0.006202566
385.0;5.695116938;4660.0010189;0.007693404
387.5;6.298124189;4648.1642423;0.009338354
390.0;6.904706072;4636.21233657;0.011135991
392.5;7.51534998;4624.14374175;0.013085016
395.0;8.130588127;4611.95682489;0.015184261
397.5;8.751004499;4599.64988484;0.017432697
400.0;9.37724326;4587.22115585;0.019829446
402.5;10.010018926;4574.66880604;0.022373785
405.0;10.65012878;4561.99083316;0.025065165
407.5;11.298468189;4549.18528302;0.027903223
410.0;11.956049656;4536.25020738;0.030887802
412.5;12.624026837;4523.1835935;0.034018973
415.0;13.303725159;4509.98336571;0.037297062
417.5;13.996681409;4496.64738621;0.040722685
420.0;14.704695745;4483.17345559;0.044296795
422.5;15.429901204;4469.55931305;0.048020729
425.0;16.174858506;4455.80263683;0.051896285
427.5;16.94268866;4441.90104459;0.055925811
430.0;17.737261945;4427.85209431;0.060112325
432.5;18.563479548;4413.65328611;0.064459689
435.0;19.427704598;4399.30206541;0.068972834
437.5;20.33845691;4384.79582885;0.07365811
440.0;21.307597733;4370.13193457;0.078523798
442.5;22.352506914;4355.30772081;0.083580947
445.0;23.500506206;4340.32054071;0.088844821
447.5;24.79923319;4325.16783255;0.094337693
450.0;26.347176249;4309.8472833;0.100095224
452.5;28.423158822;4294.35733391;0.106186205
455.0;30.838667943;4278.6973181;0.112714177
457.5;33.187667435;4262.8643481;0.119684465
460.0;35.474491575;4246.85480653;0.127077356
462.5;37.70162264;4230.66485436;0.134873975
465.0;39.871386857;4214.2904906;0.143056275
467.5;41.985718856;4197.72753902;0.151606984
470.0;44.101816486;4180.97171822;0.160512518
472.5;46.313551953;4164.01918449;0.16977738
475.0;48.643815933;4146.86640633;0.179414814
