 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Hexane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

500.0;1939.45107286;3505.10757186;2.839255342
500.78282825;2016.03070849;3440.63182039;2.877880531
501.495128805;2091.37299563;3376.50214724;2.913550851
502.137693381;2165.41456711;3312.61179331;2.946152167
502.711291994;2238.21958082;3248.81462459;2.975587961
503.216589516;2309.96292361;3184.91337188;3.001774825
503.65406474;2380.93600707;3120.62516464;3.024637243
504.023909319;2451.58949809;3055.52935097;3.044100898
504.325879246;2522.68310378;2988.90092678;3.060083331
504.558988157;2595.82504615;2919.15322918;3.072476266
504.720652249;2676.85331686;2840.53591418;3.081098853
504.761572898;2759.10530692;2759.10530692;3.083285002
