 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Hexane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;11.503513879;7567.27152257;0.012771405
302.5;12.829784368;7543.48229479;0.015769503
305.0;14.162329626;7518.92058124;0.019063623
307.5;15.503007315;7494.21700772;0.022649659
310.0;16.853882355;7469.20879906;0.026524025
312.5;18.217259712;7443.92661502;0.030683659
315.0;19.595739856;7418.3585747;0.035126059
317.5;20.992288899;7392.50005066;0.039849333
320.0;22.410329852;7366.34553035;0.044852252
322.5;23.853863947;7339.88924228;0.050134335
325.0;25.327634981;7313.12517618;0.055695948
327.5;26.837357006;7286.04712668;0.061538437
330.0;28.390038014;7258.64919514;0.067664319
332.5;29.994455081;7230.92489779;0.074077525
335.0;31.661873307;7202.86732056;0.080783758
337.5;33.407191686;7174.46926736;0.087790999
340.0;35.250857887;7145.72350128;0.095110281
342.5;37.222306746;7116.6233868;0.102756908
345.0;39.366720993;7087.16128782;0.110752527
347.5;41.760152776;7057.3293655;0.119129
350.0;44.550201337;7027.12081881;0.127936793
352.5;47.957396996;6996.53007102;0.137263274
355.0;51.59316913;6965.54981145;0.147180777
357.5;55.38338578;6934.17152216;0.157707531
360.0;59.351965699;6902.38680175;0.168861641
362.5;63.530270267;6870.18549649;0.180664671
365.0;67.960634012;6837.55896446;0.193142838
367.5;72.645579599;6804.49714026;0.20632657
370.0;77.490882362;6770.98924506;0.220233096
372.5;82.529424998;6737.02449816;0.234874572
375.0;87.814805162;6702.59059892;0.250269958
377.5;93.418893631;6667.6766144;0.266447599
380.0;99.306337225;6632.26970537;0.283440022
382.5;105.475766083;6596.35746074;0.301271325
385.0;111.994799664;6559.92608328;0.319970783
387.5;118.911500369;6522.96190704;0.339576813
390.0;126.040155336;6485.45040937;0.360114191
392.5;133.37916004;6447.37407881;0.381589954
395.0;141.007222851;6408.71590511;0.404016093
397.5;149.476932804;6369.45971773;0.427443954
400.0;159.474604742;6329.59315259;0.452012708
402.5;170.375616691;6289.1075517;0.477910248
405.0;179.750822329;6247.97464227;0.505016186
407.5;188.222466707;6206.15789719;0.533128512
410.0;197.529452485;6163.62851484;0.562212803
412.5;208.689622278;6120.36931166;0.592422976
415.0;220.929477986;6076.36565978;0.623952595
417.5;233.143611361;6031.5879476;0.656803746
420.0;245.847605545;5986.00274525;0.690960728
422.5;259.4044733;5939.57938929;0.726473879
425.0;273.61490731;5892.28508606;0.763394763
427.5;288.507974048;5844.08278645;0.801755912
430.0;304.186691933;5794.93292761;0.841596006
432.5;320.672615119;5744.79304084;0.882958794
435.0;338.028892429;5693.61676071;0.925886594
437.5;356.319304642;5641.3540191;0.97042362
440.0;375.604847467;5587.94985061;1.016616319
442.5;395.962015013;5533.34373992;1.064513037
445.0;417.477930026;5477.46994169;1.114164484
447.5;440.250919248;5420.25529359;1.165624011
450.0;464.392223501;5361.61883428;1.218948057
452.5;490.028365368;5301.47048688;1.274196619
455.0;517.305052491;5239.70971558;1.331433789
457.5;546.392858855;5176.2226672;1.390728401
460.0;577.495618405;5110.88118618;1.452154888
462.5;610.841449691;5043.53909284;1.51579426
465.0;646.711279457;4974.02851785;1.581735036
467.5;685.436034246;4902.15532679;1.650075096
470.0;727.424473542;4827.69285709;1.720923155
472.5;773.168919536;4750.37356758;1.794401308
475.0;823.285913917;4669.87884177;1.870647988
477.5;878.557111432;4585.82248204;1.949821603
480.0;939.976922821;4497.73383327;2.032107479
482.5;1008.85408907;4405.02044443;2.117721465
485.0;1086.91992874;4306.93065565;2.206922569
487.5;1176.4946806;4202.4815405;2.300022932
490.0;1280.70367921;4090.3444164;2.397401123
492.5;1403.64383099;3968.64353569;2.499510923
495.0;1550.3573205;3834.54190305;2.606869816
497.5;1726.50268447;3683.25122627;2.719994372
500.0;1939.45107286;3505.10757186;2.839255342
502.5;2210.50960596;3273.21653758;2.964708684
504.761572898;2759.10530692;2759.10530692;3.083285002
