 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           n-Hexane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;11.511238614;7592.49038327;0.014489324
302.5;12.698722025;7569.00442815;0.017473228
305.0;13.895924781;7545.27158034;0.020722663
307.5;15.104474492;7521.28782834;0.024235321
310.0;16.326198042;7497.04903364;0.028009282
312.5;17.563163067;7472.55092267;0.032043045
315.0;18.817730778;7447.78912016;0.036335568
317.5;20.092624187;7422.75921312;0.040886316
320.0;21.391017595;7397.45656544;0.045695331
322.5;22.716656059;7371.87637647;0.050763307
325.0;24.074018098;7346.01368134;0.0560917
327.5;25.468542397;7319.86334308;0.061682865
330.0;26.9069522;7293.42004524;0.067540244
332.5;28.397735533;7266.67828587;0.073668624
335.0;29.951876638;7239.63244161;0.080074484
337.5;31.58403769;7212.27723024;0.08676653
340.0;33.31455811;7184.60685033;0.093756481
342.5;35.173111704;7156.6152448;0.101060341
345.0;37.206077555;7128.29627032;0.108700591
347.5;39.493625587;7099.64404634;0.1167104
350.0;42.19905641;7070.6538318;0.125143088
352.5;45.788956244;7041.32142672;0.13410073
355.0;50.372567805;7011.64539218;0.143778321
357.5;54.82066114;6981.62035432;0.154218174
360.0;59.128737337;6951.23853046;0.165380505
362.5;63.30341595;6920.49064602;0.177227597
365.0;67.35087391;6889.3675017;0.189723705
367.5;71.319744364;6857.86040654;0.202836211
370.0;75.453802959;6825.95964644;0.21655999
372.5;79.834812955;6793.6573626;0.230918303
375.0;84.536874973;6760.94557196;0.245944196
377.5;89.675693982;6727.81570372;0.261684288
380.0;95.349376877;6694.2614057;0.278204786
382.5;101.224668309;6660.27327899;0.295548815
385.0;107.262863409;6625.8420249;0.313723982
387.5;113.493611591;6590.95608758;0.332739748
390.0;119.953026833;6555.60545239;0.352609777
392.5;126.684933598;6519.77803716;0.373352603
395.0;133.752492712;6483.4633787;0.394993417
397.5;141.225311789;6446.64937251;0.417566532
400.0;149.002656692;6409.32447125;0.441103271
402.5;157.092159723;6371.47567124;0.465623063
405.0;165.548510753;6333.08899142;0.49115086
407.5;174.343919887;6294.15084568;0.517711609
410.0;183.5325683;6254.64642105;0.545329171
412.5;193.132905287;6214.56013328;0.57403342
415.0;203.119104612;6173.87593114;0.603848324
417.5;213.552328906;6132.57700937;0.634800751
420.0;224.405203691;6090.64546178;0.666916849
422.5;235.739826441;6048.06223134;0.700222956
425.0;247.534205096;6004.80757608;0.734746367
427.5;259.844467906;5960.86054773;0.770513477
430.0;272.657905421;5916.19900408;0.807551483
432.5;286.027688009;5870.79946715;0.84588768
435.0;299.954582147;5824.6369656;0.885548922
437.5;314.472891034;5777.68505452;0.926563322
440.0;329.615004779;5729.91545105;0.968957862
442.5;345.395403255;5681.29804197;1.012760456
445.0;361.855305502;5631.80060797;1.057999172
447.5;379.02950907;5581.3885202;1.104701716
450.0;396.947606061;5530.02475021;1.152896218
452.5;415.646655898;5477.6695655;1.202611015
455.0;435.171070563;5424.27969388;1.253874506
457.5;455.568086684;5369.80816858;1.306715134
460.0;476.885071129;5314.20476143;1.361161508
462.5;499.174920418;5257.41381184;1.417242383
465.0;522.496114781;5199.3751175;1.474986638
467.5;546.913195834;5140.02215578;1.534423277
470.0;572.497697652;5079.28217246;1.595581425
472.5;599.329582536;5017.07381509;1.658490341
475.0;627.495943029;4953.30738101;1.723179427
477.5;657.092579921;4887.88232302;1.789678165
480.0;688.232927532;4820.68542609;1.858016156
482.5;721.046043037;4751.58860427;1.928223212
485.0;755.668572133;4680.44594815;2.000329192
487.5;792.209206291;4606.94174349;2.07427673
490.0;831.046609471;4531.32659262;2.15035814
492.5;872.214623727;4452.92846705;2.228341547
495.0;916.045789047;4371.62656592;2.308344743
497.5;962.85874246;4287.09868467;2.390398272
500.0;1013.04378617;4198.95258329;2.474532821
502.5;1067.08502013;4106.70195903;2.560779222
505.0;1125.5911075;4009.73191305;2.649168425
507.5;1189.36208443;3907.24488405;2.739731544
510.0;1259.46179189;3798.17115531;2.83249982
512.5;1337.38023064;3681.01956198;2.927504648
515.0;1425.30885502;3553.59436082;3.024777582
517.5;1526.73090475;3412.41237801;3.124350308
520.0;1647.81497261;3251.29798342;3.226254681
522.5;1801.79629146;3057.01649999;3.330522699
525.0;2031.97043013;2786.26685318;3.437186535
526.36273115;2397.94178083;2397.94178083;3.496348088
