 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Hexane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

500.0;1092.81257103;4091.76231366;2.587163114
501.499474871;1129.33508044;4031.52412055;2.641334027
502.950569391;1166.56029421;3971.25820502;2.69453187
504.352918347;1204.48440029;3910.977766;2.746672979
505.70616503;1243.11072113;3850.69672922;2.797674607
507.009958034;1282.44126005;3790.42727883;2.847454935
508.263951043;1322.47435312;3730.18278509;2.895933269
509.467805259;1363.21131612;3669.97539198;2.943030286
510.621187297;1404.65624059;3609.81636112;2.988668103
511.723767357;1446.8098288;3549.71778395;3.032770377
512.775221335;1489.67384035;3489.68865991;3.075262547
513.775228745;1533.25127118;3429.73919508;3.116071904
514.723472707;1577.54649242;3369.87667934;3.155127738
515.6196378;1622.56545411;3310.1068349;3.192361402
516.46340849;1668.31610256;3250.43480981;3.227706383
517.254467844;1714.80899359;3190.85938218;3.261098391
517.992493038;1762.05818515;3131.38016411;3.292475297
518.677154028;1810.08269141;3071.98617248;3.321777203
519.308105768;1858.90849632;3012.66401941;3.348946234
519.88498353;1908.57208786;2953.38632157;3.373926439
520.407390647;1959.12614704;2894.1100684;3.396663378
520.874882607;2010.64998895;2834.77200871;3.417103518
521.286943617;2063.27085967;2775.25603813;3.43519331
521.642936207;2117.17739231;2715.39156682;3.450877051
521.942043294;2172.71406904;2654.82569494;3.464094394
522.183099107;2230.64399069;2592.86248567;3.474772968
522.364208354;2292.8546278;2527.60808684;3.48281152
522.481585084;2409.38455835;2409.38455835;3.488028336
