 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2, H2S(4C) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     4C, 4C 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

1.05160948;0.001;0.00460192
1.055997274;0.002;0.009163999
1.060382238;0.003;0.01368561
1.06476217;0.004;0.018166299
1.069136121;0.005;0.022605929
1.073503376;0.006;0.027004556
1.077863523;0.007;0.031362482
1.082216422;0.008;0.035680215
1.086555344;0.009;0.039958471
1.090899955;0.01;0.044198158
1.095231922;0.011;0.048400285
1.09955804;0.012;0.052565489
1.103878201;0.013;0.05669421
1.1081923;0.014;0.060786825
1.112500139;0.015;0.064843653
1.116801496;0.016;0.06886499
1.121096345;0.017;0.072851274
1.125384758;0.018;0.076803
1.129666826;0.019;0.080720668
1.133942658;0.02;0.084604783
1.138212371;0.021;0.088455843
1.142476002;0.022;0.092274285
1.146733561;0.023;0.096060517
1.15098494;0.024;0.099814935
1.155230402;0.025;0.103537929
1.159469724;0.026;0.107229879
1.16370299;0.027;0.110891176
1.167930233;0.028;0.114522214
1.172142062;0.029;0.118123377
1.176357939;0.03;0.12169505
1.180567961;0.031;0.125237604
1.184772125;0.032;0.128751403
1.188970455;0.033;0.1322368
1.193162974;0.034;0.135694146
1.197349707;0.035;0.139123782
1.201530676;0.036;0.142526046
1.205705781;0.037;0.145901271
1.209875368;0.038;0.149249788
1.214039192;0.039;0.152571919
1.218197358;0.04;0.155867981
1.222349898;0.041;0.159138217
1.226495224;0.042;0.162383151
1.230635479;0.043;0.165602869
1.234770088;0.044;0.168797742
1.23889906;0.045;0.171968062
1.243022394;0.046;0.17511412
1.247140088;0.047;0.178236199
1.251252142;0.048;0.18133458
1.255358555;0.049;0.184409539
1.259461148;0.05;0.187461259
1.263556348;0.051;0.190490183
1.267645832;0.052;0.193496487
1.271729671;0.053;0.19648043
1.275807863;0.054;0.199442268
1.279880406;0.055;0.202382253
1.283947301;0.056;0.205300632
1.287998939;0.057;0.208197647
1.292054921;0.058;0.211073544
1.29610528;0.059;0.213928558
1.300150011;0.06;0.216762921
1.304189115;0.061;0.219576864
1.30822259;0.062;0.222370613
1.312250358;0.063;0.225144392
1.316272585;0.064;0.227898421
1.320289156;0.065;0.230632917
1.324300095;0.066;0.233348093
1.328305404;0.067;0.236044161
1.332305083;0.068;0.238721327
1.336299133;0.069;0.241379797
1.340287552;0.07;0.244019773
1.344270341;0.071;0.246641453
1.348247498;0.072;0.249245034
1.352213034;0.073;0.251830708
1.356183857;0.074;0.254398667
1.360142978;0.075;0.256949096
1.364096879;0.076;0.259482186
1.368044972;0.077;0.261998116
1.371987404;0.078;0.264497066
1.375924209;0.079;0.266979215
1.379855394;0.08;0.269444737
1.383780969;0.081;0.271893806
1.387700944;0.082;0.274326593
1.391615327;0.083;0.276743266
1.395524124;0.084;0.27914399
1.399427342;0.085;0.28152893
1.403324987;0.086;0.283898246
1.407205057;0.087;0.286252214
1.411093985;0.088;0.288590639
1.414975384;0.089;0.290914035
1.418851158;0.09;0.293222432
1.422721431;0.091;0.295515982
1.426586207;0.092;0.297794834
1.430445493;0.093;0.300059134
1.434299294;0.094;0.302309029
1.43814762;0.095;0.30454466
1.441990478;0.096;0.306766169
1.44582788;0.097;0.308973696
1.449659839;0.098;0.311167379
1.453486367;0.099;0.313347354
1.45730718;0.1;0.315513753
1.461123141;0.101;0.317666716
1.464933382;0.102;0.319806367
1.468738251;0.103;0.321932836
1.472537724;0.104;0.324046251
1.476331808;0.105;0.326146738
1.480113764;0.106;0.32823442
1.483902973;0.107;0.330309423
1.487680148;0.108;0.332371865
1.491451936;0.109;0.334421867
1.495218348;0.11;0.336459547
1.49897939;0.111;0.338485023
1.502735068;0.112;0.340498408
1.506485255;0.113;0.342499818
1.510230298;0.114;0.344489367
1.513969924;0.115;0.346467165
1.517704224;0.116;0.348433322
1.521423545;0.117;0.350387941
1.52514739;0.118;0.352331138
1.528865934;0.119;0.354263013
1.532579165;0.12;0.356183669
1.536287079;0.121;0.35809321
1.539989689;0.122;0.359991739
1.543687012;0.123;0.361879358
1.547379069;0.124;0.363756167
1.551065664;0.125;0.365622264
1.554747393;0.126;0.367477752
1.558423722;0.127;0.369322723
1.562094816;0.128;0.371157271
1.565760673;0.129;0.37298149
1.569421297;0.13;0.374795471
1.573076697;0.131;0.376599306
1.576726878;0.132;0.378393085
1.580371843;0.133;0.380176896
1.584011595;0.134;0.381950829
1.587646136;0.135;0.383714973
1.591275473;0.136;0.385469413
1.594899356;0.137;0.387214235
1.59851855;0.138;0.388949532
1.602132373;0.139;0.39067538
1.605735505;0.14;0.392391863
1.609343743;0.141;0.394099067
1.612941399;0.142;0.395797068
1.616533874;0.143;0.397485946
1.620121182;0.144;0.399165778
1.623693511;0.145;0.400836636
1.627270552;0.146;0.402498614
1.630842531;0.147;0.404151773
1.634409384;0.148;0.405796193
1.637970819;0.149;0.407431947
1.641527688;0.15;0.409059117
1.645079195;0.151;0.41067777
1.64862565;0.152;0.412287981
1.652167052;0.153;0.413889822
1.655703401;0.154;0.415483363
1.659234689;0.155;0.417068675
1.662760899;0.156;0.418645827
1.666282032;0.157;0.420214885
1.669798109;0.158;0.421775917
1.673309157;0.159;0.42332899
1.676815209;0.16;0.424874172
1.680315996;0.161;0.426411524
1.683812344;0.162;0.42794112
1.687303458;0.163;0.429463017
1.690789574;0.164;0.430977279
1.694270685;0.165;0.432483968
1.697746802;0.166;0.433983145
1.70121794;0.167;0.435474873
1.704684115;0.168;0.436959211
1.708145345;0.169;0.438436223
1.711601648;0.17;0.439905967
1.715053045;0.171;0.441368504
1.718499557;0.172;0.442823895
1.721940923;0.173;0.444272194
1.725377878;0.174;0.445713465
1.728806005;0.175;0.447147756
1.732226064;0.176;0.448575117
1.735647329;0.177;0.449995612
1.739063632;0.178;0.45140929
1.742474991;0.179;0.452816204
1.745881448;0.18;0.45421641
1.749283055;0.181;0.455609963
1.752679854;0.182;0.456996918
1.756071868;0.183;0.458377331
1.759459108;0.184;0.459751256
1.762841359;0.185;0.461118744
1.766219196;0.186;0.462479852
1.769592101;0.187;0.46383462
1.772960234;0.188;0.465183098
1.776323576;0.189;0.466525328
1.779682088;0.19;0.467861356
1.783035723;0.191;0.469191226
1.786384467;0.192;0.470514989
1.789728358;0.193;0.471832694
1.793067469;0.194;0.473144392
1.796401902;0.195;0.474450134
1.799731752;0.196;0.475749969
1.80305688;0.197;0.477043938
1.806377528;0.198;0.478332088
1.809693351;0.199;0.479614457
1.813004349;0.2;0.480891087
1.816310494;0.201;0.482162021
1.819611865;0.202;0.483427305
1.822908565;0.203;0.484686986
1.826200677;0.204;0.485941109
1.829488252;0.205;0.487189718
1.832771285;0.206;0.488432856
1.836049707;0.207;0.489670558
1.839323109;0.208;0.490902858
1.842592188;0.209;0.492129799
1.845856552;0.21;0.493351414
1.84911409;0.211;0.494567747
1.852360694;0.212;0.495778833
1.855610408;0.213;0.496984731
1.858855622;0.214;0.498185476
1.862096319;0.215;0.499381104
1.865332463;0.216;0.50057165
1.868564037;0.217;0.50175715
1.871791034;0.218;0.502937638
1.875013446;0.219;0.504113149
1.878231077;0.22;0.505283717
1.881444433;0.221;0.506449385
1.884653072;0.222;0.507610188
1.887857157;0.223;0.508766167
1.891056725;0.224;0.50991736
1.894251812;0.225;0.511063803
1.897442447;0.226;0.512205527
1.900628653;0.227;0.513342564
1.903810429;0.228;0.514474943
1.906987752;0.229;0.515602694
1.91016058;0.23;0.516725851
1.913328531;0.231;0.517844444
1.916492263;0.232;0.518958515
1.919651836;0.233;0.520068101
1.922806702;0.234;0.52117323
1.925957247;0.235;0.52227394
1.929103524;0.236;0.52337026
1.932245475;0.237;0.524462217
1.935383008;0.238;0.525549836
1.938516043;0.239;0.526633144
1.941644536;0.24;0.527712171
1.944768504;0.241;0.52878695
1.947887631;0.242;0.529857517
1.951003318;0.243;0.530923924
1.954114682;0.244;0.531986199
1.957221916;0.245;0.533044377
1.960325047;0.246;0.534098481
1.963423898;0.247;0.535148526
1.966517378;0.248;0.536194525
1.96959811;0.249;0.537236485
1.972682792;0.25;0.538274447
1.975763;0.251;0.539308432
1.978838872;0.252;0.540338484
1.981910547;0.253;0.541364646
1.984977868;0.254;0.542386959
1.988041589;0.255;0.543405466
1.991101074;0.256;0.544420188
1.994156467;0.257;0.545431136
1.997207661;0.258;0.546438317
2.000254514;0.259;0.54744174
2.003296863;0.26;0.548441419
2.006334574;0.261;0.54943738
2.009367711;0.262;0.55042966
2.012396474;0.263;0.5514183
2.015421121;0.264;0.552403339
2.018441592;0.265;0.553384811
2.021459011;0.266;0.554362757
2.024472485;0.267;0.555337191
2.027482102;0.268;0.556308133
2.030487687;0.269;0.557275596
2.033489095;0.27;0.558239591
2.036486244;0.271;0.559200129
2.039479053;0.272;0.560157225
2.04246751;0.273;0.561110901
2.045451706;0.274;0.562061193
2.048431811;0.275;0.56300814
2.05140764;0.276;0.563951779
2.054380463;0.277;0.56489215
2.05734914;0.278;0.565829259
2.06031378;0.279;0.566763114
2.063274097;0.28;0.567693717
2.066229847;0.281;0.568621075
2.069181054;0.282;0.569545207
2.072127946;0.283;0.570466146
2.075070837;0.284;0.571383925
2.078000829;0.285;0.572298558
2.080944934;0.286;0.573210156
2.083867949;0.287;0.57411865
2.086796292;0.288;0.575024105
2.08972031;0.289;0.57592651
2.092639993;0.29;0.576825876
2.095555295;0.291;0.577722216
2.098466408;0.292;0.578615556
2.101373605;0.293;0.579505929
2.104277138;0.294;0.580393364
2.107177202;0.295;0.581277889
2.110073899;0.296;0.582159524
2.112967152;0.297;0.583038286
2.115856353;0.298;0.583914186
2.118742512;0.299;0.584787255
2.121624366;0.3;0.585657503
2.12450194;0.301;0.586524941
2.127375227;0.302;0.587389568
2.130244223;0.303;0.588251383
2.133108987;0.304;0.589110391
2.135969632;0.305;0.589966612
2.138826318;0.306;0.590820079
2.141679245;0.307;0.591670835
2.144528607;0.308;0.592518924
2.147374113;0.309;0.593364383
2.150217143;0.31;0.59420726
2.153056756;0.311;0.595047567
2.155893176;0.312;0.595885305
2.158726318;0.313;0.596720459
2.161555898;0.314;0.597553016
2.164381491;0.315;0.598382968
2.16720263;0.316;0.599210318
2.170019178;0.317;0.60003509
2.17283127;0.318;0.600857314
2.175639194;0.319;0.60167702
2.17844289;0.32;0.602494232
2.181243892;0.321;0.603308985
2.184041104;0.322;0.604121288
2.186834732;0.323;0.604931162
2.189624779;0.324;0.605738627
2.192409068;0.325;0.606543702
2.195184969;0.326;0.607346397
2.1979646;0.327;0.608146747
2.200741104;0.328;0.608944759
2.203514333;0.329;0.609740442
2.206284091;0.33;0.610533801
2.209049807;0.331;0.611324836
2.2118126;0.332;0.612113571
2.214571447;0.333;0.612900019
2.217326823;0.334;0.613684211
2.220078753;0.335;0.614466167
2.222827208;0.336;0.615245897
2.225572065;0.337;0.616023399
2.228313132;0.338;0.616798665
2.231050183;0.339;0.617571691
2.233783009;0.34;0.618342481
2.236511525;0.341;0.61911105
2.239235747;0.342;0.619877437
2.241957254;0.343;0.620641697
2.244675839;0.344;0.621403873
2.247392212;0.345;0.622164003
2.250106352;0.346;0.622922106
2.252817582;0.347;0.623678164
2.255525174;0.348;0.624432156
2.258228678;0.349;0.625184069
2.260928026;0.35;0.625933902
2.263623531;0.351;0.626681667
2.266315016;0.352;0.627427386
2.26900412;0.353;0.628171093
2.271689756;0.354;0.628912801
2.274371722;0.355;0.629652532
2.277050196;0.356;0.630390318
2.279725587;0.357;0.631126187
2.282398273;0.358;0.631860158
