 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2, H2S(4C) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     4C, 4C 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

1.924229185;0.001;0.004921783
1.933793081;0.002;0.009794964
1.943359846;0.003;0.01462045
1.952922575;0.004;0.019398466
1.962477107;0.005;0.024128703
1.972022316;0.006;0.028811194
1.981558997;0.007;0.033446361
1.991085065;0.008;0.038034572
2.000599822;0.009;0.042576125
2.010102378;0.01;0.047071406
2.019592156;0.011;0.05152091
2.029059538;0.012;0.055925177
2.038523406;0.013;0.06028478
2.047973692;0.014;0.064600333
2.057410373;0.015;0.068872502
2.06683332;0.016;0.073101995
2.076243648;0.017;0.077289559
2.085641078;0.018;0.081435975
2.095026477;0.019;0.085542059
2.104398896;0.02;0.08960866
2.113760605;0.021;0.093636618
2.12311196;0.022;0.097626555
2.132452938;0.023;0.101579003
2.141783476;0.024;0.105494467
2.151093749;0.025;0.10937343
2.160403519;0.026;0.113216358
2.169702641;0.027;0.11702369
2.178990701;0.028;0.120795848
2.188267466;0.029;0.124533233
2.197532622;0.03;0.12823623
2.206785863;0.031;0.131905218
2.216027129;0.032;0.135540647
2.225256456;0.033;0.139142986
2.234468721;0.034;0.1427127
2.243677261;0.035;0.146250242
2.252869385;0.036;0.149756074
2.262049442;0.037;0.153230639
2.271207941;0.038;0.156674375
2.28036488;0.039;0.160087736
2.289510497;0.04;0.163471142
2.298644773;0.041;0.166825018
2.307767727;0.042;0.170149756
2.316879347;0.043;0.17344573
2.325979189;0.044;0.176713307
2.335068439;0.045;0.179952851
2.344145918;0.046;0.183164712
2.353211977;0.047;0.186349239
2.36226659;0.048;0.18950677
2.37130911;0.049;0.192637644
2.380339097;0.05;0.195742179
2.389347434;0.051;0.198820706
2.398354202;0.052;0.201873551
2.407354719;0.053;0.20490082
2.416338796;0.054;0.207903259
2.425310818;0.055;0.210880966
2.43427124;0.056;0.213834249
2.44322009;0.057;0.216763413
2.452157378;0.058;0.219668755
2.461083121;0.059;0.222550569
2.469997337;0.06;0.225409143
2.478900045;0.061;0.228244763
2.487791263;0.062;0.231057705
2.496670855;0.063;0.233848239
2.505528559;0.064;0.236616633
2.514383783;0.065;0.239363153
2.523227471;0.066;0.242088055
2.532059592;0.067;0.244791593
2.540880117;0.068;0.24747402
2.549689014;0.069;0.250135581
2.558486257;0.07;0.252776521
2.567271843;0.071;0.255397078
2.576045645;0.072;0.25799749
2.584808164;0.073;0.260577992
2.59355916;0.074;0.263138812
2.602298812;0.075;0.265680177
2.611027138;0.076;0.268202309
2.61974409;0.077;0.270705427
2.62844027;0.078;0.273189738
2.637132704;0.079;0.275655472
2.645813151;0.08;0.278102822
2.654481412;0.081;0.280531996
2.663137775;0.082;0.282943199
2.671782136;0.083;0.285336631
2.680414814;0.084;0.287712492
2.68903604;0.085;0.290070979
2.697645984;0.086;0.292412287
2.706244735;0.087;0.294736605
2.714832301;0.088;0.29704412
2.723408045;0.089;0.299335015
2.731973594;0.09;0.301609476
2.740527271;0.091;0.303867675
2.749069653;0.092;0.306109786
2.757599406;0.093;0.308335982
2.766109767;0.094;0.310546414
2.774616736;0.095;0.312741266
2.783112141;0.096;0.314920692
2.791595726;0.097;0.317084854
2.800066694;0.098;0.319233911
2.808526122;0.099;0.321368026
2.816972579;0.1;0.323487357
2.825406836;0.101;0.325592072
2.833829447;0.102;0.327682335
2.842240946;0.103;0.329758303
2.850641714;0.104;0.33182013
2.859031912;0.105;0.333867958
2.86741145;0.106;0.335901925
2.875779675;0.107;0.337922162
2.884127358;0.108;0.339928793
2.892470945;0.109;0.341921948
2.900802148;0.11;0.343901752
2.909120982;0.111;0.345868341
2.917427792;0.112;0.347821857
2.925723016;0.113;0.349762442
2.934007041;0.114;0.35169024
2.942279475;0.115;0.353605386
2.950542278;0.116;0.35550802
2.958793564;0.117;0.357398264
2.967033653;0.118;0.359276243
2.975262319;0.119;0.361142075
2.983479385;0.12;0.362995878
2.991684779;0.121;0.364837763
2.99987195;0.122;0.366667843
3.008050831;0.123;0.368486226
3.016219815;0.124;0.370293028
3.024378161;0.125;0.372088358
3.032524832;0.126;0.373872321
3.040660084;0.127;0.375645023
3.04878371;0.128;0.377406567
3.056895421;0.129;0.379157054
3.064994916;0.13;0.380896587
3.073081977;0.131;0.382625269
3.081155948;0.132;0.384343205
3.089219154;0.133;0.386050514
3.097270126;0.134;0.387747303
3.105310292;0.135;0.389433691
3.113340211;0.136;0.391109789
3.121351209;0.137;0.392775697
3.129359755;0.138;0.394431516
3.137357844;0.139;0.396077324
3.14534482;0.14;0.397713195
3.15331961;0.141;0.399339199
3.161282448;0.142;0.400955415
3.169232453;0.143;0.402561921
3.177170001;0.144;0.404158809
3.185095461;0.145;0.405746176
3.1930093;0.146;0.407324123
3.200911989;0.147;0.40889275
3.208803924;0.148;0.41045216
3.216684878;0.149;0.412002447
3.224556223;0.15;0.413543706
3.232407548;0.151;0.415076004
3.240256346;0.152;0.41659943
3.248092793;0.153;0.418114025
3.255917406;0.154;0.419619856
3.263729915;0.155;0.421116988
3.271530211;0.156;0.42260549
3.279317713;0.157;0.424085439
3.287094402;0.158;0.425556922
3.294858909;0.159;0.427020024
3.302612289;0.16;0.428474839
3.310354997;0.161;0.429921456
3.318087258;0.162;0.431359956
3.325809086;0.163;0.432790406
3.333520322;0.164;0.43421287
3.341219956;0.165;0.435627401
3.348900361;0.166;0.437034044
3.35657682;0.167;0.438432878
3.364240462;0.168;0.43982393
3.371891817;0.169;0.441207274
3.379531116;0.17;0.442582983
3.387158865;0.171;0.44395114
3.394775625;0.172;0.445311829
3.402381079;0.173;0.446665125
3.409977659;0.174;0.448011112
3.417563198;0.175;0.449349848
3.425138184;0.176;0.450681391
3.432702252;0.177;0.452005794
3.440255119;0.178;0.453323105
3.447796619;0.179;0.454633376
3.455318032;0.18;0.455936622
3.462835549;0.181;0.457233005
3.470342345;0.182;0.458522481
3.477837088;0.183;0.45980513
3.485320507;0.184;0.461081013
3.492792502;0.185;0.462350184
3.500253021;0.186;0.463612699
3.507702056;0.187;0.464868613
3.51513966;0.188;0.466117983
3.522565253;0.189;0.467360865
3.529981056;0.19;0.468597324
3.537385356;0.191;0.46982741
3.544778985;0.192;0.471051186
3.552162045;0.193;0.472268706
3.559534547;0.194;0.473480022
3.566888144;0.195;0.474685173
3.574237692;0.196;0.475884232
3.581575756;0.197;0.477077216
3.588903636;0.198;0.47826418
3.596219544;0.199;0.47944516
3.603524014;0.2;0.480620203
3.610817184;0.201;0.481789358
3.61809928;0.202;0.482952675
3.625370507;0.203;0.484110206
3.632630985;0.204;0.485262
3.639880282;0.205;0.486408102
3.647119488;0.206;0.487548559
3.654347282;0.207;0.488683409
3.661563883;0.208;0.489812693
3.668760991;0.209;0.490936444
3.67595423;0.21;0.492054732
3.683135832;0.211;0.493167578
3.690305522;0.212;0.494275032
3.697466116;0.213;0.495377149
3.704615509;0.214;0.496473967
3.711754291;0.215;0.497565531
3.718882562;0.216;0.498651884
3.726000246;0.217;0.499733063
3.733107241;0.218;0.500809106
3.740203427;0.219;0.501880049
3.747287994;0.22;0.502945925
3.754362836;0.221;0.504006777
3.761426033;0.222;0.505062635
3.768478284;0.223;0.506113541
3.775511266;0.224;0.507159529
3.782540533;0.225;0.508200652
3.789559136;0.226;0.50923694
3.796565968;0.227;0.51026843
3.803563957;0.228;0.511295168
3.810550835;0.229;0.512317181
3.817526739;0.23;0.513334506
3.824491931;0.231;0.514347177
3.83144639;0.232;0.515355228
3.838390116;0.233;0.516358694
3.845323133;0.234;0.517357609
3.852244713;0.235;0.518352006
3.859157112;0.236;0.519341925
3.866058269;0.237;0.520327396
3.872943141;0.238;0.521308457
3.879819896;0.239;0.522285129
3.886688228;0.24;0.523257459
3.893545982;0.241;0.524225474
3.900392041;0.242;0.525189201
3.907229291;0.243;0.526148679
3.914055354;0.244;0.527103933
3.920870546;0.245;0.528054994
3.927675166;0.246;0.529001894
3.934469262;0.247;0.529944665
3.941252873;0.248;0.530883337
3.948026027;0.249;0.53181794
3.954788097;0.25;0.532748503
3.961540921;0.251;0.533675059
3.968282776;0.252;0.534597635
3.975005739;0.253;0.535516254
3.981725422;0.254;0.536430963
3.988434847;0.255;0.537341776
3.995133908;0.256;0.538248725
4.001821715;0.257;0.539151835
4.008500832;0.258;0.540051143
4.015168765;0.259;0.540946664
4.021826304;0.26;0.541838431
4.028473472;0.261;0.542726469
4.035110296;0.262;0.543610807
4.041736813;0.263;0.54449147
4.04835197;0.264;0.545368483
4.054958789;0.265;0.546241881
4.06155478;0.266;0.547111683
4.068138871;0.267;0.547977929
4.074706474;0.268;0.548840604
4.081270393;0.269;0.54969978
4.08782415;0.27;0.550555462
4.094366474;0.271;0.551407673
4.100900625;0.272;0.552256446
4.107424168;0.273;0.553101799
4.113937173;0.274;0.553943755
4.120440039;0.275;0.554782341
4.126932795;0.276;0.55561758
4.133415471;0.277;0.556449497
4.139888074;0.278;0.557278116
4.146350123;0.279;0.558103457
4.152803204;0.28;0.558925551
4.159237696;0.281;0.559744402
4.165669548;0.282;0.560560065
4.172090844;0.283;0.561372539
4.178502163;0.284;0.56218185
4.184903469;0.285;0.562988022
4.191294142;0.286;0.563791074
4.197676038;0.287;0.564591033
4.204047427;0.288;0.565387918
4.210408919;0.289;0.566181752
4.216760547;0.29;0.566972555
4.223102335;0.291;0.56776035
4.229434293;0.292;0.568545157
4.235755776;0.293;0.569326994
4.242068698;0.294;0.570105889
4.248371241;0.295;0.570881856
4.254655643;0.296;0.571654911
4.260937224;0.297;0.572425091
4.267209156;0.298;0.573192403
4.273471322;0.299;0.573956869
4.279723111;0.3;0.574718509
4.285966368;0.301;0.575477346
4.292199357;0.302;0.576233396
4.298422672;0.303;0.576986679
4.30463634;0.304;0.577737215
4.310840382;0.305;0.578485023
4.317033428;0.306;0.579230119
4.323219098;0.307;0.579972529
4.329394866;0.308;0.580712267
4.3355606;0.309;0.58144935
4.341733553;0.31;0.582183325
4.347854271;0.311;0.582915623
4.353990011;0.312;0.583644861
4.36013317;0.313;0.584371023
4.36625106;0.314;0.585095113
4.372358909;0.315;0.585816657
4.37845694;0.316;0.586535673
4.384545546;0.317;0.587252179
4.390624753;0.318;0.587966194
4.396694588;0.319;0.588677733
4.402753899;0.32;0.589386812
4.408805965;0.321;0.590093454
4.414847936;0.322;0.590797671
4.420880463;0.323;0.59149948
4.426897356;0.324;0.592198902
4.432908651;0.325;0.59289594
4.438912116;0.326;0.593590627
4.444905345;0.327;0.59428297
4.450891021;0.328;0.594972991
4.456866889;0.329;0.595660702
4.462833412;0.33;0.59634612
4.468790772;0.331;0.597029261
4.474738998;0.332;0.597710139
4.480676565;0.333;0.598388769
4.486607428;0.334;0.599065174
4.492528981;0.335;0.599739363
4.498440865;0.336;0.600411351
4.504343736;0.337;0.601081155
4.510210209;0.338;0.60174921
4.516113759;0.339;0.602414266
4.521987064;0.34;0.603077605
4.527853631;0.341;0.603738823
4.533710536;0.342;0.60439793
4.539558232;0.343;0.605054942
4.545397017;0.344;0.605709873
4.551226919;0.345;0.606362738
4.557047964;0.346;0.607013551
4.562859219;0.347;0.607662325
4.568663462;0.348;0.608309079
4.574458039;0.349;0.608953822
4.580243857;0.35;0.60959657
4.586020948;0.351;0.610237337
4.591789341;0.352;0.610876136
4.597539108;0.353;0.611512974
4.603289654;0.354;0.612147882
4.609031055;0.355;0.612780861
4.614763346;0.356;0.613411926
4.620486988;0.357;0.614041092
4.626202011;0.358;0.614668371
4.631908443;0.359;0.615293776
4.637605285;0.36;0.61591732
4.643295514;0.361;0.616539021
4.648976278;0.362;0.617158885
4.654648551;0.363;0.617776929
4.660312367;0.364;0.618393164
4.665967755;0.365;0.619007604
4.671613308;0.366;0.619620258
4.677244638;0.367;0.620231138
4.682873728;0.368;0.620840271
4.688494155;0.369;0.621447655
4.694106243;0.37;0.622053305
4.699709987;0.371;0.622657234
4.705305393;0.372;0.623259456
4.710891651;0.373;0.623859978
4.716471311;0.374;0.62445882
4.722041908;0.375;0.625055989
4.727604296;0.376;0.625651497
4.733158508;0.377;0.626245356
4.738704575;0.378;0.62683758
4.744241264;0.379;0.627428176
4.749772154;0.38;0.628017164
4.755286199;0.381;0.628604532
4.760798068;0.382;0.629190338
4.766302309;0.383;0.629774554
4.771798527;0.384;0.630357202
4.777285171;0.385;0.630938293
4.782766326;0.386;0.631517843
4.788238992;0.387;0.632095859
4.793703214;0.388;0.632672352
4.799159518;0.389;0.633247335
4.804607937;0.39;0.633820818
4.810046717;0.391;0.634392809
4.815480364;0.392;0.634963326
4.820906075;0.393;0.635532377
4.826323224;0.394;0.63609997
4.831725155;0.395;0.636666095
4.837124689;0.396;0.637230827
4.842517252;0.397;0.637794117
4.847900995;0.398;0.638355991
4.853278917;0.399;0.638916466
4.858648569;0.4;0.639475546
4.86401034;0.401;0.640033244
4.869364498;0.402;0.640589571
4.87471108;0.403;0.641144536
4.880048811;0.404;0.641698149
4.885381412;0.405;0.642250425
4.890705527;0.406;0.642801368
4.896022061;0.407;0.643350991
4.901331162;0.408;0.643899304
