 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2, n-Butane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

0.960580134;0.0001;0.00071088
0.998817362;0.005;0.034315387
1.037461878;0.01;0.066300631
1.076244386;0.015;0.09618779
1.115140209;0.02;0.124179273
1.154161576;0.025;0.150451804
1.193309393;0.03;0.17516064
1.232585212;0.035;0.198442678
1.27199042;0.04;0.22041914
1.311525515;0.045;0.241197786
1.351188999;0.05;0.260874683
1.390982407;0.055;0.279535857
1.430924703;0.06;0.297258376
1.470992529;0.065;0.314111813
1.511195956;0.07;0.33015888
1.55153759;0.075;0.345456225
1.592017066;0.08;0.360055475
1.632632989;0.085;0.374003449
1.673394281;0.09;0.387342752
1.714290392;0.095;0.400112538
1.755340486;0.1;0.412348359
1.796528016;0.105;0.424083066
1.837860718;0.11;0.435346705
1.879339651;0.115;0.446166988
1.920966459;0.12;0.456569424
1.962738343;0.125;0.46657768
2.004665303;0.13;0.476213462
2.046736251;0.135;0.485497089
2.088971455;0.14;0.494447215
2.131353233;0.145;0.503081376
2.173889856;0.15;0.511415743
2.216589669;0.155;0.519464178
2.259440834;0.16;0.527243181
2.302450467;0.165;0.534764759
2.34561616;0.17;0.542041233
2.388950779;0.175;0.549084214
2.432445422;0.18;0.555904083
2.476104615;0.185;0.562511353
2.519928811;0.19;0.568915501
2.563920495;0.195;0.575125405
2.608080065;0.2;0.581149525
2.652406632;0.205;0.586995693
2.69691302;0.21;0.592671432
2.741587937;0.215;0.598183812
2.786436471;0.22;0.603539545
2.831463387;0.225;0.608744725
2.876662709;0.23;0.613805561
2.922048192;0.235;0.618727486
2.967605706;0.24;0.623516008
3.013360083;0.245;0.628176025
3.059290241;0.25;0.632712497
3.105406597;0.255;0.637129914
3.151703828;0.26;0.641432719
3.198201265;0.265;0.645624854
3.244878135;0.27;0.649710457
3.291773164;0.275;0.65369148
3.338844676;0.28;0.657574671
3.38611088;0.285;0.661362013
3.433572977;0.29;0.665056759
3.481235;0.295;0.668661793
3.529091456;0.3;0.672180369
3.57716793;0.305;0.675615029
3.625438568;0.31;0.678968711
3.673907373;0.315;0.68224403
3.72259737;0.32;0.685443256
3.771483754;0.325;0.688569024
3.820595682;0.33;0.69162335
3.869911626;0.335;0.694608675
3.91943436;0.34;0.697527064
3.969186787;0.345;0.700380365
4.019143056;0.35;0.703170782
4.069350658;0.355;0.705897963
4.11975372;0.36;0.708567677
4.170374956;0.365;0.711179832
4.221223342;0.37;0.713735965
4.272288342;0.375;0.716237851
4.323594838;0.38;0.718686818
4.375106634;0.385;0.721084779
4.426870645;0.39;0.72343249
4.478845539;0.395;0.72573204
4.53105057;0.4;0.727984491
4.583492823;0.405;0.730191118
4.636177332;0.41;0.732353129
