 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2, n-Butane 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

0.929181508;0.0001;0.000725034
0.966527778;0.005;0.035001487
1.004278137;0.01;0.067630082
1.042160515;0.015;0.09811888
1.080161898;0.02;0.126672528
1.11830157;0.025;0.153470025
1.156564026;0.03;0.178668922
1.194955472;0.035;0.202408486
1.233477182;0.04;0.224812182
1.272130115;0.045;0.245989923
1.310914905;0.05;0.266039888
1.349833098;0.055;0.285049965
1.388884669;0.06;0.303099225
1.428067571;0.065;0.32025885
1.467383182;0.07;0.336593154
1.506848237;0.075;0.352160337
1.546442619;0.08;0.367013314
1.586174429;0.085;0.381200261
1.626045008;0.09;0.39476503
1.66605538;0.095;0.40774772
1.70620637;0.1;0.420185068
1.746498595;0.105;0.432110776
1.78692988;0.11;0.443555822
1.827501708;0.115;0.454548712
1.86823145;0.12;0.465115629
1.909097475;0.125;0.475281019
1.950109242;0.13;0.485067294
1.991267751;0.135;0.494495269
2.03257412;0.14;0.503584248
2.074025433;0.145;0.512352267
2.115632158;0.15;0.520815789
2.157381999;0.155;0.528990631
2.199294146;0.16;0.536891112
2.241352469;0.165;0.544530875
2.283564119;0.17;0.551922551
2.325929926;0.175;0.559078
2.368451137;0.18;0.566008308
2.41112731;0.185;0.572723929
2.453961777;0.19;0.579234487
2.496949365;0.195;0.585549359
2.540116778;0.2;0.591675638
2.583429834;0.205;0.597624229
2.626904207;0.21;0.603401461
2.670540935;0.215;0.609014559
2.714333653;0.22;0.614470387
2.758305644;0.225;0.61977519
2.80243155;0.23;0.624935275
2.846733636;0.235;0.62995626
2.891198367;0.24;0.634843631
2.935831504;0.245;0.639602583
2.980635774;0.25;0.644237905
3.025603595;0.255;0.648754396
3.070756524;0.26;0.653156241
3.116071696;0.265;0.657447816
3.161572512;0.27;0.661632926
3.207242598;0.275;0.66571547
3.253089584;0.28;0.669698988
3.299113321;0.285;0.673586966
3.345318987;0.29;0.677382455
3.391699881;0.295;0.681088772
3.438258774;0.3;0.684708818
3.48501745;0.305;0.688245224
3.531949399;0.31;0.691700919
3.579066634;0.315;0.695078356
3.626382871;0.32;0.698378361
3.67387426;0.325;0.70160635
3.721547872;0.33;0.704763223
3.769428371;0.335;0.707850837
3.817490262;0.34;0.710871436
3.865744336;0.345;0.71382691
3.914192304;0.35;0.716719101
3.962830342;0.355;0.719549803
4.011673379;0.36;0.72232069
4.060709651;0.365;0.725033353
4.10994424;0.37;0.727689426
4.159374173;0.375;0.730290425
4.209010999;0.38;0.732837628
4.258840756;0.385;0.735332564
4.30889115;0.39;0.737776328
4.359155839;0.395;0.740168478
4.409602456;0.4;0.742513798
4.460265316;0.405;0.74481156
4.511124775;0.41;0.747063021
4.562210367;0.415;0.749268875
4.613500108;0.42;0.751430691
4.664994462;0.425;0.753548998
4.716700365;0.43;0.755624434
4.768614454;0.435;0.757657931
4.820786537;0.44;0.759652329
4.873153754;0.445;0.761606644
4.925404569;0.45;0.763506991
4.979229426;0.455;0.7654213
5.026643292;0.46;0.767058478
5.07057724;0.465;0.768567296
5.12855161;0.47;0.770504415
5.188203075;0.475;0.772429459
5.246474681;0.48;0.77425565
5.299143355;0.485;0.775869892
5.353663031;0.49;0.77749603
5.40829864;0.495;0.779082098
5.462999419;0.5;0.780632935
5.517999064;0.505;0.782152548
5.573191856;0.51;0.783633889
5.628606928;0.515;0.785085657
5.684281369;0.52;0.786518133
5.740108458;0.525;0.787890673
5.796161225;0.53;0.78920581
5.852581545;0.535;0.7905923
5.909075441;0.54;0.791848345
5.965767459;0.545;0.793361746
6.024001509;0.55;0.78977773
6.081121602;0.555;0.792206867
6.138960659;0.56;0.794827325
6.196917873;0.565;0.796785027
6.254539302;0.57;0.798668926
6.31223357;0.575;0.80017916
6.3706603;0.58;0.800890636
6.428953619;0.585;0.801936565
6.487446613;0.59;0.80290624
6.546195743;0.595;0.803803688
6.605047543;0.6;0.804691674
6.664042697;0.605;0.805535099
6.723246997;0.61;0.806338633
6.78251481;0.615;0.807107283
6.841962031;0.62;0.80783219
6.901470805;0.625;0.808519556
6.96109659;0.63;0.809161578
7.020762236;0.635;0.809762938
7.080503768;0.64;0.810315715
7.140236637;0.645;0.810824823
7.200002507;0.65;0.811280907
7.259754726;0.655;0.811685159
7.319363821;0.66;0.812040391
7.378945153;0.665;0.812333959
7.438370493;0.67;0.812568106
7.497591797;0.675;0.812739487
7.556574026;0.68;0.812843667
7.615309274;0.685;0.812871127
7.673597591;0.69;0.812828317
7.73148441;0.695;0.812699192
7.788786307;0.7;0.812484692
7.845452903;0.705;0.812175532
7.901322842;0.71;0.81176705
7.956298675;0.715;0.811246065
8.010171872;0.72;0.810609444
8.062816776;0.725;0.809840393
8.114003316;0.73;0.808928762
8.163431584;0.735;0.807866696
8.210722901;0.74;0.806649823
8.255527035;0.745;0.805265671
8.297306466;0.75;0.803720951
8.335457803;0.755;0.80202762
8.36917205;0.76;0.800233981
8.396272227;0.765;0.79859708
8.414336347;0.77;0.797390962
8.416635052;0.775;0.797084843
8.416658063;0.78;0.796875154
8.416631791;0.785;0.796461286
8.41660641;0.79;0.796026719
8.416603683;0.795;0.795913849
8.416590095;0.8;0.796586015
8.416555601;0.805;0.801468025
8.416534016;0.81;0.807861568
8.416526001;0.815;0.813771132
8.416521494;0.82;0.819166724
8.416517445;0.825;0.82430667
8.416515587;0.83;0.829555386
8.416512784;0.835;0.834539019
8.416511294;0.84;0.839675087
8.416510635;0.845;0.844777832
8.4165104;0.85;0.849847022
8.416509205;0.855;0.854767204
8.416508675;0.86;0.859821399
8.416508773;0.865;0.864866581
8.416508674;0.87;0.8699001
8.416508655;0.875;0.874925089
8.416508831;0.88;0.879943808
8.416508973;0.885;0.884957853
8.416509072;0.89;0.889968449
8.416509281;0.895;0.894976461
8.416509372;0.9;0.89998249
8.416509412;0.905;0.904942178
8.416509749;0.91;0.909953832
8.416507516;0.915;0.914965697
8.416506609;0.92;0.919996254
8.416506592;0.925;0.924999994
8.416506217;0.93;0.930000564
8.416506882;0.935;0.934996153
8.416506535;0.94;0.939990616
8.416506722;0.945;0.944992973
8.416506767;0.95;0.949995031
8.416506966;0.955;0.954996551
8.416506987;0.96;0.959997699
8.416507169;0.965;0.964998485
8.416506963;0.97;0.969999175
8.416506998;0.975;0.974999965
8.416506992;0.98;0.979999999
8.41650734;0.985;0.984999912
8.416506396;0.99;0.990000197
8.416506396;0.995;0.995
