 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           CO2, n-Butane 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

0.864282999;0.005;0.036757182
0.867797439;0.0055;0.040285982
0.871315195;0.006;0.043788964
0.874828056;0.0065;0.047266513
0.87834678;0.007;0.050718762
0.881867006;0.0075;0.054146345
0.885388881;0.008;0.057549187
0.888911903;0.0085;0.06092768
0.892436083;0.009;0.064282103
0.895961392;0.0095;0.067612739
0.899487979;0.01;0.070919867
0.903015788;0.0105;0.074203773
0.90654488;0.011;0.077464709
0.910075256;0.0115;0.080702916
0.913606914;0.012;0.083918627
0.91713985;0.0125;0.087112075
0.920674058;0.013;0.090283482
0.92420953;0.0135;0.093433071
0.927746256;0.014;0.096561057
0.931284223;0.0145;0.099667653
0.934823418;0.015;0.102753065
0.938363401;0.0155;0.10581752
0.941905043;0.016;0.108861184
0.945447899;0.0165;0.111884291
0.948991973;0.017;0.114887051
0.952537267;0.0175;0.11786967
0.956083786;0.018;0.120832354
0.959631536;0.0185;0.123775303
0.963180522;0.019;0.126698718
0.966730749;0.0195;0.129602797
0.970282225;0.02;0.132487735
0.973834921;0.0205;0.135353726
0.977388841;0.021;0.138200958
0.980944014;0.0215;0.141029612
0.98450044;0.022;0.143839869
0.988058119;0.0225;0.146631908
0.991617051;0.023;0.149405904
0.995177235;0.0235;0.152162031
0.998738671;0.024;0.154900461
1.002301358;0.0245;0.157621362
1.005865295;0.025;0.160324901
1.009430481;0.0255;0.163011243
1.012996916;0.026;0.165680551
1.01656417;0.0265;0.168333019
1.020133139;0.027;0.170968741
1.023703365;0.0275;0.17358791
1.02727485;0.028;0.17619068
1.030839358;0.0285;0.178777225
1.034418338;0.029;0.181347663
1.037990205;0.0295;0.183902142
1.041566363;0.03;0.186440853
1.045143851;0.0305;0.188963903
1.048722227;0.031;0.191471482
1.052302514;0.0315;0.19396365
1.05588371;0.032;0.196440626
1.059466167;0.0325;0.198902522
1.063049885;0.033;0.201349477
1.066634867;0.0335;0.203781624
1.070221112;0.034;0.206199099
1.073808621;0.0345;0.208602034
1.077397396;0.035;0.21099056
1.080987436;0.0355;0.213364805
1.084578743;0.036;0.215724899
1.088171319;0.0365;0.218070967
1.091764699;0.037;0.220403173
1.095359845;0.0375;0.22272156
1.098956266;0.038;0.225026291
1.102553962;0.0385;0.227317486
1.106152935;0.039;0.229595265
1.109753187;0.0395;0.231859745
1.113354718;0.04;0.234111042
1.116957529;0.0405;0.236349272
1.120561623;0.041;0.238574548
1.124166999;0.0415;0.240786983
1.127773594;0.042;0.242986692
1.13138146;0.0425;0.245173781
1.134990606;0.043;0.247348359
1.138601035;0.0435;0.249510531
1.142212746;0.044;0.251660405
1.145825742;0.0445;0.253798084
1.149440022;0.045;0.255923673
1.153055588;0.0455;0.258037273
1.156672441;0.046;0.260138987
1.160290581;0.0465;0.262228914
1.163910011;0.047;0.264307153
1.167530245;0.0475;0.266373848
1.171152289;0.048;0.268429001
1.174775629;0.0485;0.270472757
1.178400266;0.049;0.272505209
1.182026202;0.0495;0.274526452
1.185644832;0.05;0.276536607
1.189278168;0.0505;0.278535714
1.192906025;0.051;0.280523862
1.196536823;0.0515;0.282501197
1.200168976;0.052;0.284467762
1.203802343;0.0525;0.286423668
1.207437008;0.053;0.288368991
1.211072969;0.0535;0.290303819
1.214710228;0.054;0.292228235
1.218348787;0.0545;0.294142325
1.221988645;0.055;0.29604617
1.225629804;0.0555;0.297939853
1.229272265;0.056;0.299823456
1.232916029;0.0565;0.301697058
1.236561097;0.057;0.30356074
1.240206938;0.0575;0.305414631
1.24385465;0.058;0.307258703
1.247503673;0.0585;0.309093088
1.251154007;0.059;0.310917861
1.254805656;0.0595;0.312733099
1.258458619;0.06;0.314538875
1.262112898;0.0605;0.316335263
1.265768493;0.061;0.318122337
1.269425408;0.0615;0.31990017
1.273083641;0.062;0.321668831
1.276742971;0.0625;0.323428411
1.28040396;0.063;0.325178937
1.284066068;0.0635;0.326920518
1.287729493;0.064;0.328653209
1.291394237;0.0645;0.330377077
1.295060302;0.065;0.332092189
1.298727687;0.0655;0.333798613
1.302396395;0.066;0.335496414
1.306066425;0.0665;0.337185657
1.30973778;0.067;0.338866407
1.31341046;0.0675;0.340538728
1.317083929;0.068;0.342202736
1.3207593;0.0685;0.343858385
1.324436004;0.069;0.345505792
1.328114042;0.0695;0.34714502
1.331793415;0.07;0.348776128
1.335474125;0.0705;0.350399177
1.339148686;0.071;0.352014257
1.342836806;0.0715;0.35362137
1.346518938;0.072;0.355220608
1.350204784;0.0725;0.356812001
1.353891839;0.073;0.358395647
1.357580215;0.0735;0.359971586
1.361269925;0.074;0.361539872
1.364960969;0.0745;0.36310056
1.368653349;0.075;0.364653707
1.372347066;0.0755;0.366199366
1.376042122;0.076;0.367737592
1.379738516;0.0765;0.369268438
1.38343625;0.077;0.370791958
1.387135323;0.0775;0.372308203
1.390835174;0.078;0.373817282
1.394536971;0.0785;0.375319131
1.398240118;0.079;0.376813859
1.401944615;0.0795;0.378301518
1.405650464;0.08;0.379782158
1.409357665;0.0805;0.381255827
1.41306622;0.081;0.382722576
1.41677613;0.0815;0.384182453
1.420487397;0.082;0.385635506
1.424200021;0.0825;0.387081783
1.427913933;0.083;0.388521338
1.431629178;0.0835;0.389954214
1.435345778;0.084;0.391380455
1.439063734;0.0845;0.392800108
1.442783047;0.085;0.394213217
1.446503717;0.0855;0.395619829
1.450225747;0.086;0.397019987
1.453949137;0.0865;0.398413737
1.457673887;0.087;0.399801121
1.461399992;0.0875;0.401182187
1.465126887;0.088;0.402557028
1.468855767;0.0885;0.403925574
1.472586019;0.089;0.405287926
1.476317642;0.0895;0.406644127
1.480050638;0.09;0.407994217
1.483785009;0.0905;0.409338239
1.487511391;0.091;0.410676155
1.491252639;0.0915;0.412008288
1.494989702;0.092;0.413334357
1.498731273;0.0925;0.414654482
1.502472202;0.093;0.415968771
1.506214466;0.0935;0.417277238
1.509958107;0.094;0.418579915
1.513703122;0.0945;0.41987684
1.517449509;0.095;0.421168051
1.521197271;0.0955;0.422453587
1.524946409;0.096;0.423733485
1.528696923;0.0965;0.425007782
1.532448815;0.097;0.426276514
1.536201447;0.0975;0.427539781
1.539956136;0.098;0.42879749
1.543712211;0.0985;0.430049742
1.547469673;0.099;0.431296572
1.551228525;0.0995;0.432538017
1.554988767;0.1;0.43377411
1.5587504;0.1005;0.435004886
1.562513426;0.101;0.43623038
1.566277847;0.1015;0.437450625
1.570043663;0.102;0.438665656
1.573810514;0.1025;0.439875533
1.577579353;0.103;0.441080218
1.581349251;0.1035;0.442279813
1.585120543;0.104;0.443474326
1.588893228;0.1045;0.444663788
1.592667309;0.105;0.445848233
1.596442786;0.1055;0.44702769
1.60021966;0.106;0.448202193
1.603997934;0.1065;0.449371772
1.607776927;0.107;0.450536523
1.611558039;0.1075;0.451696343
1.615340558;0.108;0.45285133
1.619124486;0.1085;0.454001515
1.622909824;0.109;0.455146927
1.626696575;0.1095;0.456287597
1.630484738;0.11;0.457423553
1.634274316;0.1105;0.458554825
1.638058712;0.111;0.459681497
1.641855913;0.1115;0.460803462
1.645646968;0.112;0.461920854
1.649441884;0.1125;0.463033681
1.653238175;0.113;0.464141974
1.657035879;0.1135;0.465245752
1.660834994;0.114;0.466345043
1.664635521;0.1145;0.467439876
1.668437461;0.115;0.468530277
1.672240814;0.1155;0.469616274
1.676045583;0.116;0.470697892
1.679851055;0.1165;0.471775225
1.683658694;0.117;0.472848163
1.687467758;0.1175;0.4739168
1.691278247;0.118;0.474981162
1.695090163;0.1185;0.476041276
1.698903508;0.119;0.477097166
1.702718282;0.1195;0.478148858
1.706534487;0.12;0.479196377
1.710352125;0.1205;0.480239748
1.714171197;0.121;0.481278994
1.717991703;0.1215;0.482314141
1.721813562;0.122;0.48334522
1.725636825;0.1225;0.484372251
1.729461519;0.123;0.485395256
1.733287645;0.1235;0.486414257
1.737115205;0.124;0.487429278
1.740944199;0.1245;0.488440343
1.744774629;0.125;0.489447474
1.748606495;0.1255;0.490450695
1.752439063;0.126;0.491450096
1.756273846;0.1265;0.492445561
1.760110076;0.127;0.493437181
1.763947754;0.1275;0.494424981
1.767786882;0.128;0.495408981
1.77162746;0.1285;0.496389204
1.775469491;0.129;0.497365671
1.779312975;0.1295;0.498338404
1.78315081;0.13;0.499307485
1.78700199;0.1305;0.500272788
1.790847913;0.131;0.501234432
1.794696851;0.1315;0.502192456
1.798547243;0.132;0.503146848
1.802399086;0.1325;0.504097632
1.806252379;0.133;0.505044829
1.810107123;0.1335;0.505988459
1.813963318;0.134;0.506928541
1.817820965;0.1345;0.507865097
1.821680067;0.135;0.508798145
1.825539873;0.1355;0.509727773
1.829401929;0.136;0.510653862
1.833265449;0.1365;0.511576501
1.837130435;0.137;0.51249571
1.840996887;0.1375;0.513411509
1.844864808;0.138;0.514323914
1.848734199;0.1385;0.515232947
1.852605062;0.139;0.516138624
1.856477398;0.1395;0.517040965
1.860351208;0.14;0.517939989
1.864226338;0.1405;0.518835725
1.868103107;0.141;0.519728167
1.871981215;0.1415;0.520617357
1.875860794;0.142;0.521503302
1.879741845;0.1425;0.52238602
1.883624369;0.143;0.523265528
1.887508368;0.1435;0.524141843
1.891393842;0.144;0.525014983
1.895279996;0.1445;0.525885036
1.899168466;0.145;0.526751874
1.903058422;0.1455;0.527615588
1.906949867;0.146;0.528476194
1.9108428;0.1465;0.529333709
1.914737224;0.147;0.53018815
1.91863314;0.1475;0.531039533
1.92253055;0.148;0.531887874
1.926422498;0.1485;0.532733251
1.930327713;0.149;0.533575532
1.934227662;0.1495;0.534414839
1.938130735;0.15;0.535251182
1.942035245;0.1505;0.53608457
1.945941247;0.151;0.536915013
1.949848739;0.1515;0.537742526
1.95375772;0.152;0.538567124
1.957668193;0.1525;0.539388824
1.961580158;0.153;0.54020764
1.965492783;0.1535;0.541023659
1.969407777;0.154;0.54183675
1.973324275;0.1545;0.542647001
1.977242277;0.155;0.543454428
1.981161785;0.1555;0.544259046
1.985082801;0.156;0.545060868
1.989005326;0.1565;0.545859909
1.992929362;0.157;0.546656184
1.996854911;0.1575;0.547449708
2.000781974;0.158;0.548240493
2.004710553;0.1585;0.549028554
2.008640572;0.159;0.549813912
2.012572047;0.1595;0.55059658
2.016505033;0.16;0.551376566
2.020439529;0.1605;0.552153884
2.024375538;0.161;0.552928549
2.02831306;0.1615;0.553700573
2.032252098;0.162;0.55446997
2.03619179;0.1625;0.555236825
2.040133903;0.163;0.556001005
2.044077543;0.1635;0.556762596
2.04802271;0.164;0.557521613
2.051969407;0.1645;0.558278068
2.055917635;0.165;0.559031973
2.059867396;0.1655;0.559783343
2.063818692;0.166;0.560532189
2.067765195;0.1665;0.561278583
2.071724436;0.167;0.562022394
2.075677841;0.1675;0.562763739
2.07963498;0.168;0.563502621
2.083593567;0.1685;0.564239053
2.087553691;0.169;0.564973034
2.091515343;0.1695;0.565704579
2.095478526;0.17;0.5664337
2.099443239;0.1705;0.567160409
2.103409486;0.171;0.567884718
2.107376386;0.1715;0.56860671
2.111345745;0.172;0.569326251
2.11531665;0.1725;0.570043426
2.1192891;0.173;0.570758247
2.123263097;0.1735;0.571470725
2.127238644;0.174;0.572180872
2.131215741;0.1745;0.5728887
2.135194392;0.175;0.573594219
2.139174597;0.1755;0.57429744
2.143156358;0.176;0.574998376
2.147139675;0.1765;0.575697036
2.151124432;0.177;0.576393442
2.155110716;0.1775;0.577087597
2.159098551;0.178;0.57777951
2.163087938;0.1785;0.578469193
2.167078879;0.179;0.579156656
2.171071375;0.1795;0.579841909
2.175064496;0.18;0.580525037
2.179060146;0.1805;0.5812059
2.183057364;0.181;0.581884584
2.187056151;0.1815;0.5825611
2.191056508;0.182;0.583235457
2.195058437;0.1825;0.583907668
2.19906194;0.183;0.58457774
2.203057661;0.1835;0.585245605
2.207068283;0.184;0.585911571
2.211074704;0.1845;0.586575343
2.215087845;0.185;0.587236884
2.219098944;0.1855;0.587896426
2.223111546;0.186;0.588553891
2.227125691;0.1865;0.589209294
2.231141406;0.187;0.589862639
2.235158692;0.1875;0.590513936
2.239177549;0.188;0.591163195
2.24319796;0.1885;0.591810428
2.247219053;0.189;0.592455706
2.25124268;0.1895;0.593098901
2.255267896;0.19;0.593740095
2.259294699;0.1905;0.594379297
2.263323091;0.191;0.595016516
2.267353074;0.1915;0.59565176
2.27138465;0.192;0.596285039
2.275417821;0.1925;0.596916362
2.279452589;0.193;0.597545738
2.283488957;0.1935;0.598173176
2.287526087;0.194;0.598798746
2.291566336;0.1945;0.599422284
2.295607342;0.195;0.600043972
2.299649938;0.1955;0.600663758
2.303694128;0.196;0.601281651
2.307739913;0.1965;0.601897659
2.311787273;0.197;0.602511794
2.315835307;0.1975;0.603124125
2.319885933;0.198;0.603734525
2.32393817;0.1985;0.604343072
2.327992019;0.199;0.604949777
2.332047482;0.1995;0.605554645
2.336104559;0.2;0.606157687
2.340154298;0.2005;0.606758948
2.344219301;0.201;0.607358374
2.348281927;0.2015;0.607955955
2.352345247;0.202;0.60855177
2.356410168;0.2025;0.609145801
2.360476601;0.203;0.609738058
2.364544605;0.2035;0.61032855
2.368614219;0.204;0.610917279
2.372685445;0.2045;0.611504254
2.376758285;0.205;0.612089482
2.380831704;0.2055;0.612673046
2.384907813;0.206;0.613254801
2.38898555;0.2065;0.613834831
2.393064915;0.207;0.614413144
2.39714591;0.2075;0.614989747
2.401228536;0.208;0.615564649
2.405312796;0.2085;0.616137856
2.409398691;0.209;0.616709376
2.413486225;0.2095;0.617279216
2.417575398;0.21;0.617847383
2.421666213;0.2105;0.618413885
2.425757734;0.211;0.618978794
2.42985261;0.2115;0.619541934
2.43394818;0.212;0.620103495
2.438045383;0.2125;0.620663421
2.442144222;0.213;0.621221718
2.446244699;0.2135;0.621778393
2.45034576;0.214;0.622333528
2.454449558;0.2145;0.622886977
2.45855501;0.215;0.623438824
2.462662114;0.2155;0.623989077
2.466770874;0.216;0.624537741
2.470881292;0.2165;0.625084823
2.474985448;0.217;0.625630366
2.47910398;0.2175;0.626174318
2.483218997;0.218;0.626716669
2.4873358;0.2185;0.627257497
2.491454279;0.219;0.627796774
2.495574379;0.2195;0.628334512
2.499696011;0.22;0.628870724
2.503819295;0.2205;0.629405408
2.507944232;0.221;0.629938571
2.512070823;0.2215;0.630470218
2.516197967;0.222;0.631000434
2.52032791;0.2225;0.631529067
2.524459525;0.223;0.632056204
2.528592809;0.2235;0.63258185
2.532727766;0.224;0.633106011
2.536864398;0.2245;0.633628694
2.541002706;0.225;0.634149905
2.545150506;0.2255;0.634668333
2.549292218;0.226;0.635186612
2.553435606;0.2265;0.635703439
2.55758068;0.227;0.636218817
2.561727441;0.2275;0.636732753
2.565875753;0.228;0.637245262
2.570025701;0.2285;0.637756345
2.574177327;0.229;0.638266004
2.578330631;0.2295;0.638774245
2.582484467;0.23;0.639281152
2.586641172;0.2305;0.639786573
2.590799569;0.231;0.640290592
2.594959662;0.2315;0.640793216
2.599121453;0.232;0.64129445
2.603284942;0.2325;0.6417943
2.607442999;0.233;0.642292831
2.611615065;0.2335;0.642789895
2.615782112;0.234;0.643285625
2.619952182;0.2345;0.643779994
2.624123943;0.235;0.644273008
2.628297415;0.2355;0.644764671
2.632472506;0.236;0.645254993
2.636649199;0.2365;0.645743982
2.640827586;0.237;0.646231638
2.645007671;0.2375;0.646717964
2.649188271;0.238;0.647203046
2.65337179;0.2385;0.647686729
2.657557022;0.239;0.648169098
2.661743967;0.2395;0.648650159
2.665932627;0.24;0.649129916
2.670123005;0.2405;0.649608376
2.674315103;0.241;0.650085543
2.678508923;0.2415;0.650561421
2.682704467;0.242;0.651036018
2.686901739;0.2425;0.651509336
2.69110074;0.243;0.651981381
2.695301473;0.2435;0.652452159
2.699503868;0.244;0.652921678
2.703707868;0.2445;0.653389948
2.707913587;0.245;0.653856965
2.71212103;0.2455;0.654322736
2.716328983;0.246;0.654787343
2.720539911;0.2465;0.655250631
2.724752578;0.247;0.655712686
2.728966983;0.2475;0.656173512
2.73318313;0.248;0.656633115
2.737394472;0.2485;0.657091556
2.741619395;0.249;0.65754869
2.74583856;0.2495;0.658004652
2.750061455;0.25;0.658459407
2.75428608;0.2505;0.658912963
2.758512459;0.251;0.659365322
2.76274059;0.2515;0.65981649
2.766970382;0.252;0.660266477
2.77120181;0.2525;0.660715289
2.775434977;0.253;0.661162924
2.779669872;0.2535;0.661609389
2.7839053;0.254;0.662054761
2.788143734;0.2545;0.66249889
2.792383926;0.255;0.662941859
2.796625875;0.2555;0.663383674
2.800869586;0.256;0.663824337
2.80511506;0.2565;0.664263854
2.8093623;0.257;0.664702228
2.813611307;0.2575;0.665139464
2.817862086;0.258;0.665575567
2.822114637;0.2585;0.666010539
2.826368964;0.259;0.666444387
2.830625068;0.2595;0.666877113
2.8348828;0.26;0.667308731
2.839142244;0.2605;0.667739241
2.843403453;0.261;0.668168644
2.847665145;0.2615;0.668597022
2.851929925;0.262;0.669024219
2.856196487;0.2625;0.66945032
2.860464833;0.263;0.669875329
2.864728508;0.2635;0.670299308
2.86900582;0.264;0.670722109
2.87327716;0.2645;0.671143869
2.877552403;0.265;0.671564553
2.881829449;0.2655;0.671984162
2.886108277;0.266;0.672402704
2.890388899;0.2665;0.672820182
2.894671318;0.267;0.673236599
2.898955421;0.2675;0.673651966
2.903241286;0.268;0.674066284
2.907528866;0.2685;0.674479558
2.911816903;0.269;0.674891868
2.916108084;0.2695;0.675303055
2.920401066;0.27;0.675713205
2.92469585;0.2705;0.676122322
2.928992437;0.271;0.676530409
2.93329083;0.2715;0.67693747
2.937591033;0.272;0.677343509
2.941893047;0.2725;0.677748529
2.946196875;0.273;0.678152535
2.95050252;0.2735;0.678555528
2.954809986;0.274;0.678957514
2.959119273;0.2745;0.679358495
2.963430376;0.275;0.679758478
2.96774313;0.2755;0.680157471
2.972057652;0.276;0.680555476
2.976372629;0.2765;0.680952572
2.980690806;0.277;0.6813486
2.985010811;0.2775;0.681743645
2.989325606;0.278;0.682137774
2.993654748;0.2785;0.682530829
2.997978436;0.279;0.682922946
3.002305522;0.2795;0.683314095
3.006634417;0.28;0.683704282
3.010965153;0.2805;0.684093506
3.015297725;0.281;0.68448177
3.019632136;0.2815;0.68486908
3.023968388;0.282;0.685255437
3.028306482;0.2825;0.685640846
3.032646265;0.283;0.686025318
3.036986392;0.2835;0.686408935
3.041329782;0.284;0.686791531
3.045675017;0.2845;0.687173192
3.050022095;0.285;0.687553921
3.054371019;0.2855;0.687933721
3.058721793;0.286;0.688312595
3.063074419;0.2865;0.688690547
3.0674289;0.287;0.68906758
3.071785238;0.2875;0.689443697
3.076143437;0.288;0.689818901
3.080503499;0.2885;0.690193194
3.084865427;0.289;0.690566581
3.089229225;0.2895;0.690939064
3.093594891;0.29;0.691310646
3.097960807;0.2905;0.691681424
3.102329979;0.291;0.692051228
3.10670102;0.2915;0.69242014
3.11106557;0.292;0.692788223
3.115445775;0.2925;0.693155343
3.119822119;0.293;0.693521585
3.124200387;0.2935;0.693886966
3.128580526;0.294;0.694251471
