 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA 
Mixing Rule:          VdW1f 
Components:           H2S(4C), Methanol 
Feed Composition:     [0.3, 0.7] 
Association Rule:     4C, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

0.017192487;0.0001;0.01980614
0.034859292;0.005;0.501378576
0.052706094;0.01;0.666836789
0.070378621;0.015;0.749263318
0.08786954;0.02;0.798630451
0.105186318;0.025;0.831507867
0.122331513;0.03;0.854977775
0.139307638;0.035;0.872574642
0.156117161;0.04;0.886259443
0.172762511;0.045;0.897207586
0.189246072;0.05;0.906166475
0.205570192;0.055;0.913634069
0.221737178;0.06;0.919954931
0.237749297;0.065;0.925375072
0.253608781;0.07;0.930074836
0.269317823;0.075;0.934189437
0.284878582;0.08;0.937822247
0.300293201;0.085;0.941053622
0.315563731;0.09;0.943947057
0.330692244;0.095;0.946553275
0.345680762;0.1;0.94891335
0.360531274;0.105;0.951060882
0.375245738;0.11;0.953023625
0.389826082;0.115;0.954824704
0.404274201;0.12;0.956483543
0.418591962;0.125;0.958016573
0.432781203;0.13;0.959437794
0.446843733;0.135;0.960759202
0.460781333;0.14;0.961991137
0.474595758;0.145;0.963142562
0.488288734;0.15;0.964221282
0.501861963;0.155;0.965234125
0.51531712;0.16;0.966187093
0.528655854;0.165;0.96708548
0.541879792;0.17;0.967933975
0.554990535;0.175;0.968736748
0.567989661;0.18;0.969497515
0.580878724;0.185;0.970219603
0.593659255;0.19;0.970905997
0.606332765;0.195;0.971559382
0.618900741;0.2;0.972182184
0.63136465;0.205;0.972776596
0.643725937;0.21;0.973344607
0.655986027;0.215;0.973888026
0.668146324;0.22;0.9744085
0.680208215;0.225;0.974907536
0.692173065;0.23;0.975386508
0.70404222;0.235;0.97584668
0.71581701;0.24;0.97628921
0.727498745;0.245;0.976715164
0.739088716;0.25;0.977125527
0.7505882;0.255;0.977521204
0.761998454;0.26;0.977903034
0.77332072;0.265;0.978271796
0.784556222;0.27;0.978628208
0.795706169;0.275;0.978972941
0.806771754;0.28;0.979306615
0.817754155;0.285;0.979629812
0.828654535;0.29;0.979943072
0.839474041;0.295;0.980246897
0.850213807;0.3;0.980541761
0.860874952;0.305;0.980828104
0.871458582;0.31;0.981106339
0.881965788;0.315;0.981376854
0.892397648;0.32;0.981640012
0.902755228;0.325;0.981896156
0.913039581;0.33;0.982145607
0.923251747;0.335;0.982388667
