 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           H2S(4C), Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     4C, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

2.19713501;0.005;0.055914858
2.217234684;0.0055;0.061093804
2.237330464;0.006;0.066199056
2.257393075;0.0065;0.071233198
2.277421887;0.007;0.076197535
2.297416303;0.0075;0.081093476
2.317378237;0.008;0.085922506
2.337308222;0.0085;0.090686215
2.357208073;0.009;0.095386266
2.37707257;0.0095;0.100024399
2.396918871;0.01;0.104602269
2.416750525;0.0105;0.109122079
2.436555265;0.011;0.113584733
2.456339492;0.0115;0.117991403
2.476102991;0.012;0.122343065
2.495845396;0.0125;0.126640642
2.515566205;0.013;0.130885009
2.535264781;0.0135;0.13507699
2.554930952;0.014;0.139217361
2.574586542;0.0145;0.143306884
2.594216376;0.015;0.147346193
2.613816526;0.0155;0.151335995
2.633390199;0.016;0.155277121
2.652937598;0.0165;0.159170457
2.672458841;0.017;0.16301688
2.69195416;0.0175;0.16681725
2.711423932;0.018;0.170572411
2.730848663;0.0185;0.174284442
2.750281542;0.019;0.177950435
2.769680681;0.0195;0.181574898
2.789053579;0.02;0.185157393
2.808401091;0.0205;0.188698697
2.82772436;0.021;0.192199527
2.847024982;0.0215;0.195660508
2.866301967;0.022;0.199082304
2.885555197;0.0225;0.202465546
2.904774788;0.023;0.205810847
2.923982483;0.0235;0.209118829
2.943166365;0.024;0.212390043
2.962326395;0.0245;0.215625077
2.981459443;0.025;0.218824491
3.000567503;0.0255;0.221988843
3.019651356;0.026;0.225118682
3.038698002;0.0265;0.22821648
3.057733845;0.027;0.231278947
3.076736456;0.0275;0.234308532
3.095725618;0.028;0.237305752
3.11469247;0.0285;0.240271074
3.133636103;0.029;0.243205018
3.152549745;0.0295;0.246108101
3.171450663;0.03;0.248980708
3.190321393;0.0305;0.251823404
3.209168566;0.031;0.254636606
3.148103745;0.0315;0.244100611
3.159072905;0.032;0.247114186
3.170042065;0.0325;0.250106906
3.181011225;0.033;0.253078987
3.191980385;0.0335;0.25603064
3.202949545;0.034;0.258962076
3.213918705;0.0345;0.261873502
3.224887865;0.035;0.264765122
3.235857025;0.0355;0.267637138
3.246826185;0.036;0.270489748
3.257795344;0.0365;0.273323148
3.268764504;0.037;0.276137532
3.279733664;0.0375;0.27893309
3.290702824;0.038;0.281710011
3.294673666;0.0385;0.297359661
3.310724042;0.039;0.299806152
3.326744356;0.0395;0.302228316
3.342727598;0.04;0.304627752
3.358673392;0.0405;0.307004772
3.374580431;0.041;0.309359669
3.390450225;0.0415;0.311692718
3.406281393;0.042;0.314004217
3.422073549;0.0425;0.316294456
3.43782686;0.043;0.318563723
3.453541998;0.0435;0.320812306
3.469219436;0.044;0.323040492
3.484851688;0.0445;0.325248509
3.50045277;0.045;0.327436794
3.516017759;0.0455;0.329605451
3.53154582;0.046;0.331754782
3.547036403;0.0465;0.333885047
3.562489362;0.047;0.335996481
3.577904607;0.0475;0.338089315
3.59328199;0.048;0.340163778
3.608620299;0.0485;0.342220114
3.623922196;0.049;0.344258519
3.639186466;0.0495;0.346279237
3.908182344;0.05;0.343362349
3.926139488;0.0505;0.345298463
3.944069773;0.051;0.347218359
3.961978116;0.0515;0.349121488
3.979864673;0.052;0.351008043
3.99772946;0.0525;0.352878227
4.015572455;0.053;0.354732241
4.033393602;0.0535;0.356570283
4.05118638;0.054;0.358392559
4.068960741;0.0545;0.360199282
4.086714297;0.055;0.361990574
4.104445528;0.0555;0.363766661
4.122154406;0.056;0.365527728
4.139841006;0.0565;0.367273957
4.157505471;0.057;0.369005525
4.175147786;0.0575;0.37072261
4.192768261;0.058;0.372425381
4.210367288;0.0585;0.374114002
4.227938881;0.059;0.375788653
4.245494152;0.0595;0.37744947
4.263028208;0.06;0.379096627
4.280540977;0.0605;0.380730284
4.298030895;0.061;0.382350636
4.315500899;0.0615;0.383957758
4.3329493;0.062;0.385551841
4.35037602;0.0625;0.387133035
4.367781019;0.063;0.388701483
4.385160485;0.0635;0.390257381
4.40251984;0.064;0.391800732
4.419858154;0.0645;0.393331807
4.437174836;0.065;0.394850694
4.454469962;0.0655;0.39635753
4.471743629;0.066;0.397852448
4.488995946;0.0665;0.399335582
4.50622701;0.067;0.400807062
4.523435291;0.0675;0.40226706
4.540624293;0.068;0.403715615
4.55778765;0.0685;0.405152908
4.574933622;0.069;0.40657905
4.59205861;0.0695;0.407994167
4.609162634;0.07;0.40939838
4.626244291;0.0705;0.410791838
4.643307306;0.071;0.412174583
4.660347912;0.0715;0.413546799
4.677367503;0.072;0.414908569
4.694366122;0.0725;0.416259999
4.711334923;0.073;0.417600838
4.728296016;0.0735;0.418932286
4.745229298;0.074;0.42025338
4.762143676;0.0745;0.421564511
4.77903735;0.075;0.422865829
4.795910374;0.0755;0.424157437
4.812762761;0.076;0.425439437
4.829594491;0.0765;0.42671193
4.846405527;0.077;0.427975011
4.863195471;0.0775;0.429228787
4.879960896;0.078;0.430473392
4.896708246;0.0785;0.43170878
4.913434737;0.079;0.432935174
4.93014044;0.0795;0.434152617
4.946825407;0.08;0.435361203
4.963487844;0.0805;0.43656107
4.980131866;0.081;0.437752205
4.99675559;0.0815;0.438934745
5.013359142;0.082;0.440108776
5.029942619;0.0825;0.441274383
5.046502387;0.083;0.442431656
5.063044895;0.0835;0.443580666
5.079567011;0.084;0.444721493
5.096068658;0.0845;0.445854225
5.112549861;0.085;0.446978935
5.129010467;0.0855;0.448095702
5.14545038;0.086;0.449204603
5.161869586;0.0865;0.450305717
5.178266114;0.087;0.451399171
5.19463566;0.0875;0.452484932
5.21099852;0.088;0.453563132
5.2273356;0.0885;0.454633819
5.243652785;0.089;0.455697081
5.259950353;0.0895;0.456752979
5.27622849;0.09;0.457801582
5.292486997;0.0905;0.458842965
5.308725762;0.091;0.459877192
5.324944709;0.0915;0.46090433
5.341143579;0.092;0.461924444
5.357320264;0.0925;0.462937669
5.373476607;0.093;0.463943883
5.389611501;0.0935;0.464943381
5.405728473;0.094;0.46593605
5.421825484;0.0945;0.466922007
5.437902874;0.095;0.467901311
5.45396102;0.0955;0.468874018
5.470000113;0.096;0.469840186
5.486020166;0.0965;0.470799872
5.502020798;0.097;0.471753145
5.51799861;0.0975;0.47270008
5.533959144;0.098;0.4736407
5.54989964;0.0985;0.474575084
5.565819962;0.099;0.475503288
5.581720102;0.0995;0.476425369
5.597597946;0.1;0.477341433
5.613458498;0.1005;0.478251412
5.629299678;0.101;0.479155413
5.645121773;0.1015;0.480053488
5.660919478;0.102;0.480945736
5.676706228;0.1025;0.481832065
5.692471269;0.103;0.482712655
5.708217164;0.1035;0.483587526
5.723943792;0.104;0.484456726
5.739651162;0.1045;0.485320301
5.755339093;0.105;0.486178301
5.771007468;0.1055;0.487030774
5.786656269;0.106;0.48787777
5.802283321;0.1065;0.488719384
5.817890792;0.107;0.489555556
5.833481016;0.1075;0.490386376
5.849052059;0.108;0.491211884
5.864603926;0.1085;0.492032134
5.880136687;0.109;0.492847166
5.895650362;0.1095;0.493657024
5.911144623;0.11;0.494461756
5.926619566;0.1105;0.495261404
5.942075395;0.111;0.496056005
5.957504341;0.1115;0.496845655
5.972926947;0.112;0.49763025
5.988324857;0.1125;0.498409981
6.003701694;0.113;0.499184847
6.019062146;0.1135;0.499954828
6.034403894;0.114;0.50072
6.049727044;0.1145;0.501480405
6.065031711;0.115;0.502236078
6.080317993;0.1155;0.502987056
6.095616574;0.116;0.503729081
6.110831392;0.1165;0.504474831
6.126093727;0.117;0.505207891
6.141305441;0.1175;0.505940444
6.156498427;0.118;0.506668498
6.171672692;0.1185;0.507392079
6.186825502;0.119;0.508111291
6.201962399;0.1195;0.508826023
6.217080535;0.12;0.509536383
6.232179923;0.1205;0.510242401
6.247251856;0.121;0.510944175
6.262319982;0.1215;0.511641575
6.277363004;0.122;0.512334751
6.292385365;0.1225;0.513023772
6.307392741;0.123;0.513708547
6.322379694;0.1235;0.514389212
6.337348276;0.124;0.515065763
6.352298506;0.1245;0.51573823
6.367230367;0.125;0.51640665
6.382141124;0.1255;0.517071119
6.39703511;0.126;0.517731577
6.411910786;0.1265;0.518387997
6.426769004;0.127;0.519040524
6.441609061;0.1275;0.519689154
6.456431171;0.128;0.52033391
6.47123556;0.1285;0.520974817
6.48602225;0.129;0.521611903
6.500791125;0.1295;0.522245197
