 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           H2S(4C), Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     4C, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

2.544382313;0.005;0.062090983
2.566234005;0.0055;0.067788704
2.588074369;0.006;0.073397288
2.609876831;0.0065;0.078919462
2.631640736;0.007;0.084357016
2.653366082;0.0075;0.089711835
2.675044992;0.008;0.094985821
2.696702316;0.0085;0.100181214
2.71831684;0.009;0.105299918
2.739900038;0.0095;0.11034418
2.761454167;0.01;0.115316225
2.782982522;0.0105;0.120218257
2.80448637;0.011;0.125051953
2.825965794;0.0115;0.129818688
2.847420609;0.012;0.13451977
2.868843256;0.0125;0.139156437
2.890253855;0.013;0.143729865
2.91163083;0.0135;0.14824116
2.932981383;0.014;0.152691392
2.954303808;0.0145;0.157081562
2.9755969;0.015;0.161412621
2.99685879;0.0155;0.165685499
3.018090647;0.016;0.169901265
3.039285305;0.0165;0.174060748
3.060457082;0.017;0.178165981
3.081599889;0.0175;0.182217154
3.10271148;0.018;0.18621555
3.123791874;0.0185;0.190162315
3.14484308;0.019;0.194058442
3.165865549;0.0195;0.197904939
3.186859781;0.02;0.201702795
3.207826284;0.0205;0.205452971
3.228757294;0.021;0.209156356
3.249672579;0.0215;0.212813779
3.270558656;0.022;0.21642606
3.291414899;0.0225;0.219993974
3.31224346;0.023;0.223518315
3.333044253;0.0235;0.22699983
3.35381703;0.024;0.230439252
3.374561903;0.0245;0.233837295
3.395269533;0.025;0.237194656
3.415961117;0.0255;0.240512018
3.436625064;0.026;0.243790057
3.457259688;0.0265;0.247029444
3.477863911;0.027;0.250230847
3.498440171;0.0275;0.25339491
3.518988555;0.028;0.256522263
3.539508313;0.0285;0.259613529
3.55999171;0.029;0.262669303
3.580459497;0.0295;0.265690184
3.600900228;0.03;0.268676744
3.621313892;0.0305;0.271629556
3.641698699;0.031;0.274549163
3.662054746;0.0315;0.277436108
3.682383653;0.032;0.28029091
3.702685457;0.0325;0.28311408
3.72295032;0.033;0.28590612
3.743199537;0.0335;0.288667522
3.763422108;0.034;0.291398753
3.783618003;0.0345;0.294100288
3.803786331;0.035;0.29677259
3.823926865;0.0355;0.299416091
3.246826185;0.036;0.270489748
3.257795344;0.0365;0.273323148
3.268764504;0.037;0.276137532
3.279733664;0.0375;0.27893309
3.290702824;0.038;0.281710011
3.301671984;0.0385;0.284468481
3.312641144;0.039;0.287208682
3.323610304;0.0395;0.289930796
3.334579464;0.04;0.292635001
3.345548624;0.0405;0.295321473
3.356517784;0.041;0.297990386
3.367486944;0.0415;0.300641912
3.378456104;0.042;0.30327622
3.389425264;0.0425;0.305893477
3.892238876;0.043;0.336900357
3.909267134;0.0435;0.339158424
3.92622394;0.044;0.341398022
3.943171526;0.0445;0.343612099
3.960076753;0.045;0.345804605
3.976941847;0.0455;0.347975846
3.993765285;0.046;0.350126117
4.010546919;0.0465;0.352255712
4.027287201;0.047;0.354364917
4.043986233;0.0475;0.356454014
4.060644107;0.048;0.358523279
4.077260894;0.0485;0.360572985
4.09383161;0.049;0.362603426
4.110360851;0.0495;0.364614767
4.396425758;0.05;0.365291917
4.415772222;0.0505;0.367243479
4.435098285;0.051;0.369176041
4.454399036;0.0515;0.371090403
4.473674548;0.052;0.372986806
4.492924901;0.0525;0.374865484
4.512141282;0.053;0.376726673
4.531339339;0.0535;0.378570594
4.550512284;0.054;0.380397471
4.569659139;0.0545;0.382207531
4.588782419;0.055;0.384000968
4.607880816;0.0555;0.385778007
4.626954111;0.056;0.387538857
4.646002344;0.0565;0.389283722
4.665025775;0.057;0.3910128
4.684015764;0.0575;0.392726293
4.702987639;0.058;0.394424389
4.72193471;0.0585;0.396107276
4.740857016;0.059;0.397775145
4.759754619;0.0595;0.399428181
4.778627591;0.06;0.401066564
4.79747461;0.0605;0.402690489
4.816298887;0.061;0.404300098
4.835094046;0.0615;0.405895385
4.853865861;0.062;0.407477117
4.87261483;0.0625;0.409044868
4.891339304;0.063;0.410598998
4.910039428;0.0635;0.412139668
4.928715259;0.064;0.413667038
4.947366854;0.0645;0.415181266
4.965994277;0.065;0.416682503
4.984597592;0.0655;0.418170902
5.003170062;0.066;0.419646618
5.021723592;0.0665;0.421109785
5.040251636;0.067;0.422560567
5.058757381;0.0675;0.423999072
5.077239156;0.068;0.425425459
5.095695914;0.0685;0.426839872
5.114130276;0.069;0.428242435
5.132539704;0.0695;0.429633294
5.150915831;0.07;0.431012544
5.169280213;0.0705;0.43238042
5.187616646;0.071;0.433736942
5.205929346;0.0715;0.435082272
5.224218391;0.072;0.436416536
5.242483857;0.0725;0.437739856
5.260725769;0.073;0.439052357
5.278942987;0.0735;0.440354158
5.297138509;0.074;0.441645355
5.31530545;0.0745;0.442926058
5.333452377;0.075;0.444196444
5.351575748;0.0755;0.44545656
5.369675681;0.076;0.446706534
5.38775219;0.0765;0.447946475
5.40580532;0.077;0.44917649
5.423835133;0.0775;0.450396684
5.441841701;0.078;0.451607162
5.459825114;0.0785;0.452808027
5.477779774;0.079;0.453999385
5.495714067;0.0795;0.455181349
5.513627426;0.08;0.456353973
5.531517941;0.0805;0.457517379
5.54938563;0.081;0.458671666
5.567229982;0.0815;0.459816926
5.585051427;0.082;0.460953255
5.602873504;0.0825;0.462078409
5.620647369;0.083;0.463197144
5.638396703;0.0835;0.46430717
5.656125612;0.084;0.465408637
5.673831643;0.0845;0.466501611
5.691514852;0.085;0.467586178
5.709173411;0.0855;0.468662445
5.726811647;0.086;0.469730442
5.744427399;0.0865;0.470790279
5.762020754;0.087;0.471842037
5.779586506;0.0875;0.472885811
5.797133248;0.088;0.473921662
5.814657567;0.0885;0.474949673
5.832159517;0.089;0.475969918
5.849639129;0.0895;0.476982474
5.867096438;0.09;0.477987415
5.884531484;0.0905;0.478984813
5.901944298;0.091;0.479974741
5.919332251;0.0915;0.4809573
5.936696315;0.092;0.481932503
5.954041801;0.0925;0.482900441
5.971365155;0.093;0.483861187
5.988664565;0.0935;0.484814828
6.005944802;0.094;0.485761385
6.023201174;0.0945;0.486700971
6.040435544;0.095;0.487633634
6.057648006;0.0955;0.488559438
6.074834185;0.096;0.489478457
6.09200191;0.0965;0.490390737
6.109147849;0.097;0.491296347
6.126272037;0.0975;0.492195349
6.143372514;0.098;0.49308783
6.160453765;0.0985;0.493973788
6.177513397;0.099;0.494853314
6.194551414;0.0995;0.495726465
6.211563601;0.1;0.496593304
6.228556338;0.1005;0.497453905
6.245527491;0.101;0.498308287
6.262476967;0.1015;0.499156522
6.279404864;0.102;0.499998664
6.296311273;0.1025;0.500834766
6.313196281;0.103;0.501664884
6.330059971;0.1035;0.502489069
6.346891244;0.104;0.503307413
6.363717772;0.1045;0.504119888
6.380517385;0.105;0.504926586
6.397295888;0.1055;0.505727557
6.41405292;0.106;0.506522856
6.430788373;0.1065;0.507312533
6.447502651;0.107;0.508096629
6.464195768;0.1075;0.508875192
6.480867736;0.108;0.509648268
6.497514949;0.1085;0.510415912
6.514143684;0.109;0.511178154
6.530751242;0.1095;0.511935047
6.547335246;0.11;0.512686671
6.563901079;0.1105;0.513432995
6.580445999;0.111;0.514174102
6.596970098;0.1115;0.514910038
6.613473243;0.112;0.51564085
6.629953043;0.1125;0.516366621
6.646412304;0.113;0.517087291
6.662852036;0.1135;0.517802984
6.679271166;0.114;0.518513719
6.695669735;0.1145;0.519219535
6.712047735;0.115;0.51992047
6.728405144;0.1155;0.520616565
6.744739367;0.116;0.521307897
6.76104782;0.1165;0.521994453
6.777348568;0.117;0.522676224
6.793623247;0.1175;0.523353333
6.809876826;0.118;0.524025793
6.826109912;0.1185;0.524693649
6.842322077;0.119;0.525356929
6.858513798;0.1195;0.526015668
6.874685164;0.12;0.526669903
6.890836258;0.1205;0.527319669
6.906963924;0.121;0.527965013
6.923073821;0.1215;0.528605949
6.939160812;0.122;0.529242567
6.955230916;0.1225;0.529874806
6.971281038;0.123;0.530502747
6.987311205;0.1235;0.531126424
7.00332019;0.124;0.531745881
7.019310676;0.1245;0.532361133
7.035276819;0.125;0.532972262
7.051225587;0.1255;0.533579199
7.067153954;0.126;0.534182055
7.083062198;0.1265;0.53478084
7.098950349;0.127;0.535375581
7.114818451;0.1275;0.53596631
7.130663746;0.128;0.536553101
7.146492505;0.1285;0.537135886
7.162300394;0.129;0.537714784
7.178087637;0.1295;0.53828972
7.193856013;0.13;0.538860822
7.209605255;0.1305;0.539428096
7.225334302;0.131;0.539991564
7.241043756;0.1315;0.540551252
7.256733602;0.132;0.541107188
7.272403827;0.1325;0.541659399
7.288050363;0.133;0.54220796
7.303682286;0.1335;0.542752769
7.31929009;0.134;0.543294014
7.334881741;0.1345;0.543831588
7.35045402;0.135;0.544365566
7.366007008;0.1355;0.544895975
7.381540511;0.136;0.545422843
7.397054025;0.1365;0.545946205
7.412542173;0.137;0.546466128
7.428020261;0.1375;0.546982484
7.443475086;0.138;0.547495444
7.45891052;0.1385;0.548004984
7.474326562;0.139;0.54851113
7.489723217;0.1395;0.549013906
7.505097658;0.14;0.54951338
7.520456337;0.1405;0.550009471
7.535788961;0.141;0.550502296
7.551113913;0.1415;0.550991772
7.566414589;0.142;0.551478024
7.58169574;0.1425;0.551961052
7.596958002;0.143;0.552440865
7.612201408;0.1435;0.552917487
7.627425959;0.144;0.553390938
7.642631635;0.1445;0.553861241
7.657810966;0.145;0.554328457
7.672983533;0.1455;0.5547925
7.688128848;0.146;0.555253529
7.703258552;0.1465;0.55571144
7.718409943;0.147;0.556163089
7.733502519;0.1475;0.556614886
7.748575542;0.148;0.557063699
7.763629556;0.1485;0.55750953
7.778657949;0.149;0.557952438
7.793679444;0.1495;0.558392322
7.808677279;0.15;0.55882931
7.823656596;0.1505;0.559263391
7.838617384;0.151;0.559694581
7.853556223;0.1515;0.560122962
7.86848045;0.152;0.560548419
7.883386184;0.1525;0.56097104
7.898267132;0.153;0.561390896
7.913139359;0.1535;0.561807892
7.927988322;0.154;0.562222105
7.942818313;0.1545;0.562633589
7.957629851;0.155;0.563042328
7.972423024;0.1555;0.563448338
7.987197905;0.156;0.563851636
8.001954544;0.1565;0.564252239
8.016688176;0.157;0.564650213
8.031407611;0.1575;0.565045498
8.046109812;0.158;0.565438101
8.060793907;0.1585;0.565828075
8.075459927;0.159;0.566215435
8.090107419;0.1595;0.566600204
8.104736076;0.16;0.566982405
8.119346562;0.1605;0.567362041
8.133936199;0.161;0.567739171
8.148510856;0.1615;0.568113694
8.163066495;0.162;0.568485729
8.177604046;0.1625;0.568855263
8.192119855;0.163;0.569222378
8.206622037;0.1635;0.569586937
8.221106395;0.164;0.569949033
8.235572948;0.1645;0.570308682
8.250019594;0.165;0.570665935
