 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    CPA 
Mixing Rule:          VdW1f 
Components:           Metanol, Benzeno 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

0.026217872;0.001;0.095148383
0.031432557;0.005;0.248939146
0.034563557;0.01;0.320441963
0.036443136;0.015;0.358014925
0.037746193;0.02;0.382156952
0.038723098;0.025;0.399379588
0.039492865;0.03;0.412487408
0.040120805;0.035;0.422913955
0.040646326;0.04;0.431478363
0.041094917;0.045;0.43868771
0.041483894;0.05;0.444874405
0.041825532;0.055;0.450266982
0.042128811;0.06;0.45502839
0.04240048;0.065;0.459278373
0.042645729;0.07;0.463107185
0.042868622;0.075;0.466584319
0.043072396;0.08;0.469764279
0.043259668;0.085;0.472690502
0.043432579;0.09;0.475398097
0.043592898;0.095;0.477915791
0.043742108;0.1;0.480267352
0.043881454;0.105;0.482472647
0.044012;0.11;0.48454842
0.044134653;0.115;0.486508911
0.044250196;0.12;0.48836631
0.044359308;0.125;0.490131134
0.044462583;0.13;0.4918125
0.044560538;0.135;0.49341837
0.044653633;0.14;0.494955728
0.04474227;0.145;0.496430733
0.044826811;0.15;0.497848837
0.044907575;0.155;0.499214898
0.044984848;0.16;0.50053325
0.04505889;0.165;0.501807782
0.045129932;0.17;0.503041997
0.045198183;0.175;0.504239056
0.045263833;0.18;0.505401827
0.045327055;0.185;0.506532914
0.045388005;0.19;0.507634696
0.045446826;0.195;0.508709343
0.045503649;0.2;0.509758851
0.045558595;0.205;0.51078505
0.04561177;0.21;0.511789631
0.04566328;0.215;0.512774157
0.045713214;0.22;0.513740073
0.04576166;0.225;0.514688725
0.045808696;0.23;0.515621361
0.045854395;0.235;0.516539149
0.045898826;0.24;0.51744318
0.04594205;0.245;0.518334476
0.045984127;0.25;0.519214
0.046025109;0.255;0.52008265
0.046065049;0.26;0.520941283
0.046103987;0.265;0.521790705
0.046141975;0.27;0.522631673
0.046179046;0.275;0.523464915
0.046215242;0.28;0.524291116
0.046250596;0.285;0.525110933
0.046285142;0.29;0.52592499
0.04631891;0.295;0.526733886
0.046351926;0.3;0.527538198
0.046384215;0.305;0.52833847
0.046415809;0.31;0.529135233
0.046446719;0.315;0.529929002
0.046476976;0.32;0.530720262
0.046506649;0.325;0.531510225
0.04653565;0.33;0.532297904
0.046564045;0.335;0.533084469
0.046591856;0.34;0.533870358
0.046619096;0.345;0.534655992
0.046645775;0.35;0.535441796
0.0466719;0.355;0.536228171
0.046697491;0.36;0.53701552
0.046722559;0.365;0.537804236
0.046747099;0.37;0.53859471
0.046771135;0.375;0.539387314
0.046794658;0.38;0.540182427
0.046817695;0.385;0.540980426
0.046840223;0.39;0.54178168
0.046862269;0.395;0.542586555
0.046883829;0.4;0.54339541
0.046904914;0.405;0.544208613
0.046925501;0.41;0.545026533
0.046945616;0.415;0.545849513
0.046965261;0.42;0.546677934
0.046984406;0.425;0.547512145
0.04700308;0.43;0.548352523
0.04702127;0.435;0.549199421
0.047038974;0.44;0.550053208
0.047056189;0.445;0.550914263
0.047072924;0.45;0.551782953
0.047089136;0.455;0.552659662
0.047104864;0.46;0.553544764
0.04712007;0.465;0.554438651
0.047134766;0.47;0.555341712
0.047148938;0.475;0.556254344
0.047162579;0.48;0.557176951
0.047175679;0.485;0.558109944
0.047188228;0.49;0.559053738
0.047200216;0.495;0.560008761
0.047211613;0.5;0.560975185
0.047222445;0.505;0.561953982
0.04723268;0.51;0.562945334
