 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           Methane(Lit), Ethane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

1.282623545;0.0001;0.000608073
1.326841978;0.005;0.029466193
1.371692446;0.01;0.057128174
1.416640106;0.015;0.083174537
1.461666716;0.02;0.107731086
1.506771427;0.025;0.130920006
1.551953324;0.03;0.152850491
1.597214322;0.035;0.173620371
1.642546965;0.04;0.193317642
1.687965479;0.045;0.212021536
1.733448846;0.05;0.229803725
1.779022306;0.055;0.246729034
1.824655615;0.06;0.262856443
1.870382631;0.065;0.278239431
1.916166975;0.07;0.292926995
1.962044421;0.075;0.30696369
2.007979041;0.08;0.320390478
2.054006164;0.085;0.333244769
2.100090689;0.09;0.345561098
2.146265424;0.095;0.357371098
2.192500811;0.1;0.368704024
2.238824023;0.105;0.379586837
2.28520711;0.11;0.390044597
2.331677769;0.115;0.40010022
2.378211993;0.12;0.409775325
2.42482668;0.125;0.419089691
2.471506229;0.13;0.428061879
2.518258772;0.135;0.436709125
2.565099983;0.14;0.445046157
2.612007391;0.145;0.453090407
2.658994286;0.15;0.460854701
2.706040869;0.155;0.46835209
2.753159964;0.16;0.475594884
2.800367376;0.165;0.482594455
2.847628297;0.17;0.489361687
2.894969755;0.175;0.495906583
2.942386931;0.18;0.50223868
2.989870435;0.185;0.50836683
3.037430496;0.19;0.514299464
3.085060638;0.195;0.520044545
3.132760394;0.2;0.525609452
3.180539494;0.205;0.531001204
3.228391694;0.21;0.536224839
3.276306751;0.215;0.541289701
3.324298509;0.22;0.546200179
3.372349831;0.225;0.550961948
3.420475062;0.23;0.555580219
3.468677292;0.235;0.560059944
3.516936996;0.24;0.564405988
3.565269207;0.245;0.568622731
3.613671903;0.25;0.572714417
3.662140656;0.255;0.576685197
3.710676189;0.26;0.580538652
3.759297772;0.265;0.584276542
