 Defined Configuration:----------------------
Number of components: 2 
Equation of State:    SRK+RG 
Mixing Rule:          VdW1f 
Components:           Methane(Lit), Ethane(Lit) 
Feed Composition:     [0.3, 0.7] 
Association Rule:     2B, 2B 
Combining Rule:       CR-1 
============================================
P(MPa);x1;y1

2.845074824;0.0001;0.000326197
2.903681903;0.005;0.015982024
2.963442749;0.01;0.031319322
3.023158652;0.015;0.0460466
3.082825856;0.02;0.060196021
3.142440745;0.025;0.073797422
3.201999565;0.03;0.086878518
3.261498416;0.035;0.09946508
3.32093325;0.04;0.111581103
3.380318286;0.045;0.123248171
3.439614579;0.05;0.134488539
3.498833988;0.055;0.145321045
3.557971808;0.06;0.155763886
3.617023135;0.065;0.165834085
3.675982858;0.07;0.175547573
3.73484565;0.075;0.184919273
3.793629197;0.08;0.193961824
3.852284381;0.085;0.202690808
3.910825615;0.09;0.211117379
3.969246621;0.095;0.219253083
4.027540818;0.1;0.227108761
4.08572729;0.105;0.234692909
4.143750725;0.11;0.242018181
4.201626208;0.115;0.249092119
4.259345874;0.12;0.255923158
4.316929354;0.125;0.26251729
4.374316588;0.13;0.268885482
4.431522524;0.135;0.275033071
4.488537617;0.14;0.280966602
4.545384434;0.145;0.286689831
4.60199255;0.15;0.292212826
4.658378653;0.155;0.297538949
4.714566128;0.16;0.302670552
4.770478426;0.165;0.307617102
4.826165957;0.17;0.312378097
4.88155347;0.175;0.316962251
4.936654511;0.18;0.321371101
4.991494202;0.185;0.325604778
5.045982079;0.19;0.329672247
5.100177309;0.195;0.333570103
5.154022315;0.2;0.337303952
5.207462852;0.205;0.340878894
5.260552889;0.21;0.344290514
5.313232532;0.215;0.347543513
5.365438179;0.22;0.350642674
5.417226602;0.225;0.353581709
5.468529422;0.23;0.356364801
5.519317393;0.235;0.358992206
5.56955878;0.24;0.361463837
5.619218856;0.245;0.363779271
5.668309757;0.25;0.365932699
5.716693979;0.255;0.367932432
5.764423732;0.26;0.369766885
5.811401461;0.265;0.371438689
5.857572615;0.27;0.372945127
5.902875564;0.275;0.374283055
5.947295505;0.28;0.37544223
5.990703745;0.285;0.376424047
6.033066452;0.29;0.377216417
6.07423092;0.295;0.377820042
6.11413451;0.3;0.37822104
6.152584807;0.305;0.378420595
6.189531777;0.31;0.378394488
6.224781863;0.315;0.378134331
6.258027813;0.32;0.377647244
6.28907;0.325;0.376915612
6.317435662;0.33;0.375969675
6.342615681;0.335;0.374846366
6.363546128;0.34;0.373702841
6.378169869;0.345;0.372845581
6.381608462;0.35;0.372630804
6.381639729;0.355;0.372448936
6.381639099;0.36;0.372059983
6.381630616;0.365;0.371625737
6.381629623;0.37;0.371462239
6.381622149;0.375;0.371990272
6.381583834;0.38;0.374649204
6.381566252;0.385;0.382170873
6.381557273;0.39;0.388297711
6.381548034;0.395;0.393482798
6.381542572;0.4;0.398955945
6.381539739;0.405;0.404315437
6.381536207;0.41;0.409293208
6.381533803;0.415;0.414456665
6.381532276;0.42;0.419593204
6.381531291;0.425;0.42469109
6.381529011;0.43;0.429552552
6.381527185;0.435;0.434617657
6.381525825;0.44;0.439683747
6.381524805;0.445;0.444736683
6.381524031;0.45;0.449778776
6.381523437;0.455;0.454812608
6.381522975;0.46;0.459840094
6.381522614;0.465;0.464862644
6.381522329;0.47;0.469881305
6.381522101;0.475;0.474896871
6.381521919;0.48;0.479909949
6.381521771;0.485;0.48492101
6.381521651;0.49;0.489930422
6.381521553;0.495;0.494938476
6.381521473;0.5;0.499945405
6.381520788;0.505;0.504844049
6.38152016;0.51;0.509853702
6.381519608;0.515;0.5148655
6.381519122;0.52;0.51987617
6.381518693;0.525;0.524885772
6.381518312;0.53;0.529894438
6.381517975;0.535;0.534902283
6.381517674;0.54;0.539909405
6.381517406;0.545;0.544915888
6.381517167;0.55;0.549921803
6.381516952;0.555;0.554927214
6.38151676;0.56;0.559932175
6.381516587;0.565;0.564936731
6.381516431;0.57;0.569940926
6.381516291;0.575;0.574944794
6.381516164;0.58;0.579948367
6.38151605;0.585;0.584951674
6.381515946;0.59;0.589954738
6.381515852;0.595;0.594957583
6.381515767;0.6;0.599960227
6.38151569;0.605;0.604962689
6.38151562;0.61;0.609964983
6.381515557;0.615;0.614967123
6.381515499;0.62;0.619969122
6.381515446;0.625;0.624970992
6.381515398;0.63;0.629972742
6.381515355;0.635;0.634974381
6.381515315;0.64;0.639975919
6.381515279;0.645;0.644977362
6.381515246;0.65;0.649978717
6.381515215;0.655;0.654979991
6.381515188;0.66;0.659981189
