L;phi;Fobj_dens_liq;Fobj_dens_vap;Fobj_P;Tc;Pc;rhoc
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.302040816327;0.8180713136740001;2.05683434438;0.527707265059;516.788547328;7.133995124349999;5654.65007425
3e-10;0.504081632653;0.815298566441;1.80634172622;0.460704412398;516.036216208;7.15366930754;5726.91910388
3e-10;0.70612244898;0.804014892966;1.56462328171;0.3979110620699999;515.3583301680001;7.179951665750001;5810.42998257
3e-10;0.908163265306;0.782285211155;1.33419246185;0.339477115717;514.732988985;7.21067576099;5900.364775
3e-10;1.1102040816299998;0.7477047310789999;1.11809231371;0.285550514969;514.195053206;7.2494473123;6028.84304991
3e-10;1.31224489796;0.697296825731;0.920465536068;0.236274385814;513.7705148580001;7.29920157589;6152.503389500002
3e-10;1.51428571429;0.628459599195;0.747589190803;0.19178398840500002;513.4695769680001;7.361311071889999;6300.25340564
3e-10;1.71632653061;0.545207604111;0.608158522368;0.152198473522;513.284548435;7.43520489822;6562.02789076
3e-10;1.91836734694;0.461810351302;0.509310566289;0.117590126154;513.3170683000002;7.5329888965;6933.00890955
3e-10;2.12040816327;0.385993795778;0.447398220136;0.0879335332322;513.609470768;7.66136577357;7397.13667764
3e-10;2.3224489795900003;0.31894482765;0.41246019083999996;0.0631034339569;514.0544949169999;7.80825404084;7618.76170185
3e-10;2.52448979592;0.261981686858;0.396399712112;0.0428996930236;514.6011570769999;7.96757935871;7776.14758861
3e-10;2.7265306122400004;0.21750123028999999;0.394092830723;0.0270609105555;515.217302907;8.13525949354;7923.89760475
3e-10;2.92857142857;0.188855494043;0.402403644322;0.015269559228700004;515.906749473;8.312017553330001;8066.82968558
3e-10;3.1306122449;0.180285408641;0.419415670593;0.007154603267279998;516.630605612;8.49235306872;8171.21828394
3e-10;3.33265306122;0.19680164888300009;0.444067122916;0.00229455785699;517.476024258;8.6891172148;8265.97101169
3e-10;3.53469387755;0.24395046790199998;0.475961379834;0.00022292277517099994;518.36581189;8.89115386273;8412.11504939
3e-10;3.73673469388;0.32728270178;0.5150466684699999;0.000438117695642;519.330368914;9.1030592274;8537.38136742
3e-10;3.9387755101999997;0.4514028435399999;0.561582385749;0.00241980036209;520.4309933669999;9.334585735260001;8707.61508167
